Cleared_time,market_id,ACOPF_solved,cleared_price,cleared_quantity,cleared_DG1_output (kW),cleared_DG2_output (kW),social_welfare ($),planned_SubstationP (kW),expected_SubstationP (kW),total_uncontrollable_loads
2017-11-07-14:03:35,203,True,107.181072992,-0.000271619391222,300.0,250.0,1081296.70388,4345.78460157,5427.02633652,5853.5577238918
2017-11-07-14:08:35,204,True,114.160920604,-0.000348306933087,300.0,250.000058338,1091126.1882,4467.9904821,5559.06163081,5979.360859194439
2017-11-07-14:13:35,205,True,111.490140739,-0.00021418674741,300.0,250.0,947880.576215,4347.96120747,5295.78687802,5727.452661962349
2017-11-07-14:18:35,206,True,110.591048687,-0.000404397519228,300.000053058,250.00006626,1066672.10477,4309.18306848,5375.80006725,5805.095756024489
2017-11-07-14:23:35,207,True,111.495835768,0.0,300.0,250.0,664686.184191,4502.67660027,5167.3079873,5604.974999618179
2017-11-07-14:28:35,208,True,109.117470089,0.0,300.0,250.0,701673.310538,4406.82433866,5108.44286805,5548.936157853631
2017-11-07-14:33:35,209,True,115.222675462,-0.000372141136213,300.0,250.000061221,1005416.92413,4285.40392638,5290.76578159,5723.963729346219
2017-11-07-14:38:35,210,True,113.932527733,0.0,300.0,250.0,699134.972533,4348.59246657,5047.67264871,5490.75312043371
2017-11-07-14:43:35,211,True,114.209149365,0.0,300.0,250.0,426476.467755,4409.65000062,4836.07185798,5287.1239482252095
2017-11-07-14:48:35,212,True,110.568137502,0.0,300.0,250.0,641793.74634,4253.63074785,4895.36970297,5345.06789214207
2017-11-07-14:53:35,213,True,114.858095554,0.0,300.0,250.0,519578.363011,4385.12383962,4904.64753139,5353.381170974611
2017-11-07-14:58:35,214,True,115.101945917,-0.00460254048245,300.000704712,250.000830278,332161.658624,4416.34298391,4748.44908999,5203.828377871129
2017-11-07-15:03:35,215,True,113.003101088,-0.00340891173415,300.000513946,250.000600465,236715.241933,4267.43716248,4504.09709766,4970.0500809736195
2017-11-07-15:08:35,216,True,113.971477705,0.0,300.0,250.0,439248.512784,4335.82432596,4775.01820672,5228.55046599748
2017-11-07-15:13:35,217,True,117.097519595,-0.00291240214441,300.000429054,250.000510796,96130.3720556,4361.60562066,4457.68071376,4922.843153603009
2017-11-07-15:18:35,218,True,115.46576663,-0.00341485232184,300.000493478,250.000585918,156386.653384,4402.81863648,4559.14994292,5022.172540380369
2017-11-07-15:23:35,219,True,114.330884072,0.0,300.0,250.0,346557.979213,4221.18009666,4567.68346578,5031.181545488519
2017-11-07-15:28:35,220,True,118.952859082,-0.00367398943223,300.000551585,250.000648312,241437.020731,4312.84483701,4554.22648435,5017.29799798159
2017-11-07-15:33:35,221,True,111.997988333,0.0,300.0,250.0,447006.680921,4194.78271164,4641.73477931,5100.82395042294
2017-11-07-15:38:35,222,True,116.883681564,0.0,300.0,250.0,401849.998217,4272.59975922,4674.39514658,5132.8449007604795
2017-11-07-15:43:35,223,True,114.351901781,-0.00263415153851,300.000392828,250.000464091,81379.6479895,4298.87206503,4380.19650265,4848.662124173419
2017-11-07-15:48:35,224,True,116.329010702,0.0,300.0,250.0,499232.524687,4203.95602365,4703.13388097,5160.0304990203595
2017-11-07-15:53:35,225,True,114.933003885,0.0,300.0,250.0,371405.267346,4218.96367854,4590.31433578,5051.469766628659
2017-11-07-15:58:35,226,True,118.527591313,-0.003757862511,300.000563461,250.000655249,305334.952468,4183.77447396,4489.05411391,4954.5937209372505
2017-11-07-16:03:35,227,True,110.98628875,0.0,300.0,250.0,671030.413818,3968.24035482,4639.21601997,5098.567532737279
2017-11-07-16:08:35,228,True,116.141278391,0.0,300.0,250.0,645303.155569,4110.64775154,4755.89616038,5211.9984223312
2017-11-07-16:13:35,229,True,116.662421318,0.0,300.0,250.0,388899.83797,4108.64170995,4497.48693782,4960.66916888765
2017-11-07-16:18:35,230,True,112.551947087,0.0,300.0,250.0,892244.346993,3748.83474276,4641.0243037,5100.453181138811
2017-11-07-16:23:35,231,True,116.785449999,0.0,300.0,250.0,660021.277076,4049.6901849,4709.65673184,5167.346274482629
2017-11-07-16:28:35,232,True,115.34758277,0.0,300.0,250.0,833688.797406,3765.99047094,4599.62455656,5060.936807625271
2017-11-07-16:33:35,233,True,111.803747373,0.0,300.0,250.0,927099.68843,3780.14915142,4707.19403293,5163.11489674696
2017-11-07-16:38:35,234,True,116.363743069,0.0,300.0,250.0,797461.988658,3848.77510758,4646.18234907,5106.43896135115
2017-11-07-16:43:35,235,True,114.864055392,0.0,300.0,250.0,788278.220336,3796.08523938,4584.30876296,5046.161432854729
2017-11-07-16:48:35,236,True,111.261878166,0.0,300.0,250.0,915773.82371,3669.98183514,4585.7008524,5046.41776851986
2017-11-07-16:53:35,237,True,120.1708207,0.0,300.0,250.0,776258.4805,3762.06243759,4538.2662002,5001.35240516046
2017-11-07-16:58:35,238,True,119.420880626,0.0,300.0,250.0,843498.702657,3594.53748069,4437.98152094,4905.651844241301
2017-11-07-17:03:35,239,True,115.941381039,0.0,300.0,250.0,760957.05958,3685.21450272,4446.11683657,4912.675938171879
2017-11-07-17:08:35,240,True,118.766122608,0.0,300.0,250.0,675771.94223,3486.13756587,4161.85489414,4637.80541289746
2017-11-07-17:13:35,241,True,115.935255155,0.0,300.0,250.0,804189.529044,3643.28071425,4447.41556623,4914.7514522866395
2017-11-07-17:18:35,242,True,113.17505963,0.0,300.0,250.0,783679.580406,3446.52353352,4230.14845041,4704.10692605215
2017-11-07-17:23:35,243,True,118.137725505,0.0,300.0,250.0,661555.425719,3567.3524838,4228.85329375,4703.014482627561
2017-11-07-17:28:35,244,True,116.907395571,0.0,300.0,250.0,820038.721513,3408.11834526,4228.10243893,4703.227873524909
2017-11-07-17:33:35,245,True,118.926582074,0.0,300.0,250.0,492049.645096,3478.72257261,3970.71760767,4453.4665024938695
2017-11-07-17:38:35,246,True,119.204471298,0.0,300.0,250.0,571882.497,3431.93143194,4003.75931886,4486.144318520351
2017-11-07-17:43:35,247,True,118.840362759,0.0,300.0,250.0,692090.065037,3341.65583781,4033.69129075,4515.77382925804
2017-11-07-17:48:35,248,True,114.704216033,-0.00130802230523,300.000215472,250.000239442,278746.778261,3456.81048807,3735.50246271,4226.30594393146
2017-11-07-17:53:35,249,True,121.604595412,0.0,300.0,250.0,723225.832441,3183.55416702,3906.7253894,4392.86080663662
2017-11-07-17:58:35,250,True,118.747344637,-0.00108170467245,300.000184015,250.000202779,273404.992009,3360.83698854,3634.18723162,4128.44703268277
2017-11-07-18:03:35,251,True,117.038762957,-0.00309705170263,300.000464711,250.000530312,524563.072294,3234.88467234,3759.39292138,4249.2528325967405
2017-11-07-18:08:35,252,True,122.249986147,-0.00269222191135,300.000408355,250.000463956,407907.058679,3234.48564762,3642.33794549,4136.667204958841
2017-11-07-18:13:35,253,True,120.343626353,-0.00255806287606,300.000398753,250.00045214,434183.654529,3195.08683029,3629.21571577,4122.85676496186
2017-11-07-18:18:35,254,True,118.104307713,0.0,300.0,250.0,495328.613741,3173.92387506,3669.19787877,4162.81643121024
2017-11-07-18:23:35,255,True,124.914865481,-0.00147061112434,300.000232968,250.000262484,325447.976755,3216.77348526,3542.16673229,4039.1710692112106
2017-11-07-18:28:35,256,True,122.586429018,-0.0014078253938,300.000217595,250.0002459,199560.410881,3235.32341235,3434.82912947,3935.4410388581496
2017-11-07-18:33:35,257,True,118.971925828,-0.00266588838984,300.000397269,250.00045174,377141.95973,3190.77702288,3567.86424329,4064.2948527786907
2017-11-07-18:38:35,258,True,112.104228015,-0.00159422075783,300.000230711,250.000264543,129621.205691,3197.16563184,3326.73216213,3829.5329569923897
2017-11-07-18:43:35,259,True,117.221586172,0.0,300.0,250.0,566139.345995,3052.99648143,3619.08121738,4112.90750525104
2017-11-07-18:48:35,260,True,120.008984845,-0.000932568509612,300.000170573,250.00018442,37117.097357,3176.27211843,3213.33452115,3720.35664425741
2017-11-07-18:53:35,261,True,119.550450524,0.0,300.0,250.0,363889.211264,3062.06324685,3425.89784809,3925.6152453881095
2017-11-07-18:58:35,262,True,115.202825531,-0.00312787134632,300.000452346,250.000517418,338342.643426,3093.56035308,3431.84828193,3931.84238298517
2017-11-07-19:03:35,263,True,118.986849677,-0.00202987366293,300.000306591,250.000348968,246808.631599,2961.56061612,3208.3145716,3713.77395372609
2017-11-07-19:08:35,264,True,115.13527625,-0.00110527354525,300.000176108,250.000197331,82682.9789335,3082.66816302,3165.29649623,3673.569521355
2017-11-07-19:13:35,265,True,125.786406613,-0.00225001388495,300.000329435,250.000374437,262601.615053,2943.39543777,3205.94237799,3712.23553127317
2017-11-07-19:18:35,266,True,119.986670773,-0.00103889698337,300.000155695,250.000178486,138900.098875,2811.69811584,2950.54357972,3463.87516612037
2017-11-07-19:23:35,267,True,114.117811205,-0.00148466196476,300.000203765,250.00023454,179894.968643,2892.71654082,3072.55685971,3582.7901714764002
