# file...... Output/hvac/house_hvac_file_019.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_10B_tm_2_B_10_Meter_43_361:hvac_load,house_2_11B_tm_2_B_11_Meter_43_362:hvac_load,house_2_12B_tm_2_B_12_Meter_43_363:hvac_load,house_2_13B_tm_2_B_13_Meter_43_364:hvac_load,house_2_14B_tm_2_B_14_Meter_43_365:hvac_load,house_2_15B_tm_2_B_15_Meter_43_366:hvac_load,house_2_1A_tm_2_A_1_Meter_45_367:hvac_load,house_2_2A_tm_2_A_2_Meter_45_368:hvac_load,house_2_3A_tm_2_A_3_Meter_45_369:hvac_load,house_2_4A_tm_2_A_4_Meter_45_370:hvac_load,house_2_5A_tm_2_A_5_Meter_45_371:hvac_load,house_2_6A_tm_2_A_6_Meter_45_372:hvac_load,house_2_7A_tm_2_A_7_Meter_45_373:hvac_load,house_2_8A_tm_2_A_8_Meter_45_374:hvac_load,house_2_1A_tm_2_A_1_Meter_46_375:hvac_load,house_2_2A_tm_2_A_2_Meter_46_376:hvac_load,house_2_3A_tm_2_A_3_Meter_46_377:hvac_load,house_2_4A_tm_2_A_4_Meter_46_378:hvac_load,house_2_5A_tm_2_A_5_Meter_46_379:hvac_load,house_2_6A_tm_2_A_6_Meter_46_380:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.71466886848,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.71704130797,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.85766874171,+0,+0,+1.71468607193,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.86359554925,+0,+0,+1.71732047996,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.86023131652,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+3.44517914362,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.85705313724,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+3.44521616176,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.85782978661,+0,+0,+0,+0,+0,+0,+0,+6.42824392259
2010-08-16 00:04:30 UTC,+0,+3.4463803871,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.86047135904,+0,+0,+0,+0,+0,+0,+0,+6.43246257943
