# file...... Output/hvac/house_hvac_file_006.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_9A_tm_0_A_9_Meter_11_101:hvac_load,house_0_10A_tm_0_A_10_Meter_11_102:hvac_load,house_0_11A_tm_0_A_11_Meter_11_103:hvac_load,house_0_12A_tm_0_A_12_Meter_11_104:hvac_load,house_0_13A_tm_0_A_13_Meter_11_105:hvac_load,house_0_14A_tm_0_A_14_Meter_11_106:hvac_load,house_0_15A_tm_0_A_15_Meter_11_107:hvac_load,house_0_1B_tm_0_B_1_Meter_12_108:hvac_load,house_0_2B_tm_0_B_2_Meter_12_109:hvac_load,house_0_3B_tm_0_B_3_Meter_12_110:hvac_load,house_0_4B_tm_0_B_4_Meter_12_111:hvac_load,house_0_5B_tm_0_B_5_Meter_12_112:hvac_load,house_0_6B_tm_0_B_6_Meter_12_113:hvac_load,house_0_7B_tm_0_B_7_Meter_12_114:hvac_load,house_0_8B_tm_0_B_8_Meter_12_115:hvac_load,house_0_1C_tm_0_C_1_Meter_16_116:hvac_load,house_0_2C_tm_0_C_2_Meter_16_117:hvac_load,house_0_3C_tm_0_C_3_Meter_16_118:hvac_load,house_0_4C_tm_0_C_4_Meter_16_119:hvac_load,house_0_5C_tm_0_C_5_Meter_16_120:hvac_load
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17634987346,+0,+0,+0,+6.48051161263,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31289588726,+0,+5.17492236402,+0,+0,+0,+6.48177707161,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31394861209,+0,+5.17618546297,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31403615485,+0,+5.17629050008,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31464376707,+0,+5.17697931843,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31484409628,+0,+5.17721967724,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.3153240114,+0,+5.17779548853,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17911485161,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+1.29554094694,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+4.32825354542,+0,+0,+0,+0,+1.29536277498,+0,+3.45436106206,+0,+0,+0,+0,+0,+5.61468692091,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+4.32756999944,+0,+0,+0,+0,+1.29553713031,+0,+3.45420711824,+0,+0,+0,+0,+0,+5.61389572227,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+4.32789994688,+0,+0,+0,+0,+1.29531934735,+0,+3.45362648389,+0,+0,+0,+0,+0,+5.61481715995,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+4.32838472482,+0,+0,+0,+0,+0,+0,+3.45312471334,+0,+0,+0,+0,+0,+5.61489461474,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+1.73150040119,+0,+0,+0,+3.45335294965,+0,+0,+0,+0,+0,+5.61666363106,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+1.7310733842,+0,+0,+0,+3.45401456464,+0,+0,+0,+0,+0,+5.61740222997,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+1.73061007775,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.61669798254,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+1.73138232982,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.61587107431,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.617567588,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
