# file...... Output/hvac/house_hvac_file_052.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_7B_tm_3_B_7_Meter_86_1021:hvac_load,house_3_8B_tm_3_B_8_Meter_86_1022:hvac_load,house_3_1B_tm_3_B_1_Meter_87_1023:hvac_load,house_3_2B_tm_3_B_2_Meter_87_1024:hvac_load,house_3_3B_tm_3_B_3_Meter_87_1025:hvac_load,house_3_4B_tm_3_B_4_Meter_87_1026:hvac_load,house_3_5B_tm_3_B_5_Meter_87_1027:hvac_load,house_3_6B_tm_3_B_6_Meter_87_1028:hvac_load,house_3_7B_tm_3_B_7_Meter_87_1029:hvac_load,house_3_8B_tm_3_B_8_Meter_87_1030:hvac_load,house_3_9B_tm_3_B_9_Meter_87_1031:hvac_load,house_3_10B_tm_3_B_10_Meter_87_1032:hvac_load,house_3_11B_tm_3_B_11_Meter_87_1033:hvac_load,house_3_12B_tm_3_B_12_Meter_87_1034:hvac_load,house_3_13B_tm_3_B_13_Meter_87_1035:hvac_load,house_3_14B_tm_3_B_14_Meter_87_1036:hvac_load,house_3_15B_tm_3_B_15_Meter_87_1037:hvac_load,house_3_1A_tm_3_A_1_Meter_88_1038:hvac_load,house_3_2A_tm_3_A_2_Meter_88_1039:hvac_load,house_3_3A_tm_3_A_3_Meter_88_1040:hvac_load
2010-08-16 00:14:00 UTC,+0,+0,+0,+3.04029250962,+0,+0,+0,+0,+0,+3.47435633203,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+3.03743051781,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+3.03619576269,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+3.03655126751,+0,+0,+0,+0,+0,+0,+0,+0,+4.33723010319,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.3386207941,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34225786814,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34262671412,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34361763455,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34636175463,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34969385618,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17378427941,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17499840227,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17347763192,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17161658089,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+6.08032001266,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+2.17179093392,+0,+0,+0,+0,+0,+0,+6.07876753682,+0,+0,+5.21046745337,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+2.17118818397,+0,+0,+0,+0,+0,+0,+6.07655053509,+0,+0,+5.20856713007,+0,+0,+3.0385732613,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+2.17082515552,+0,+0,+0,+0,+0,+0,+6.07561614843,+3.47245286847,+0,+5.20776621199,+0,+0,+3.03810601355,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+2.17042351691,+0,+0,+0,+0,+0,+0,+6.0744999219,+3.4712535024,+0,+5.20680942822,+0,+0,+3.03754783533,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+2.16748761875,+5.63224713625,+0,+0,+0,+0,+0,+6.06581132149,+3.46628841941,+0,+5.199361915,+0,+0,+3.03320302931,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+5.6419316645,+0,+0,+0,+0,+0,+6.07624154909,+3.47224875171,+0,+5.20830227989,+0,+0,+3.03841875031,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+5.64192513192,+0,+0,+0,+0,+0,+6.07623451351,+3.47224473125,+0,+5.20829624928,+0,+0,+3.03841523211,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+5.64118292559,+0,+0,+0,+0,+0,+6.07543515803,+0,+0,+5.20761107442,+0,+0,+3.03801550785,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+5.64514385449,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+5.63751843202,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+5.63192393498,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+5.63123577456,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+5.63006966112,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+5.6307545764,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17745999339,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17787123779,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17862271814,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17408972267,+0,+2.60882166502
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60922851587
2010-08-16 00:33:30 UTC,+0,+0,+0,+3.04149831242,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60896611054
2010-08-16 00:34:00 UTC,+0,+0,+0,+3.04472847524,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17483465036,+0,+0,+2.60868682208
2010-08-16 00:34:30 UTC,+0,+0,+0,+3.04316328276,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17371663598,+0,+0,+2.60743918989
2010-08-16 00:35:00 UTC,+0,+0,+0,+3.04206230559,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17293020981,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+3.04042173673,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17175835419,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.03923994796,+0,+0,+2.17094544404,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04178709738,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.03958175003,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.03834951598,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.33320412171,+3.03370595836,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.33456994854,+3.03466222242,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.46942033852,+0,+0,+4.33640434417,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47316958795,+0,+0,+4.34109039578,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47403171622,+0,+0,+4.34216793881,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47295633089,+0,+0,+4.34082385347,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47203181478,+0,+0,+4.3396683341,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+2.1703248809,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.20686728539,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+2.1716350669,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21023183261,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+2.17003273397,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.20621640026,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+2.17138607833,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.20966185593,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+2.17197395569,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21112449328,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+3.47566028796,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21206837971,+0,+0,+3.04061585588,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+3.47609247117,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21280591616,+0,+0,+3.0410461274,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+3.47587770445,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.212425827,+0,+0,+3.04082438711,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+3.4762448455,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04123586418,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+3.47581764284,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04081641939,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+3.47585856864,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04081701444,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+3.47017384282,+0,+0,+0,+0,+0,+0,+0,+6.07079523316,+0,+0,+0,+0,+0,+3.03569527531,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+3.47387409905,+0,+0,+0,+0,+0,+0,+0,+6.07754616608,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+6.08048683785,+0,+0,+0,+0,+0,+0,+0,+2.17187731153,+2.17451373459,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+5.64076137708,+0,+0,+0,+0,+0,+6.07498115069,+0,+0,+0,+0,+0,+0,+0,+2.16991069143,+2.17248141169,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+5.64125042531,+3.0380984428,+0,+0,+0,+0,+6.07550785515,+0,+0,+0,+0,+0,+0,+0,+2.17009882918,+2.16952586379,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+5.63756093579,+3.03611138321,+0,+0,+0,+0,+6.07153427855,+0,+0,+0,+0,+0,+0,+0,+2.16867947579,+2.1707585908,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+5.62876072297,+3.03137182555,+0,+0,+0,+0,+6.0620564576,+0,+0,+0,+0,+0,+0,+3.89694905769,+2.16529401755,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+5.64030487805,+3.03758919655,+0,+0,+0,+0,+6.07448950169,+0,+0,+0,+0,+0,+0,+3.90494142203,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+5.64323897764,+3.03916942346,+0,+0,+0,+0,+6.07764952404,+0,+0,+0,+0,+0,+0,+3.90697278708,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+5.63844639103,+0,+0,+0,+0,+0,+0,+3.47010374401,+0,+0,+0,+0,+0,+3.9036547358,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+5.63183005526,+0,+0,+0,+3.03278529208,+0,+0,+3.46603172736,+0,+0,+0,+0,+0,+3.89907404836,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+5.62743120797,+0,+0,+0,+3.0304164285,+0,+0,+3.46332446154,+0,+0,+0,+0,+0,+3.89602859464,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+5.63374076796,+0,+0,+0,+3.03381424751,+0,+0,+3.46720767345,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+5.63207086114,+0,+0,+0,+3.03291497066,+0,+0,+3.46617993108,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+3.03825623455,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+3.03530307039,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
