# file...... Output/hvac/house_hvac_file_048.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_3A_tm_3_A_3_Meter_79_941:hvac_load,house_3_4A_tm_3_A_4_Meter_79_942:hvac_load,house_3_5A_tm_3_A_5_Meter_79_943:hvac_load,house_3_6A_tm_3_A_6_Meter_79_944:hvac_load,house_3_7A_tm_3_A_7_Meter_79_945:hvac_load,house_3_8A_tm_3_A_8_Meter_79_946:hvac_load,house_3_9A_tm_3_A_9_Meter_79_947:hvac_load,house_3_10A_tm_3_A_10_Meter_79_948:hvac_load,house_3_11A_tm_3_A_11_Meter_79_949:hvac_load,house_3_12A_tm_3_A_12_Meter_79_950:hvac_load,house_3_13A_tm_3_A_13_Meter_79_951:hvac_load,house_3_14A_tm_3_A_14_Meter_79_952:hvac_load,house_3_15A_tm_3_A_15_Meter_79_953:hvac_load,house_3_1B_tm_3_B_1_Meter_80_954:hvac_load,house_3_2B_tm_3_B_2_Meter_80_955:hvac_load,house_3_3B_tm_3_B_3_Meter_80_956:hvac_load,house_3_4B_tm_3_B_4_Meter_80_957:hvac_load,house_3_5B_tm_3_B_5_Meter_80_958:hvac_load,house_3_6B_tm_3_B_6_Meter_80_959:hvac_load,house_3_7B_tm_3_B_7_Meter_80_960:hvac_load
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+3.50218481745,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47205257992,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47053912962,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47120977749,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.36242386444,+0,+0,+0,+0,+0,+0,+0,+3.4720460877,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.35755009883,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.35532749237,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.35295464705,+0,+0,+0,+0,+3.90997739687,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.35520385252,+0,+0,+0,+0,+3.91251614644,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.35505865228,+5.66071610326,+0,+0,+0,+3.9156595301,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.35651391496,+5.6626075763,+0,+0,+0,+3.91321529206,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.35378764209,+5.65906411173,+0,+0,+0,+3.915851872,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.66198049635,+0,+0,+0,+3.91353772879,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.66478207439,+0,+0,+0,+3.90997720875,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.66382726404,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+6.53380673135,+0,+0,+0,+0,+0,+0,+0,+5.6619646558,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+6.52730055238,+0,+0,+0,+0,+0,+0,+0,+5.65632686955,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+6.53267830359,+0,+4.7901916325,+0,+0,+0,+0,+0,+5.66098684152,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+6.53206691368,+0,+4.78974333698,+0,+0,+2.61314314783,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+1.74093402014,+6.52768249805,+0,+4.78652850822,+0,+0,+2.61138912897,+6.52676645377,+0,+0,+3.91678690233,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+4.78789081214,+1.74118710047,+6.52863140594,+0,+4.78722428536,+0,+3.48189639796,+2.61176874683,+6.52771519243,+0,+0,+3.91735627305,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+4.79025126553,+1.74204552886,+0,+0,+4.7895843066,+0,+3.48361295215,+2.61305638047,+6.53093323936,+0,+0,+3.91928753346,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+4.79185665922,+1.74262936394,+0,+0,+4.79118940645,+0,+3.48478041656,+0,+6.53312190045,+0,+0,+3.92060102405,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+4.79094854065,+0,+0,+0,+4.79028145408,+0,+3.48412002022,+0,+6.53188384661,+0,+0,+3.91985802549,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+4.79272775022,+0,+0,+0,+4.79206033798,+0,+3.48541388593,+0,+6.53430947386,+0,+0,+3.92131372763,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+6.53467139499,+0,+0,+3.92153092893,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+6.53364338308,+0,+0,+0,+0,+0,+0,+0,+0,+3.47414601316,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47333749517,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47493988832,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47036889347,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.46670209041,+0,+0,+0,+3.46668499756,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.46656366613,+0,+0,+0,+3.46654657404,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.46658215781,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.46707518061,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.46802766116,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.46711170902,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.46955926836,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.35029079403,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.35090014757,+0,+0,+0,+0,+3.90725569099,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.3506402505,+0,+0,+0,+0,+3.91095093406,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.35008544845,+0,+0,+0,+0,+3.914791893,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34792230571,+0,+0,+0,+0,+3.91301496011,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34905886734,+0,+0,+0,+0,+3.91207187993,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34832613459,+0,+0,+0,+0,+3.91015916499,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+3.4787143849,+0,+0,+4.34859117214,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+3.4792555115,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+5.65473460311,+3.48003403508,+2.61037173811,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+5.65413305612,+3.47966382948,+2.61009403691,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60538276058,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+5.66073059577,+3.48372410456,+2.61313975889,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60196176582,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+5.65980782673,+0,+2.61271376707,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60270171934,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+5.66040273906,+0,+2.61298840544,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60342727197,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+5.66134865936,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+1.74092957019,+0,+0,+0,+5.65692398171,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+1.74122142184,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+1.74218771652,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+4.7869619492,+1.74084929995,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47306338285,+0,+0
2010-08-16 00:42:00 UTC,+4.78558671879,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47683922761,+0,+0
2010-08-16 00:42:30 UTC,+4.78987516471,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47274318677,+0,+0
2010-08-16 00:43:00 UTC,+4.78710268375,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47473441704,+0,+0
2010-08-16 00:43:30 UTC,+4.79272661404,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47243723961,+0,+0
2010-08-16 00:44:00 UTC,+4.78918928346,+0,+6.53040194987,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47456978306,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+6.52940188587,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+6.52924774061,+5.2233339414,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+6.52210366645,+5.21761878511,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+6.52478497024,+5.21976378946,+0,+0,+0,+0,+6.52386944245,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+6.52391234432,+5.2190657013,+0,+0,+0,+0,+6.52299697188,+0,+0,+0,+1.73997271643,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+5.21740409193,+4.78224110552,+0,+0,+0,+6.52092029312,+0,+0,+3.91327842062,+1.73941873652,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+5.21761994233,+4.78243894674,+0,+0,+0,+6.52119006286,+0,+0,+3.91344031873,+1.73949070096,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+5.21965624683,+4.7843053551,+0,+3.47977332297,+0,+6.52373503564,+0,+0,+3.91496764427,+1.74016960402,+0,+3.90424404698,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+5.21089745851,+4.77627734404,+0,+3.47393417351,+0,+6.51278830494,+0,+0,+3.90839813509,+1.7372494276,+0,+3.90818796903,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+4.78351006487,+0,+3.47919487104,+0,+6.52265060416,+0,+0,+3.91431683969,+0,+0,+3.91017360469,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+4.77982651736,+0,+3.47651565399,+0,+6.51762784045,+0,+0,+3.91130250669,+0,+0,+3.90736227026,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+4.77355305666,+0,+3.47195267129,+0,+0,+4.340138522,+0,+3.90616878689,+0,+0,+3.9079326428,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+4.77570728061,+0,+0,+2.60548503876,+0,+4.34209722518,+0,+0,+0,+0,+3.90537126516,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,+2.60922341372,+0,+4.34832716916,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,+0,+2.60497482874,+0,+4.34124696813,+5.64276441235,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+0,+2.60636964078,+0,+4.34357140073,+5.64578558568,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34502631098,+5.6476766004,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34964065709,+5.65367408145,+0,+0,+3.46799041174,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.35141170183,+5.6559759911,+0,+0,+3.46518206209,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.65924599536,+0,+0,+3.46870558122,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.66370117864,+0,+0,+3.46784290448,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+1.74346768949,+0,+0,+0,+0,+0,+0,+0,+0,+5.66488970123,+0,+0,+3.47329473773,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+1.74416783322,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.46974010484,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+1.74243238888,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47073728367,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+1.74189777847,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.46808494418,+0,+0,+0,+3.4680678437,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.06186619683,+3.46437462706,+0,+0
