# file...... Output/hvac/house_hvac_file_035.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_15C_tm_3_C_15_Meter_62_681:hvac_load,house_3_1A_tm_3_A_1_Meter_63_682:hvac_load,house_3_2A_tm_3_A_2_Meter_63_683:hvac_load,house_3_3A_tm_3_A_3_Meter_63_684:hvac_load,house_3_4A_tm_3_A_4_Meter_63_685:hvac_load,house_3_5A_tm_3_A_5_Meter_63_686:hvac_load,house_3_6A_tm_3_A_6_Meter_63_687:hvac_load,house_3_7A_tm_3_A_7_Meter_63_688:hvac_load,house_3_8A_tm_3_A_8_Meter_63_689:hvac_load,house_3_9A_tm_3_A_9_Meter_63_690:hvac_load,house_3_10A_tm_3_A_10_Meter_63_691:hvac_load,house_3_11A_tm_3_A_11_Meter_63_692:hvac_load,house_3_12A_tm_3_A_12_Meter_63_693:hvac_load,house_3_13A_tm_3_A_13_Meter_63_694:hvac_load,house_3_14A_tm_3_A_14_Meter_63_695:hvac_load,house_3_15A_tm_3_A_15_Meter_63_696:hvac_load,house_3_1B_tm_3_B_1_Meter_64_697:hvac_load,house_3_2B_tm_3_B_2_Meter_64_698:hvac_load,house_3_3B_tm_3_B_3_Meter_64_699:hvac_load,house_3_4B_tm_3_B_4_Meter_64_700:hvac_load
2010-08-16 00:13:30 UTC,+0,+5.60294171618,+0,+0,+0,+0,+0,+0,+2.15560126088,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+5.60493992391,+0,+0,+0,+0,+0,+0,+2.15637008985,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+5.60752339977,+0,+0,+0,+0,+0,+0,+2.15736410591,+0,+0,+0,+0,+0,+0,+0,+0,+3.01068455946,+0,+0
2010-08-16 00:15:00 UTC,+0,+5.60566817796,+0,+0,+0,+0,+0,+0,+2.15662126866,+0,+0,+0,+0,+0,+0,+0,+0,+3.00946745364,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01018417665,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01020577075,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.30693167761,+0,+0,+0,+0,+0,+0,+3.01161448841,+0,+2.58133527754
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+5.59595641884,+0,+0,+0,+4.30515687265,+0,+0,+0,+0,+0,+0,+3.01115642407,+0,+2.58094266001
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+5.59352403036,+0,+0,+0,+4.30328548188,+0,+0,+0,+0,+0,+0,+3.01200811375,+0,+2.5816726629
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+5.59588739669,+0,+0,+0,+4.3051037695,+0,+0,+0,+0,+0,+0,+0,+0,+2.58327222498
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+5.59640498475,+0,+0,+0,+4.30550198285,+0,+0,+0,+0,+0,+0,+0,+0,+2.5851366469
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+5.5979847416,+0,+0,+0,+4.30671738999,+0,+0,+0,+3.87636913893,+0,+0,+0,+0,+2.58376535967
2010-08-16 00:19:30 UTC,+3.01377450288,+0,+0,+0,+0,+0,+5.5946411168,+0,+0,+0,+4.3041449274,+0,+0,+0,+3.87405368307,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+3.01444298972,+0,+0,+0,+0,+0,+5.5963139198,+0,+0,+0,+4.3054319208,+0,+0,+0,+3.87521209695,+3.01396381857,+0,+0,+0,+0
