# file...... Output/hvac/house_hvac_file_010.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_13B_tm_1_B_13_Meter_22_181:hvac_load,house_1_14B_tm_1_B_14_Meter_22_182:hvac_load,house_1_15B_tm_1_B_15_Meter_22_183:hvac_load,house_1_1C_tm_1_C_1_Meter_24_184:hvac_load,house_1_2C_tm_1_C_2_Meter_24_185:hvac_load,house_1_3C_tm_1_C_3_Meter_24_186:hvac_load,house_1_4C_tm_1_C_4_Meter_24_187:hvac_load,house_1_5C_tm_1_C_5_Meter_24_188:hvac_load,house_1_6C_tm_1_C_6_Meter_24_189:hvac_load,house_1_7C_tm_1_C_7_Meter_24_190:hvac_load,house_1_8C_tm_1_C_8_Meter_24_191:hvac_load,house_1_9C_tm_1_C_9_Meter_24_192:hvac_load,house_1_10C_tm_1_C_10_Meter_24_193:hvac_load,house_1_11C_tm_1_C_11_Meter_24_194:hvac_load,house_1_12C_tm_1_C_12_Meter_24_195:hvac_load,house_1_13C_tm_1_C_13_Meter_24_196:hvac_load,house_1_14C_tm_1_C_14_Meter_24_197:hvac_load,house_1_15C_tm_1_C_15_Meter_24_198:hvac_load,house_1_1A_tm_1_A_1_Meter_28_199:hvac_load,house_1_2A_tm_1_A_2_Meter_28_200:hvac_load
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+2.59022201225,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+2.59007444197,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+2.59043495933,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+2.58999649933,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+5.17716332329,+2.58869051086,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+5.17934007661,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+5.17762092508,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+5.17628147422,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.59102234086
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+5.17538700233,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.59079245921
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+5.17470565539,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.59067226049
2010-08-16 00:20:00 UTC,+0,+5.60747118952,+0,+0,+0,+5.17589153487,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.59095254805
2010-08-16 00:20:30 UTC,+0,+5.60690403327,+0,+0,+0,+5.17569486814,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.59078133779
2010-08-16 00:21:00 UTC,+0,+5.60738739267,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+5.60970838107,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+5.61133671946,+0,+0,+0,+0,+0,+0,+5.17586282402,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+5.60825969226,+0,+0,+0,+0,+0,+0,+5.17616818122,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+5.60459469076,+0,+0,+0,+0,+0,+0,+5.17842190257,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.17683251034,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.17690521631,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.17474920777,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.60338033673,+5.17204653668,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.60591826068,+5.1743890759,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.60582077349,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.60128627203,+0,+0,+0,+0,+4.30911848269,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+2.5841485514,+5.59845818283,+0,+0,+0,+0,+4.30694274061,+6.02926656676,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+2.58404160853,+5.59822650149,+0,+0,+0,+0,+4.30676450054,+6.02901705344,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+2.58515600388,+5.60064073082,+0,+0,+0,+0,+4.3086218466,+6.03161710049,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+2.58569048821,+5.60179863924,+0,+0,+0,+0,+4.30951266364,+6.03286413047,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+2.5857068162,+5.60183401224,+0,+0,+0,+0,+0,+6.03290222604,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.0337739209,+0,+0,+4.31006055207,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74166409197,+0,+0,+6.03480048837,+0,+0,+4.3107938583,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74451052713,+0,+0,+6.03842321617,+0,+0,+4.31338167546,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74407968317,+0,+0,+0,+0,+0,+4.31298997661,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7427790595,+0,+0,+0,+0,+0,+4.31180752345,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73871068909,+0,+0,+0,+0,+0,+4.30810879214,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74137817828,+0,+0,+0,+0,+0,+4.31053392182,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74106816718,+0,+0,+0,+0,+0,+4.31025207733,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74174714211,+0,+0,+0,+0,+0,+0,+0,+1.29388490079,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7407981104,+0,+0,+0,+0,+0,+0,+0,+1.29455452283,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73975214455,+0,+0,+0,+0,+0,+0,+0,+1.29422223795,+2.58830140437
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.29445296116,+2.58876281903
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58893428761
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58928690303
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74066437094,+0,+0,+0,+0,+0,+0,+0,+2.58942722268
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7411555374,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+6.03425449793,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7395309402,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+6.02967007228,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74190212878,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+6.03159369403,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74323246743,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+6.03280667209,+0,+0,+0,+0,+0,+2.58607620184,+0,+0,+0,+0,+4.74107119023,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+6.03470078344,+0,+0,+0,+0,+0,+2.58480016012,+0,+0,+0,+0,+4.73873181636,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+6.03617260458,+0,+0,+0,+0,+0,+2.58548250601,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+6.03593046046,+0,+0,+2.58546002283,+0,+0,+2.58527130129,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+6.03436387537,+0,+0,+2.58545170507,+0,+0,+2.58526298434,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+6.03299929816,+5.60297383734,+0,+2.58576831668,+0,+5.17094175022,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+5.60590998956,+0,+2.58467236431,+0,+5.1687501649,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+5.60381014039,+0,+0,+0,+5.16994264142,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+5.60592555551,+0,+0,+0,+5.17044334627,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+5.60356470821,+0,+0,+0,+5.171354033,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+5.60461485279,+0,+0,+0,+5.16854484539,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+5.60739207485,+0,+0,+0,+5.16716906788,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.30573378863,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+5.6062552411,+0,+0,+0,+5.16804002696,+0,+5.59960631814,+0,+0,+0,+0,+0,+0,+0,+4.30645953484,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.6013882864,+0,+0,+0,+0,+0,+0,+0,+4.3087466531,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.60208047645,+5.17084674754,+0,+0,+0,+0,+0,+0,+4.30927910577,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.60227281372,+5.17102427751,+0,+0,+0,+0,+0,+0,+4.30942705718,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.60618746974,+5.17463755962,+0,+0,+0,+0,+0,+0,+4.31243832419,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.60357682399,+5.17222789719,+0,+0,+0,+0,+0,+0,+4.31043013972,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+4.73699348356,+0,+0,+5.59839492097,+5.16744492843,+0,+0,+0,+0,+0,+5.16789180807,+4.30644406954,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+4.73854657206,+0,+0,+5.60023044185,+5.1691391398,+0,+0,+0,+0,+0,+5.16958620031,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+4.73428477678,+0,+0,+5.59519363018,+5.1644900924,+0,+0,+0,+0,+0,+5.16493665654,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+4.73645960619,+0,+0,+5.59776395687,+0,+0,+0,+0,+0,+0,+5.16730935723,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+4.74050224557,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17171980573,+0,+0,+0,+0,+2.58555898908
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+4.74026284095,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.1714586195,+0,+0,+0,+0,+2.58580743757
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+4.74030849591,+0,+2.58592781063,+0,+0,+0,+0,+0,+0,+0,+5.17150842826,+0,+0,+0,+0,+2.58757171827
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,+2.58731487677,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58510540574
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+2.58670780107,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58471127819
