# file...... Output/hvac/house_hvac_file_014.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_2A_tm_1_A_2_Meter_33_261:hvac_load,house_1_3A_tm_1_A_3_Meter_33_262:hvac_load,house_1_4A_tm_1_A_4_Meter_33_263:hvac_load,house_1_5A_tm_1_A_5_Meter_33_264:hvac_load,house_1_6A_tm_1_A_6_Meter_33_265:hvac_load,house_1_7A_tm_1_A_7_Meter_33_266:hvac_load,house_1_8A_tm_1_A_8_Meter_33_267:hvac_load,house_1_9A_tm_1_A_9_Meter_33_268:hvac_load,house_1_10A_tm_1_A_10_Meter_33_269:hvac_load,house_1_11A_tm_1_A_11_Meter_33_270:hvac_load,house_1_12A_tm_1_A_12_Meter_33_271:hvac_load,house_1_13A_tm_1_A_13_Meter_33_272:hvac_load,house_1_14A_tm_1_A_14_Meter_33_273:hvac_load,house_1_15A_tm_1_A_15_Meter_33_274:hvac_load,house_0_1C_tm_0_C_1_Meter_34_275:hvac_load,house_0_2C_tm_0_C_2_Meter_34_276:hvac_load,house_0_3C_tm_0_C_3_Meter_34_277:hvac_load,house_0_4C_tm_0_C_4_Meter_34_278:hvac_load,house_0_5C_tm_0_C_5_Meter_34_279:hvac_load,house_0_6C_tm_0_C_6_Meter_34_280:hvac_load
2010-08-16 00:10:30 UTC,+0,+0,+0,+2.1623581361,+0,+0,+0,+5.62120523336,+0,+0,+0,+0,+0,+0,+0,+0,+3.02498882556,+0,+6.04910852801,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+2.16210266153,+0,+0,+0,+5.6205411399,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+2.16248490561,+0,+0,+0,+5.62153476446,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+2.16228123183,+0,+0,+0,+5.62105448921,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.62252066612,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.76737542231,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.32978793816,+0,+0,+0,+4.76263719272,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.32916891394,+0,+0,+0,+4.76195628805,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.32849912643,+0,+0,+0,+4.76121954555,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.32872486237,+0,+0,+0,+4.76146784708,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+4.32718771801,+0,+0,+4.3273592294,+0,+0,+0,+4.75996569928,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+4.32760249429,+0,+0,+4.32777402674,+0,+0,+0,+4.76042196164,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+3.02898279913,+0,+0,+0,+0,+4.32661856632,+0,+0,+4.32679004879,+0,+0,+0,+4.75933962081,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+3.02847368129,+0,+0,+0,+4.32621870306,+4.32589135944,+0,+0,+4.32606280497,+0,+0,+3.46069671538,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+3.0286482172,+0,+0,+0,+4.32646802853,+4.32614066067,+0,+0,+0,+0,+0,+3.46089615397,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+3.02895364028,+0,+0,+0,+4.32690432704,+4.32657691679,+0,+0,+0,+0,+0,+3.46124515467,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+3.02838332927,+0,+0,+0,+4.32608963473,+4.3257623037,+0,+0,+0,+0,+0,+3.46059347202,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+3.02830012719,+0,+0,+0,+4.32597078011,+0,+0,+0,+0,+0,+0,+3.46049839869,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+4.32345302118,+0,+0,+4.75512935074,+0,+0,+0,+3.45848441153,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+4.32180192291,+0,+0,+4.75331346548,+0,+0,+0,+3.45716367721,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.75661404924,+0,+0,+0,+0,+0,+0,+6.04939946685,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.75611737793,+0,+0,+0,+0,+0,+0,+6.05122726637,+0,+0,+0,+0
