# file...... Output/hvac/house_hvac_file_013.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_13C_tm_1_C_13_Meter_30_241:hvac_load,house_1_14C_tm_1_C_14_Meter_30_242:hvac_load,house_1_15C_tm_1_C_15_Meter_30_243:hvac_load,house_1_1C_tm_1_C_1_Meter_31_244:hvac_load,house_1_2C_tm_1_C_2_Meter_31_245:hvac_load,house_1_3C_tm_1_C_3_Meter_31_246:hvac_load,house_1_4C_tm_1_C_4_Meter_31_247:hvac_load,house_1_5C_tm_1_C_5_Meter_31_248:hvac_load,house_1_6C_tm_1_C_6_Meter_31_249:hvac_load,house_1_7C_tm_1_C_7_Meter_31_250:hvac_load,house_1_8C_tm_1_C_8_Meter_31_251:hvac_load,house_1_1C_tm_1_C_1_Meter_32_252:hvac_load,house_1_2C_tm_1_C_2_Meter_32_253:hvac_load,house_1_3C_tm_1_C_3_Meter_32_254:hvac_load,house_1_4C_tm_1_C_4_Meter_32_255:hvac_load,house_1_5C_tm_1_C_5_Meter_32_256:hvac_load,house_1_6C_tm_1_C_6_Meter_32_257:hvac_load,house_1_7C_tm_1_C_7_Meter_32_258:hvac_load,house_1_8C_tm_1_C_8_Meter_32_259:hvac_load,house_1_1A_tm_1_A_1_Meter_33_260:hvac_load
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16352938026,+0,+1.29819927293,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,+0,+0,+3.02833789309,+0,+0,+0,+0,+0,+0,+2.16300133771,+0,+1.29788242249,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,+3.0278071096,+0,+0,+0,+0,+0,+0,+2.16260846033,+0,+1.29764667752,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+3.02891044541,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+3.02931885505,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+3.8949253721,+3.02910950578,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+3.89475054666,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+3.89401431619,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+3.89224069766,+0,+0,+0,+0,+0,+2.59500098579,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+4.31557645251,+0,+0,+0,+3.8936611989,+0,+0,+0,+0,+0,+2.59594805329,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+4.31413120345,+0,+0,+0,+3.89222986809,+0,+0,+0,+0,+0,+2.59490186231,+0,+0,+0,+0,+0,+0,+2.59485125628,+0
2010-08-16 00:18:30 UTC,+0,+4.31301551628,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.59404998788,+0,+0,+0,+0,+0,+4.32310677631,+2.59399940187,+0
2010-08-16 00:19:00 UTC,+0,+4.31187602717,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.59354109074,+0,+0,+0,+0,+0,+4.32225869131,+2.5934905167,+0
2010-08-16 00:19:30 UTC,+0,+4.31127654334,+0,+0,+0,+0,+0,+3.88983816722,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.32180908347,+2.59322073387,+0
2010-08-16 00:20:00 UTC,+0,+4.31227951531,+0,+0,+0,+0,+0,+3.89075887764,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.32282781635,+2.59383201465,+0
2010-08-16 00:20:30 UTC,+0,+4.31233595125,+0,+0,+0,+0,+0,+3.8906222291,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.32267600199,+0,+5.62276533945
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.89278007419,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.32522140273,+0,+5.62261086903
2010-08-16 00:21:30 UTC,+0,+0,+0,+2.16279580152,+0,+0,+0,+3.8924748462,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.32493704113,+0,+5.61933864397
2010-08-16 00:22:00 UTC,+0,+0,+0,+2.16182752909,+0,+0,+0,+3.89073227245,+0,+5.61966524724,+0,+0,+0,+0,+0,+0,+0,+4.32314318816,+0,+5.6171927813
2010-08-16 00:22:30 UTC,+0,+0,+0,+2.16226288826,+0,+0,+0,+0,+0,+5.62079690527,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.6210931376
2010-08-16 00:23:00 UTC,+5.60902694576,+0,+0,+2.1632132418,+0,+0,+0,+0,+0,+5.62326722244,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.62050621262
2010-08-16 00:23:30 UTC,+5.6072138043,+0,+0,+0,+0,+0,+0,+0,+0,+5.62170405772,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.61973112788
2010-08-16 00:24:00 UTC,+5.60729102836,+0,+0,+0,+0,+0,+0,+0,+0,+5.62178279581,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.62023562946
2010-08-16 00:24:30 UTC,+5.60489295462,+0,+0,+0,+0,+0,+0,+0,+0,+5.61939566929,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+5.6025093349,+0,+0,+0,+0,+0,+0,+0,+0,+5.61697026367,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+5.60495410101,+0,+0,+0,+0,+0,+0,+0,+0,+5.61947966434,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+5.60456342711,+0,+0,+0,+5.61833175581,+0,+0,+0,+0,+5.61839524439,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+5.60038024871,+0,+0,+0,+5.61403905118,+0,+0,+0,+0,+5.6141024857,+0,+0,+0,+0,+0,+1.29586496315,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+5.59845601259,+0,+0,+0,+5.61257464706,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.29548432899,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+5.59828033271,+0,+0,+0,+5.61221942935,+0,+0,+0,+0,+0,+0,+0,+0,+2.15880004671,+0,+1.29536542753,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+5.61485650287,+0,+0,+0,+0,+0,+0,+0,+0,+2.15981443235,+0,+1.29597411054,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+5.61616606377,+0,+0,+0,+0,+0,+0,+0,+0,+2.16035511928,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+5.61578178642,+0,+0,+0,+0,+0,+0,+0,+0,+2.16020729762,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16074030325,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+3.02738520609,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+3.02679792283,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+3.02596674015,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+2.15933254679,+0,+0,+3.02289784107,+0,+4.74977652895,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+2.16054860817,+0,+0,+3.02460021258,+0,+4.75245132509,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+2.16051284547,+0,+0,+0,+0,+4.752372663,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+4.31002319492,+0,+2.16063750779,+0,+0,+0,+0,+4.75264686485,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+4.30926942331,+0,+0,+0,+0,+0,+3.88773843777,+4.75160532529,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+4.30826849978,+0,+0,+0,+0,+0,+3.88673613452,+4.75038031212,+0,+0,+2.59142061635,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+4.31056308941,+0,+0,+0,+0,+0,+3.88879107096,+4.75289185161,+0,+0,+2.5927907472,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+4.3109935049,+0,+0,+0,+3.88899240436,+0,+3.88893023095,+4.75306193268,+0,+0,+2.5929425932,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+4.31076053812,+0,+0,+0,+3.88886377265,+0,+3.88880160172,+0,+0,+0,+2.59278464751,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+4.30932438423,+0,+0,+0,+3.88755837413,+0,+3.88749622843,+0,+0,+0,+2.59191429733,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+3.88840041176,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+3.88685243857,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31856648782,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+3.88882306978,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.32075591001,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.32220198974,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.29610110591,+0,+4.31981214385,+2.59202248963,+5.62314537426
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.29545609445,+0,+4.31766243544,+2.59073257794,+5.62407366774
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18132324288,+1.29550627964,+0,+4.31782969378,+2.59083293968,+5.62142569987
