# file...... Output/hvac/house_hvac_file_015.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_7C_tm_0_C_7_Meter_34_281:hvac_load,house_0_8C_tm_0_C_8_Meter_34_282:hvac_load,house_0_9C_tm_0_C_9_Meter_34_283:hvac_load,house_0_10C_tm_0_C_10_Meter_34_284:hvac_load,house_0_11C_tm_0_C_11_Meter_34_285:hvac_load,house_0_12C_tm_0_C_12_Meter_34_286:hvac_load,house_0_13C_tm_0_C_13_Meter_34_287:hvac_load,house_0_14C_tm_0_C_14_Meter_34_288:hvac_load,house_0_15C_tm_0_C_15_Meter_34_289:hvac_load,house_2_1A_tm_2_A_1_Meter_35_290:hvac_load,house_2_2A_tm_2_A_2_Meter_35_291:hvac_load,house_2_3A_tm_2_A_3_Meter_35_292:hvac_load,house_2_4A_tm_2_A_4_Meter_35_293:hvac_load,house_2_5A_tm_2_A_5_Meter_35_294:hvac_load,house_2_6A_tm_2_A_6_Meter_35_295:hvac_load,house_2_7A_tm_2_A_7_Meter_35_296:hvac_load,house_2_8A_tm_2_A_8_Meter_35_297:hvac_load,house_2_9A_tm_2_A_9_Meter_35_298:hvac_load,house_2_10A_tm_2_A_10_Meter_35_299:hvac_load,house_2_11A_tm_2_A_11_Meter_35_300:hvac_load
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.5903135528,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+6.91325439592,+0,+0,+0,+0,+0,+0,+3.45682148915,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+6.91500651419,+0,+0,+0,+0,+0,+0,+3.45826411944,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+6.91635382223,+0,+0,+0,+0,+0,+0,+3.4582038503,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+6.91647805946,+0,+0,+0,+0,+0,+0,+3.45632221685,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+6.91753699214,+0,+0,+0,+0,+0,+0,+3.45550025316,+0,+4.75058943984,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+6.91734214558,+0,+0,+0,+0,+0,+0,+3.45483884994,+0,+4.74968018355,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+6.91578920655,+0,+0,+0,+0,+0,+0,+0,+0,+4.74984383152,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74866979725,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+5.61811077381,+0,+0,+0,+0,+0,+0,+1.29676000642,+0,+0,+0,+0,+0,+4.74896753263,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+5.61687867661,+0,+0,+0,+0,+0,+0,+1.29648110746,+0,+0,+0,+0,+0,+4.74815213406,+0,+0,+0,+0,+0,+2.59030816331
2010-08-16 00:19:00 UTC,+5.61646566588,+0,+0,+0,+0,+0,+0,+1.29638577186,+0,+0,+0,+0,+0,+4.74742219612,+0,+0,+0,+0,+0,+2.5899099369
2010-08-16 00:19:30 UTC,+5.61565881819,+0,+0,+0,+0,+0,+0,+1.29619952656,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58990299652
2010-08-16 00:20:00 UTC,+5.61660348305,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17935357018,+0,+0,+0,+0,+0,+0,+0,+0,+2.59007125319
2010-08-16 00:20:30 UTC,+5.61668097927,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17944428576,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+5.6184509577,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17843834598,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17532297916,+0,+0,+0,+0,+0,+0,+5.17577096387,+4.31272751315,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17334983965,+0,+0,+0,+0,+0,+0,+5.17379760688,+4.31108325301,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.61684756622,+0,+5.17615975812,+0,+0,+0,+0,+0,+0,+5.17660783506,+4.3134248193,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.6185446403,+0,+5.17554144287,+0,+0,+0,+0,+0,+0,+5.17598945166,+4.31290956373,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.61759821722,+0,+0,+0,+0,+0,+0,+0,+0,+5.17633464394,+4.31319718828,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.61748933454,+0,+0,+0,+0,+0,+0,+0,+0,+5.17677140247,+4.31356110855,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+2.16003753747,+0,+5.61475519377,+0,+0,+0,+0,+0,+0,+0,+0,+5.17704387378,+4.31378813982,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+5.1814237283,+0,+0,+2.15928853873,+0,+5.61280837299,+0,+0,+0,+0,+0,+0,+0,+0,+5.18002895046,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+5.18347374312,+0,+0,+2.16014288979,+0,+5.61502902879,+0,+0,+0,+0,+0,+0,+0,+0,+5.17914286216,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+4.75087000767,+5.18268397591,+0,+0,+2.15981375146,+0,+5.61417352224,+0,+0,+0,+0,+0,+0,+0,+0,+5.18109373497,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+4.74900824837,+5.18065300698,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17992816839,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+4.74835215177,+5.17993727977,+0,+0,+0,+0,+0,+0,+0,+3.45147341112,+0,+0,+0,+0,+0,+5.1768951647,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+4.74836553478,+5.17995187912,+0,+0,+0,+0,+0,+0,+0,+3.45150630727,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+4.7493719837,+5.18104980111,+0,+0,+0,+0,+0,+0,+0,+3.45151435712,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+4.7507479206,+0,+0,+0,+0,+0,+0,+0,+0,+3.45107483946,+0,+0,+0,+0,+0,+0,+0,+0
