# file...... Output/hvac/house_hvac_file_040.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_1A_tm_3_A_1_Meter_69_781:hvac_load,house_3_2A_tm_3_A_2_Meter_69_782:hvac_load,house_3_3A_tm_3_A_3_Meter_69_783:hvac_load,house_3_4A_tm_3_A_4_Meter_69_784:hvac_load,house_3_5A_tm_3_A_5_Meter_69_785:hvac_load,house_3_6A_tm_3_A_6_Meter_69_786:hvac_load,house_3_7A_tm_3_A_7_Meter_69_787:hvac_load,house_3_8A_tm_3_A_8_Meter_69_788:hvac_load,house_3_9A_tm_3_A_9_Meter_69_789:hvac_load,house_3_10A_tm_3_A_10_Meter_69_790:hvac_load,house_3_11A_tm_3_A_11_Meter_69_791:hvac_load,house_3_12A_tm_3_A_12_Meter_69_792:hvac_load,house_3_13A_tm_3_A_13_Meter_69_793:hvac_load,house_3_14A_tm_3_A_14_Meter_69_794:hvac_load,house_3_15A_tm_3_A_15_Meter_69_795:hvac_load,house_3_1A_tm_3_A_1_Meter_70_796:hvac_load,house_3_2A_tm_3_A_2_Meter_70_797:hvac_load,house_3_3A_tm_3_A_3_Meter_70_798:hvac_load,house_3_4A_tm_3_A_4_Meter_70_799:hvac_load,house_3_5A_tm_3_A_5_Meter_70_800:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.02159584446,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18148542785,+0,+0,+3.0221389632,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18618338189,+0,+2.59262904361,+3.02464450359,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17889308807,+0,+2.58895854358,+3.02036242852,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.19994377493,+0,+2.5994798778,+3.03263681723,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.1963102111,+0,+2.59766758175,+3.03052255809,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+0,+0,+4.32706419554,+0,+0,+0,+0,+0,+5.19238095287,+0,+2.59584727298,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4.3300003006,+0,+0,+0,+0,+0,+5.19590419433,+0,+2.597527932,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+0,+0,+4.33328326969,+0,+0,+0,+0,+0,+5.19984366265,+0,+0,+0,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,+5.64105403877,+0,+0,+0,+0,+4.33960043229,+4.33934982068,+0,+0,+0,+0,+5.20742407584,+0,+0,+0,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,+5.64646214683,+0,+0,+0,+0,+4.34376090288,+4.34351000289,+0,+0,+0,+0,+5.21241652077,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+5.64827438258,+0,+0,+0,+0,+4.34515506023,+4.34490406359,+0,+0,+0,+0,+5.21408946946,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+5.65047255919,+0,+0,+0,+0,+4.34684612278,+4.34659500893,+0,+0,+0,+0,+5.21611869584,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+5.66167997514,+0,+0,+0,+0,+0,+4.35521630329,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,+5.66612158853,+0,+0,+0,+0,+0,+4.35863301024,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:00 UTC,+0,+0,+5.66267296968,+0,+5.66219042592,+0,+0,+0,+4.35598016341,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:30 UTC,+0,+0,+5.66208801532,+0,+5.66160554036,+0,+0,+0,+4.35553018782,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:00 UTC,+0,+0,+5.66424232969,+0,+5.6637596014,+0,+0,+0,+4.35718739213,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:30 UTC,+0,+0,+0,+0,+5.66511207082,+0,+0,+0,+4.35822790029,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+5.66961355224,+0,+0,+0,+4.36169106772,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+5.67015566885,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.05298229073,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+5.66463904995,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04991510228,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+5.66894989094,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.05248867369,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,+5.66829419733,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.05214349332,+0,+0,+0
