# file...... Output/hvac/house_hvac_file_051.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_2C_tm_3_C_2_Meter_85_1001:hvac_load,house_3_3C_tm_3_C_3_Meter_85_1002:hvac_load,house_3_4C_tm_3_C_4_Meter_85_1003:hvac_load,house_3_5C_tm_3_C_5_Meter_85_1004:hvac_load,house_3_6C_tm_3_C_6_Meter_85_1005:hvac_load,house_3_7C_tm_3_C_7_Meter_85_1006:hvac_load,house_3_8C_tm_3_C_8_Meter_85_1007:hvac_load,house_3_9C_tm_3_C_9_Meter_85_1008:hvac_load,house_3_10C_tm_3_C_10_Meter_85_1009:hvac_load,house_3_11C_tm_3_C_11_Meter_85_1010:hvac_load,house_3_12C_tm_3_C_12_Meter_85_1011:hvac_load,house_3_13C_tm_3_C_13_Meter_85_1012:hvac_load,house_3_14C_tm_3_C_14_Meter_85_1013:hvac_load,house_3_15C_tm_3_C_15_Meter_85_1014:hvac_load,house_3_1B_tm_3_B_1_Meter_86_1015:hvac_load,house_3_2B_tm_3_B_2_Meter_86_1016:hvac_load,house_3_3B_tm_3_B_3_Meter_86_1017:hvac_load,house_3_4B_tm_3_B_4_Meter_86_1018:hvac_load,house_3_5B_tm_3_B_5_Meter_86_1019:hvac_load,house_3_6B_tm_3_B_6_Meter_86_1020:hvac_load
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.79046078736,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.78808828996,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.78915571969,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+5.65586660588,+0,+0,+0,+4.78558751632,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+5.65684805684,+0,+0,+0,+4.78641794177,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+5.65826560612,+0,+0,+0,+4.78761735883,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+5.66143909824,+0,+0,+0,+4.7903025146,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+5.66137080771,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+5.66174631836,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+5.65925431182,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+5.66162544169,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.22341674484,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.22058068052,+0,+0,+5.22041154688,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21846084265,+0,+0,+5.21829179032,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21518761337,+0,+0,+5.21501868656,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.2207993081,+0,+0,+5.22063016607,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.22148792944,+0,+0,+5.221318761,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+3.91236120977,+0,+0,+0,+0,+0,+0,+0,+0,+5.21678829113,+0,+0,+5.21661930296,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+3.91222204437,+0,+0,+0,+0,+0,+0,+0,+0,+5.21660272301,+0,+0,+5.21643374196,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+3.91411448938,+0,+0,+0,+0,+0,+0,+0,+0,+5.21912617675,+0,+0,+0,+0,+5.20851600547,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+3.91466440581,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21149083271,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+3.91572528413,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.20447143454,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+3.91620415357,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.19907006925,+4.76585115526,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+3.9178306137,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.19858173779,+4.76540351351,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.1977490893,+4.76464024459,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.19843403292,+4.76526811599,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.76715834014,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+5.64870264759,+0,+0,+0,+0,+0,+0,+5.21437556063,+0,+0,+0,+0,+0,+0,+4.76639661242,+0,+2.6001882444,+0
2010-08-16 00:32:00 UTC,+0,+0,+5.64158433204,+0,+0,+0,+0,+0,+0,+5.20780454365,+0,+0,+0,+0,+0,+0,+4.76972012504,+0,+2.60200135097,+0
2010-08-16 00:32:30 UTC,+0,+0,+5.64779595015,+0,+0,+0,+0,+0,+0,+5.21353857551,+0,+0,+0,+0,+0,+0,+0,+0,+2.60635696167,+0
2010-08-16 00:33:00 UTC,+0,+0,+5.6463117007,+0,+0,+0,+0,+0,+0,+5.21216844401,+0,+0,+0,+0,+0,+0,+0,+0,+2.60477022903,+0
2010-08-16 00:33:30 UTC,+0,+0,+5.64637958013,+0,+0,+0,+0,+0,+0,+5.21223110446,+0,+0,+0,+0,+0,+0,+0,+0,+2.60725912517,+0
2010-08-16 00:34:00 UTC,+0,+0,+5.64650329522,+0,+0,+0,+0,+0,+0,+5.2123453076,+0,+1.73776445151,+0,+0,+0,+0,+0,+0,+0,+0
