# file...... Output/hvac/house_hvac_file_039.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_17C_tm_3_C_17_Meter_66_761:hvac_load,house_3_18C_tm_3_C_18_Meter_66_762:hvac_load,house_3_19C_tm_3_C_19_Meter_66_763:hvac_load,house_3_20C_tm_3_C_20_Meter_66_764:hvac_load,house_3_21C_tm_3_C_21_Meter_66_765:hvac_load,house_3_22C_tm_3_C_22_Meter_66_766:hvac_load,house_3_23C_tm_3_C_23_Meter_66_767:hvac_load,house_3_24C_tm_3_C_24_Meter_66_768:hvac_load,house_3_25C_tm_3_C_25_Meter_66_769:hvac_load,house_3_26C_tm_3_C_26_Meter_66_770:hvac_load,house_3_27C_tm_3_C_27_Meter_66_771:hvac_load,house_3_28C_tm_3_C_28_Meter_66_772:hvac_load,house_3_1A_tm_3_A_1_Meter_68_773:hvac_load,house_3_2A_tm_3_A_2_Meter_68_774:hvac_load,house_3_3A_tm_3_A_3_Meter_68_775:hvac_load,house_3_4A_tm_3_A_4_Meter_68_776:hvac_load,house_3_5A_tm_3_A_5_Meter_68_777:hvac_load,house_3_6A_tm_3_A_6_Meter_68_778:hvac_load,house_3_7A_tm_3_A_7_Meter_68_779:hvac_load,house_3_8A_tm_3_A_8_Meter_68_780:hvac_load
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.8711858723,+0,+0,+0,+3.06156261994,+3.49878598129,+0,+0,+0,+3.4987081094
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87128601519,+0,+0,+0,+3.0628692063,+3.50027914698,+0,+0,+0,+3.50020123565
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87362322464,+0,+0,+0,+3.06471239921,+3.50238554622,+0,+0,+0,+3.50230757927
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87560054195,+0,+0,+0,+0,+3.49213197019,+0,+0,+0,+3.49205427406
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87540245735,+0,+0,+0,+0,+3.49156521729,+1.30947308372,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87602182649,+0,+0,+0,+0,+3.4904620884,+1.3090593572,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87681882866,+0,+0,+0,+0,+0,+1.30771885053,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+6.02807224963,+0,+0,+0,+0,+0,+0,+0,+1.30721451368,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+6.03129594651,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+6.02539742512,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+6.02217080216,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+6.02312649154,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+6.02141928143,+0,+0,+0,+0,+0,+0,+0,+0,+6.53249779791,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+1.29095003909,+0,+0,+0,+6.02297124758,+0,+0,+0,+0,+0,+0,+0,+0,+6.5351464907,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+1.29128581434,+0,+0,+0,+6.02453772876,+0,+0,+0,+0,+0,+0,+0,+0,+6.53804942829,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+1.29215243769,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.5367501163,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+1.29197062465,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.5347088302,+0,+0
