# file...... Output/hvac/house_hvac_file_007.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_6C_tm_0_C_6_Meter_16_121:hvac_load,house_0_7C_tm_0_C_7_Meter_16_122:hvac_load,house_0_8C_tm_0_C_8_Meter_16_123:hvac_load,house_0_9C_tm_0_C_9_Meter_16_124:hvac_load,house_0_10C_tm_0_C_10_Meter_16_125:hvac_load,house_0_11C_tm_0_C_11_Meter_16_126:hvac_load,house_0_12C_tm_0_C_12_Meter_16_127:hvac_load,house_0_13C_tm_0_C_13_Meter_16_128:hvac_load,house_0_14C_tm_0_C_14_Meter_16_129:hvac_load,house_0_15C_tm_0_C_15_Meter_16_130:hvac_load,house_0_1C_tm_0_C_1_Meter_17_131:hvac_load,house_0_2C_tm_0_C_2_Meter_17_132:hvac_load,house_0_3C_tm_0_C_3_Meter_17_133:hvac_load,house_0_4C_tm_0_C_4_Meter_17_134:hvac_load,house_0_5C_tm_0_C_5_Meter_17_135:hvac_load,house_0_6C_tm_0_C_6_Meter_17_136:hvac_load,house_0_7C_tm_0_C_7_Meter_17_137:hvac_load,house_0_8C_tm_0_C_8_Meter_17_138:hvac_load,house_0_1A_tm_0_A_1_Meter_19_139:hvac_load,house_0_2A_tm_0_A_2_Meter_19_140:hvac_load
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+4.75115687423,+0,+0,+0,+0,+0,+0,+3.88791348184,+0,+0,+0,+0,+0,+3.02231137604
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+4.75048735129,+0,+0,+0,+0,+0,+0,+3.88735683015,+0,+0,+0,+0,+0,+3.02215008851
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+4.75126708426,+0,+0,+0,+0,+0,+0,+3.88799494757,+0,+0,+0,+0,+0,+3.02232576122
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+4.75133262754,+0,+0,+0,+0,+3.88810921969,+0,+0,+0,+0,+0,+0,+0,+3.02236905966
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+4.75282959289,+0,+0,+0,+0,+3.88933432838,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.8896183743,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.88913070155,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.88855808942,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.88973288037,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.88913120474,+0,+0,+0,+0,+0,+0,+0,+0
