# file...... Output/hvac/house_hvac_file_024.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_5B_tm_2_B_5_Meter_48_461:hvac_load,house_2_6B_tm_2_B_6_Meter_48_462:hvac_load,house_2_7B_tm_2_B_7_Meter_48_463:hvac_load,house_2_8B_tm_2_B_8_Meter_48_464:hvac_load,house_2_9B_tm_2_B_9_Meter_48_465:hvac_load,house_2_10B_tm_2_B_10_Meter_48_466:hvac_load,house_2_11B_tm_2_B_11_Meter_48_467:hvac_load,house_2_12B_tm_2_B_12_Meter_48_468:hvac_load,house_2_13B_tm_2_B_13_Meter_48_469:hvac_load,house_2_14B_tm_2_B_14_Meter_48_470:hvac_load,house_2_15B_tm_2_B_15_Meter_48_471:hvac_load,house_2_16B_tm_2_B_16_Meter_48_472:hvac_load,house_2_17B_tm_2_B_17_Meter_48_473:hvac_load,house_2_18B_tm_2_B_18_Meter_48_474:hvac_load,house_2_19B_tm_2_B_19_Meter_48_475:hvac_load,house_2_20B_tm_2_B_20_Meter_48_476:hvac_load,house_2_21B_tm_2_B_21_Meter_48_477:hvac_load,house_2_22B_tm_2_B_22_Meter_48_478:hvac_load,house_2_23B_tm_2_B_23_Meter_48_479:hvac_load,house_2_24B_tm_2_B_24_Meter_48_480:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15495028938,+0,+1.72392556856,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15590687918,+0,+1.72469082182,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+3.44647675333,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15417219318,+0,+1.72330310673,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+3.44829074476,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15530602737,+0,+1.72421015205,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+3.44766044369,+0,+0,+0,+0,+0,+3.87841263853,+0,+0,+0,+2.15491205809,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+3.44486815877,+0,+3.44483477239,+0,+0,+0,+3.87527150306,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+3.44546440424,+0,+3.44543101347,+0,+0,+0,+3.8759422397,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+3.44582009237,+0,+3.44578669897,+0,+0,+0,+3.87634236527,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+3.44728327266,+0,+3.44724986848,+0,+0,+0,+3.87798834612,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,+0,+3.44764967182,+0,+3.44761626493,+0,+0,+0,+3.87840052089,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,+0,+0,+0,+3.44838298486,+0,+0,+0,+3.87926303636,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7380884046,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73855438892,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73805174843,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73984386669,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74027079864,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:00 UTC,+1.72425659869,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74098479355,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:30 UTC,+1.72496829658,+0,+0,+0,+0,+0,+5.60511361721,+0,+0,+0,+0,+0,+4.74294159318,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:00 UTC,+1.72452926098,+0,+0,+0,+0,+0,+5.60368707712,+3.44880755877,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:30 UTC,+1.72454040159,+0,+0,+0,+0,+0,+5.60372327585,+3.44882983789,+0,+0,+0,+0,+0,+0,+0,+1.72461679088,+0,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+5.60314491812,+3.44847387778,+0,+0,+0,+0,+0,+2.15541124026,+0,+1.72429432032,+0,+4.31026195177,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,+5.60277952208,+3.44824898859,+0,+0,+0,+0,+0,+2.15527067488,+0,+1.72418187074,+0,+4.30998086866,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,+0,+0,+5.60240932802,+3.44802114635,+0,+0,+0,+0,+0,+2.15512826371,+0,+1.72406794457,+0,+4.30969609463,+0,+0
2010-08-16 00:12:30 UTC,+0,+0,+0,+0,+0,+0,+5.60265400808,+3.44817173885,+0,+0,+0,+0,+0,+2.15522239048,+0,+0,+3.87884857609,+4.30988431625,+0,+0
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,+5.59932305479,+3.44612164701,+0,+0,+0,+0,+0,+2.15394099517,+0,+0,+3.87654247526,+4.30732196023,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,+0,+0,+5.59778004066,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87547420865,+4.30613498727,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87639723524,+4.30716058107,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87500126692,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87403467706,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.8764697216,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+3.44822164497,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+3.45017010315,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+3.44942499576,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.60497427862
2010-08-16 00:19:30 UTC,+0,+0,+0,+3.45038761426,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.60653842596
2010-08-16 00:20:00 UTC,+0,+0,+0,+3.4493047751,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.6047789335
