# file...... Output/hvac/house_hvac_file_002.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_6B_tm_0_B_6_Meter_2_21:hvac_load,house_0_7B_tm_0_B_7_Meter_2_22:hvac_load,house_0_8B_tm_0_B_8_Meter_2_23:hvac_load,house_0_1C_tm_0_C_1_Meter_4_24:hvac_load,house_0_2C_tm_0_C_2_Meter_4_25:hvac_load,house_0_3C_tm_0_C_3_Meter_4_26:hvac_load,house_0_4C_tm_0_C_4_Meter_4_27:hvac_load,house_0_5C_tm_0_C_5_Meter_4_28:hvac_load,house_0_6C_tm_0_C_6_Meter_4_29:hvac_load,house_0_7C_tm_0_C_7_Meter_4_30:hvac_load,house_0_8C_tm_0_C_8_Meter_4_31:hvac_load,house_0_9C_tm_0_C_9_Meter_4_32:hvac_load,house_0_10C_tm_0_C_10_Meter_4_33:hvac_load,house_0_11C_tm_0_C_11_Meter_4_34:hvac_load,house_0_12C_tm_0_C_12_Meter_4_35:hvac_load,house_0_13C_tm_0_C_13_Meter_4_36:hvac_load,house_0_14C_tm_0_C_14_Meter_4_37:hvac_load,house_0_15C_tm_0_C_15_Meter_4_38:hvac_load,house_0_1C_tm_0_C_1_Meter_5_39:hvac_load,house_0_2C_tm_0_C_2_Meter_5_40:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+2.16076929391,+3.457096124,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+5.18344154356,+0,+0,+2.16002140971,+3.45589956868,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+5.18306762981,+0,+0,+2.15986558904,+3.45565026798,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.02333133001
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+5.18161378444,+0,+0,+2.15925972965,+3.45468094108,+0,+0,+0,+0,+0,+5.61346315541,+0,+0,+0,+0,+3.02242707144
2010-08-16 00:03:30 UTC,+5.1794144213,+0,+3.45312603917,+0,+5.18153033681,+0,+0,+2.1592249546,+3.45462530377,+0,+0,+0,+0,+0,+5.6133727526,+0,+0,+0,+0,+3.022336832
2010-08-16 00:04:00 UTC,+5.1796031234,+0,+3.45325184911,+0,+5.18057839688,+0,+0,+0,+3.45399061386,+0,+0,+0,+0,+0,+5.61234147064,+0,+0,+0,+3.88535395085,+3.02167327345
2010-08-16 00:04:30 UTC,+5.18003872173,+0,+3.45354226774,+0,+5.1921492904,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.62487677172,+0,+0,+0,+3.89352027298,+0
