# file...... Output/hvac/house_hvac_file_043.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_8C_tm_3_C_8_Meter_74_841:hvac_load,house_3_9C_tm_3_C_9_Meter_74_842:hvac_load,house_3_10C_tm_3_C_10_Meter_74_843:hvac_load,house_3_11C_tm_3_C_11_Meter_74_844:hvac_load,house_3_12C_tm_3_C_12_Meter_74_845:hvac_load,house_3_13C_tm_3_C_13_Meter_74_846:hvac_load,house_3_14C_tm_3_C_14_Meter_74_847:hvac_load,house_3_15C_tm_3_C_15_Meter_74_848:hvac_load,house_3_1C_tm_3_C_1_Meter_75_849:hvac_load,house_3_2C_tm_3_C_2_Meter_75_850:hvac_load,house_3_3C_tm_3_C_3_Meter_75_851:hvac_load,house_3_4C_tm_3_C_4_Meter_75_852:hvac_load,house_3_5C_tm_3_C_5_Meter_75_853:hvac_load,house_3_6C_tm_3_C_6_Meter_75_854:hvac_load,house_3_7C_tm_3_C_7_Meter_75_855:hvac_load,house_3_8C_tm_3_C_8_Meter_75_856:hvac_load,house_3_9C_tm_3_C_9_Meter_75_857:hvac_load,house_3_10C_tm_3_C_10_Meter_75_858:hvac_load,house_3_11C_tm_3_C_11_Meter_75_859:hvac_load,house_3_12C_tm_3_C_12_Meter_75_860:hvac_load
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+3.91614310437,+0,+0,+0,+0,+2.6100281118,+0,+0,+0,+2.60987819116,+0,+0,+0,+0,+4.78448997826,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+3.91922946398,+0,+0,+0,+0,+2.61228960082,+0,+0,+0,+2.61213950876,+0,+0,+0,+0,+4.78863542252,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+3.92228692799,+0,+0,+0,+0,+0,+0,+0,+0,+2.61439498313,+0,+0,+0,+0,+4.79277015505,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+3.92206290513,+0,+0,+0,+0,+0,+0,+0,+0,+2.61424940956,+0,+0,+0,+0,+4.79250328975,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+3.92440530934,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.79566081189,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.79758600522,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.05129854212,+0,+0,+0,+0,+0,+0,+0,+4.79473235289,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.05291681273,+0,+0,+0,+0,+0,+0,+0,+4.79727524087,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.05018112224,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04870748844,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04937873689,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04794169528,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04885583696,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.92078381776,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.92258589234,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+5.66452759932,+0,+0,+0,+0,+0,+0,+0,+3.9213240864,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+5.6645891527,+0,+0,+0,+0,+0,+0,+0,+3.92125681659,+0,+0,+0,+0,+2.1785411661,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+5.66249701211,+0,+0,+0,+0,+0,+0,+0,+3.91978205361,+0,+0,+0,+0,+2.17772182508,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+5.6643703598,+0,+0,+0,+0,+0,+0,+0,+3.92077103727,+0,+0,+6.09825852005,+0,+2.17827127939,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+5.66198435215,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.09599761536,+0,+2.17746366977,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+4.35361874816,+5.65959640298,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.09368048835,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+4.35166852304,+5.65706118172,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.09095115493,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+4.34830151943,+5.65268420033,+0,+0,+0,+0,+0,+2.60876132842,+0,+0,+0,+0,+6.08611725342,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+4.35314695974,+0,+0,+0,+0,+0,+0,+2.61153413531,+0,+0,+0,+2.61137350915,+6.09258584017,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+4.35291189141,+0,+0,+0,+0,+0,+0,+2.61142861838,+0,+0,+0,+2.61126800106,+6.09233968332,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+4.3492580843,+0,+0,+0,+0,+0,+0,+2.60923687024,+0,+0,+0,+2.60907643656,+6.08722662885,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60977857592,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61030234536,+0,+0,+0,+0,+0,+0
