# file...... Output/hvac/house_hvac_file_029.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_3C_tm_2_C_3_Meter_49_561:hvac_load,house_2_4C_tm_2_C_4_Meter_49_562:hvac_load,house_2_5C_tm_2_C_5_Meter_49_563:hvac_load,house_2_6C_tm_2_C_6_Meter_49_564:hvac_load,house_2_7C_tm_2_C_7_Meter_49_565:hvac_load,house_2_8C_tm_2_C_8_Meter_49_566:hvac_load,house_2_9C_tm_2_C_9_Meter_49_567:hvac_load,house_2_10C_tm_2_C_10_Meter_49_568:hvac_load,house_2_11C_tm_2_C_11_Meter_49_569:hvac_load,house_2_12C_tm_2_C_12_Meter_49_570:hvac_load,house_2_13C_tm_2_C_13_Meter_49_571:hvac_load,house_2_14C_tm_2_C_14_Meter_49_572:hvac_load,house_2_15C_tm_2_C_15_Meter_49_573:hvac_load,house_2_1C_tm_2_C_1_Meter_50_574:hvac_load,house_2_2C_tm_2_C_2_Meter_50_575:hvac_load,house_2_3C_tm_2_C_3_Meter_50_576:hvac_load,house_2_4C_tm_2_C_4_Meter_50_577:hvac_load,house_2_5C_tm_2_C_5_Meter_50_578:hvac_load,house_2_6C_tm_2_C_6_Meter_50_579:hvac_load,house_2_7C_tm_2_C_7_Meter_50_580:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.71771478901,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.72128059042,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+4.30002410556,+0,+0,+0,+1.72035370481,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+4.29487255944,+0,+3.00676538957,+0,+1.7182925436,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+4.29454439219,+0,+3.00653563699,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+4.29307576835,+0,+3.00550744137,+5.15141058113,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+0,+4.29232734192,+0,+3.00498346187,+5.15051252831,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+4.28978234073,+0,+3.00320168558,+5.14745872712,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+5.58372530219,+0,+0,+0,+0,+0,+4.29541701302,+0,+3.00714656599,+5.15421989054,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.43664159454
2010-08-16 00:05:00 UTC,+5.58408722437,+4.29607202061,+0,+0,+0,+0,+0,+0,+3.00734148958,+5.15455397168,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.43686227475
2010-08-16 00:05:30 UTC,+5.58155442162,+4.29412335191,+0,+0,+0,+0,+0,+0,+0,+5.15221600606,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.4352248916
2010-08-16 00:06:00 UTC,+5.58742717515,+4.29864168666,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.4389694005,+0,+0,+0,+0,+3.43872798849
2010-08-16 00:06:30 UTC,+5.59024256659,+4.30080777114,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44070336112,+0,+0,+0,+0,+3.44049037723
2010-08-16 00:07:00 UTC,+5.58908998874,+4.29992100957,+0,+0,+4.72988827423,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.4400381544,+0,+0,+0,+0,+3.43982522387
