# file...... Output/hvac/house_hvac_file_057.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_8A_tm_3_A_8_Meter_98_1121:hvac_load,house_3_9A_tm_3_A_9_Meter_98_1122:hvac_load,house_3_10A_tm_3_A_10_Meter_98_1123:hvac_load,house_3_11A_tm_3_A_11_Meter_98_1124:hvac_load,house_3_12A_tm_3_A_12_Meter_98_1125:hvac_load,house_3_13A_tm_3_A_13_Meter_98_1126:hvac_load,house_3_14A_tm_3_A_14_Meter_98_1127:hvac_load,house_3_15A_tm_3_A_15_Meter_98_1128:hvac_load,house_3_1B_tm_3_B_1_Meter_99_1129:hvac_load,house_3_2B_tm_3_B_2_Meter_99_1130:hvac_load,house_3_3B_tm_3_B_3_Meter_99_1131:hvac_load,house_3_4B_tm_3_B_4_Meter_99_1132:hvac_load,house_3_5B_tm_3_B_5_Meter_99_1133:hvac_load,house_3_6B_tm_3_B_6_Meter_99_1134:hvac_load,house_3_7B_tm_3_B_7_Meter_99_1135:hvac_load,house_3_8B_tm_3_B_8_Meter_99_1136:hvac_load,house_3_9B_tm_3_B_9_Meter_99_1137:hvac_load,house_3_10B_tm_3_B_10_Meter_99_1138:hvac_load,house_3_11B_tm_3_B_11_Meter_99_1139:hvac_load,house_3_12B_tm_3_B_12_Meter_99_1140:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.08261086632,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+4.75558866043,+0,+0,+0,+0,+0,+0,+0,+6.9449885923,+0,+0,+0,+0,+0,+6.07699297542,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+4.74866172621,+0,+0,+0,+0,+0,+0,+0,+6.94290804122,+0,+0,+0,+0,+0,+6.07517244586,+0
2010-08-16 00:02:30 UTC,+0,+0,+6.06767301513,+0,+4.76773335914,+0,+0,+0,+0,+0,+0,+0,+6.94158790375,+0,+0,+0,+0,+0,+6.07393659727,+0
2010-08-16 00:03:00 UTC,+0,+0,+6.06349971158,+0,+4.76445414986,+0,+0,+0,+0,+0,+0,+0,+6.93627789775,+0,+0,+0,+0,+0,+6.06929034323,+0
2010-08-16 00:03:30 UTC,+0,+0,+6.05927121841,+0,+4.7611315749,+0,+0,+0,+0,+0,+0,+0,+6.93413563354,+0,+0,+0,+0,+0,+6.06741586257,+0
2010-08-16 00:04:00 UTC,+0,+0,+6.06395357184,+0,+4.76481077447,+0,+0,+0,+0,+0,+0,+0,+6.93626074115,+0,+0,+0,+0,+0,+6.06927533121,+0
2010-08-16 00:04:30 UTC,+0,+0,+6.06838774949,+0,+4.76829496784,+0,+0,+0,+0,+0,+0,+0,+6.93962410878,+0,+0,+0,+0,+0,+6.07221827711,+0
