# file...... Output/hvac/house_hvac_file_012.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_8A_tm_1_A_8_Meter_29_221:hvac_load,house_1_9A_tm_1_A_9_Meter_29_222:hvac_load,house_1_10A_tm_1_A_10_Meter_29_223:hvac_load,house_1_11A_tm_1_A_11_Meter_29_224:hvac_load,house_1_12A_tm_1_A_12_Meter_29_225:hvac_load,house_1_13A_tm_1_A_13_Meter_29_226:hvac_load,house_1_14A_tm_1_A_14_Meter_29_227:hvac_load,house_1_15A_tm_1_A_15_Meter_29_228:hvac_load,house_1_1C_tm_1_C_1_Meter_30_229:hvac_load,house_1_2C_tm_1_C_2_Meter_30_230:hvac_load,house_1_3C_tm_1_C_3_Meter_30_231:hvac_load,house_1_4C_tm_1_C_4_Meter_30_232:hvac_load,house_1_5C_tm_1_C_5_Meter_30_233:hvac_load,house_1_6C_tm_1_C_6_Meter_30_234:hvac_load,house_1_7C_tm_1_C_7_Meter_30_235:hvac_load,house_1_8C_tm_1_C_8_Meter_30_236:hvac_load,house_1_9C_tm_1_C_9_Meter_30_237:hvac_load,house_1_10C_tm_1_C_10_Meter_30_238:hvac_load,house_1_11C_tm_1_C_11_Meter_30_239:hvac_load,house_1_12C_tm_1_C_12_Meter_30_240:hvac_load
2010-08-16 00:14:00 UTC,+0,+0,+0,+3.88884547333,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+3.89013562074,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+3.89046821827,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+3.88810038295,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74747471488,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7454499137,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74692257983,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7453044645,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74407729004,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74282393519,+0,+5.60440819239,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+2.59073339876,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74216454675,+0,+5.60362904744,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+2.5909961954,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7432677427,+0,+5.60493260315,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+2.59080468661,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.60500595252,+0,+1.29379191838,+0
2010-08-16 00:21:00 UTC,+0,+2.5905211098,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.607877787,+5.17688801957,+1.29445486145,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.60761591024,+5.17664626489,+1.29439440902,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.60555606455,+5.1747446935,+1.29391890793,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.60618005676,+5.17532073943,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17757218921,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+4.7450439264,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17589852795,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+4.74546576843,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17596981137,+0,+0
2010-08-16 00:24:30 UTC,+5.17649915663,+0,+0,+0,+0,+4.74528418257,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17375621515,+0,+0
2010-08-16 00:25:00 UTC,+5.17943667203,+0,+0,+0,+0,+4.74797701089,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17155596107,+0,+0
2010-08-16 00:25:30 UTC,+5.17774791989,+0,+0,+0,+0,+4.74642892724,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17381265772,+0,+0
2010-08-16 00:26:00 UTC,+5.17959591536,+0,+0,+0,+0,+4.74812298969,+0,+0,+0,+2.15588522848,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+5.17849068263,+0,+0,+0,+0,+4.74710981985,+0,+0,+0,+2.15427604678,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+5.17592560056,+0,+0,+0,+0,+4.74475840217,+0,+0,+0,+2.15353583316,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+5.17669287896,+0,+0,+0,+2.15726471939,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+5.17711662166,+0,+0,+0,+2.15744130947,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+2.15741701896,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+2.15781837659,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+2.15774372039,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+2.1569929937,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+6.46884513249,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+6.47007968714,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+6.47296760556,+0,+0,+0,+0,+0,+0,+4.73841013134,+0,+0,+0,+1.29244998405,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+6.46669635883,+0,+0,+0,+0,+0,+0,+4.7410651183,+0,+0,+0,+1.2931741802,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+6.46795021908,+0,+0,+0,+0,+0,+0,+4.7407821158,+0,+0,+0,+1.2930969861,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+6.46844365493,+0,+0,+0,+0,+0,+0,+4.74078595495,+0,+0,+0,+1.2930980333,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+6.47168507466,+0,+0,+0,+0,+0,+0,+4.73995686122,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+6.4700763225,+0,+0,+0,+0,+0,+0,+4.73885591841,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74137979949,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7418532251,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+2.58928714511,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+2.58942748813,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+2.58929669986,+0,+3.88355179139,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+2.58964930248,+0,+3.88408062688,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+3.88574327971,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+3.88530379767,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+3.88539611573,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01673801223,+5.60144749023,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+3.88599389846,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01525083386,+5.59868625243,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+3.88462324139,+0,+0,+0,+0,+0,+2.15406174426,+0,+0,+0,+0,+0,+3.01564387114,+5.59941600311,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+3.88455953154,+0,+0,+0,+0,+0,+2.1539782418,+0,+0,+0,+0,+0,+3.01552697029,+5.59919895376,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+3.88409371264,+0,+0,+0,+0,+0,+2.15396234102,+0,+0,+0,+0,+0,+3.01550470968,+5.59915762264,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.73886109014,+2.15409314256,+0,+3.01577483378,+0,+0,+0,+3.01568782779,+5.59949761719,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.73701887679,+0,+0,+3.01460245369,+0,+0,+0,+3.01451549208,+5.59732094649,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.73795068946,+0,+0,+3.01519545701,+0,+0,+0,+3.01510847295,+0,+5.16815873242,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.73861482595,+0,+0,+3.01561811186,+0,+0,+0,+0,+0,+5.16888314853,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.739512666,+0,+0,+3.01618949506,+0,+0,+0,+0,+0,+5.16986248012,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.73683496841,+0,+0,+3.01448541485,+0,+0,+0,+0,+0,+5.16694174413,+1.29196772629,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.7360742025,+0,+0,+0,+0,+0,+0,+0,+0,+5.16611192809,+1.29176022503,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.73691960129,+0,+0,+0,+0,+0,+0,+0,+0,+5.16703405863,+1.29199081017,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17011742642,+1.29276182771,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17134279142,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17153136209,+0,+0
