# file...... Output/hvac/house_hvac_file_061.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_5B_tm_3_B_5_Meter_106_1201:hvac_load,house_3_6B_tm_3_B_6_Meter_106_1202:hvac_load,house_3_7B_tm_3_B_7_Meter_106_1203:hvac_load,house_3_8B_tm_3_B_8_Meter_106_1204:hvac_load,house_3_9B_tm_3_B_9_Meter_106_1205:hvac_load,house_3_10B_tm_3_B_10_Meter_106_1206:hvac_load,house_3_11B_tm_3_B_11_Meter_106_1207:hvac_load,house_3_12B_tm_3_B_12_Meter_106_1208:hvac_load,house_3_13B_tm_3_B_13_Meter_106_1209:hvac_load,house_3_14B_tm_3_B_14_Meter_106_1210:hvac_load,house_3_15B_tm_3_B_15_Meter_106_1211:hvac_load,house_3_1B_tm_3_B_1_Meter_107_1212:hvac_load,house_3_2B_tm_3_B_2_Meter_107_1213:hvac_load,house_3_3B_tm_3_B_3_Meter_107_1214:hvac_load,house_3_4B_tm_3_B_4_Meter_107_1215:hvac_load,house_3_5B_tm_3_B_5_Meter_107_1216:hvac_load,house_3_6B_tm_3_B_6_Meter_107_1217:hvac_load,house_3_7B_tm_3_B_7_Meter_107_1218:hvac_load,house_3_8B_tm_3_B_8_Meter_107_1219:hvac_load,house_3_9B_tm_3_B_9_Meter_107_1220:hvac_load
2010-08-16 00:12:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61106916238,+0,+0,+2.61111591306,+0,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60993332393,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60813762661,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.03962044533,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+5.64237446971,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.03804924116,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+5.64379237643,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.03881163438,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+5.64432355707,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.03910431932,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+5.64803030772,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04109992175,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+2.17245094515,+0,+5.64689024179,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.77671807849,+3.90812770729,+0,+0
2010-08-16 00:17:30 UTC,+0,+2.17263758514,+0,+5.64797958037,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.77767173832,+3.90890795072,+0,+0
2010-08-16 00:18:00 UTC,+0,+2.17393519501,+0,+5.65135271981,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78053129187,+3.91124751437,+0,+0
2010-08-16 00:18:30 UTC,+0,+2.17573615734,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78440616469,+3.91441776856,+0,+0
2010-08-16 00:19:00 UTC,+0,+2.17417519455,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78033024983,+3.91108303042,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
