# file...... Output/hvac/house_hvac_file_050.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13A_tm_3_A_13_Meter_82_981:hvac_load,house_3_14A_tm_3_A_14_Meter_82_982:hvac_load,house_3_15A_tm_3_A_15_Meter_82_983:hvac_load,house_3_1C_tm_3_C_1_Meter_83_984:hvac_load,house_3_2C_tm_3_C_2_Meter_83_985:hvac_load,house_3_3C_tm_3_C_3_Meter_83_986:hvac_load,house_3_4C_tm_3_C_4_Meter_83_987:hvac_load,house_3_5C_tm_3_C_5_Meter_83_988:hvac_load,house_3_6C_tm_3_C_6_Meter_83_989:hvac_load,house_3_7C_tm_3_C_7_Meter_83_990:hvac_load,house_3_8C_tm_3_C_8_Meter_83_991:hvac_load,house_3_1C_tm_3_C_1_Meter_84_992:hvac_load,house_3_2C_tm_3_C_2_Meter_84_993:hvac_load,house_3_3C_tm_3_C_3_Meter_84_994:hvac_load,house_3_4C_tm_3_C_4_Meter_84_995:hvac_load,house_3_5C_tm_3_C_5_Meter_84_996:hvac_load,house_3_6C_tm_3_C_6_Meter_84_997:hvac_load,house_3_7C_tm_3_C_7_Meter_84_998:hvac_load,house_3_8C_tm_3_C_8_Meter_84_999:hvac_load,house_3_1C_tm_3_C_1_Meter_85_1000:hvac_load
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.04820661231,+1.74195146254,+0,+0,+0,+0,+0,+3.04744625488,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.04734391549,+0,+0,+0,+0,+0,+0,+3.04652258494,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.04745435008,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61467234017
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.615885822
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61667179426
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61531622427
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61674660971
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61340525295
2010-08-16 00:18:30 UTC,+0,+0,+0,+6.09731223539,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+6.09865802157,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+6.09515979286,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+6.0958998442,+0,+0,+4.35435469219,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+6.097427612,+0,+0,+4.35544599637,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+4.35819764358,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+1.74283952015,+0,+0,+0,+0,+4.35736523194,+0,+0,+0,+2.61450567706,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+1.74118029603,+0,+0,+0,+0,+4.3576621928,+0,+0,+0,+2.61468385998,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+1.74266304111,+0,+0,+0,+0,+4.35574308351,+0,+0,+0,+2.61353235304,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+1.74243115533,+0,+0,+0,+0,+0,+4.35765923955,+0,+0,+2.61462545065,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+2.17760236979,+0,+4.35484393967,+0,+1.74207018292,+2.61293625062,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+2.17676911765,+0,+4.35317760444,+0,+1.74140358637,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+2.17588473127,+0,+4.35140901115,+0,+1.74069608274,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+2.17452113215,+0,+4.34868208961,+0,+1.73960521189,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+2.17690594302,+0,+4.3534512274,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+2.17719299094,+0,+4.354025265,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61207720156
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61368052746
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04627102936,+0,+0,+4.78609617559,+2.61070053634
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.08475013945,+0,+0,+0,+3.04294752895,+0,+0,+4.78087477008,+2.60752871025
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.07708113271,+0,+0,+0,+3.03911213358,+0,+0,+4.77484914934,+2.60424266039
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.08353993526,+0,+0,+0,+3.04234228613,+0,+0,+4.77992389968,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+6.08655329489,+0,+0,+0,+0,+0,+0,+0,+6.08194095439,+0,+0,+0,+3.04154260972,+0,+0,+4.77866756328,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+6.08632154454,+0,+0,+0,+0,+0,+0,+0,+6.08212241289,+0,+0,+0,+0,+0,+0,+4.77881013716,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+6.08630583434,+0,+0,+0,+0,+0,+0,+0,+6.08258142851,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+6.0852649651,+0,+0,+0,+0,+0,+0,+0,+6.0815415923,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+1.73998506102,+0,+6.09350072149,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+1.73977133651,+0,+6.09456951549,+0,+0,+0,+0,+0,+0,+2.61212910532,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+1.73993088922,+0,+0,+0,+0,+0,+0,+0,+1.73996842327,+2.60978386913,+0,+2.60872114271,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+1.74020580451,+0,+0,+0,+0,+0,+0,+3.04097263764,+1.73781741125,+2.60655761524,+0,+2.60558880101,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+4.34258066642,+0,+3.03989581225,+1.73720203012,+2.60563461912,+0,+2.60456709757,+0,+0,+0,+0,+3.90680984127,+0,+0
