# file...... Output/hvac/house_hvac_file_064.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_4A_tm_3_A_4_Meter_113_1261:hvac_load,house_3_5A_tm_3_A_5_Meter_113_1262:hvac_load,house_3_6A_tm_3_A_6_Meter_113_1263:hvac_load,house_3_7A_tm_3_A_7_Meter_113_1264:hvac_load,house_3_8A_tm_3_A_8_Meter_113_1265:hvac_load,house_3_9A_tm_3_A_9_Meter_113_1266:hvac_load,house_3_10A_tm_3_A_10_Meter_113_1267:hvac_load,house_3_11A_tm_3_A_11_Meter_113_1268:hvac_load,house_3_12A_tm_3_A_12_Meter_113_1269:hvac_load,house_3_13A_tm_3_A_13_Meter_113_1270:hvac_load,house_3_14A_tm_3_A_14_Meter_113_1271:hvac_load,house_3_15A_tm_3_A_15_Meter_113_1272:hvac_load,house_3_1A_tm_3_A_1_Meter_114_1273:hvac_load,house_3_2A_tm_3_A_2_Meter_114_1274:hvac_load,house_3_3A_tm_3_A_3_Meter_114_1275:hvac_load,house_3_4A_tm_3_A_4_Meter_114_1276:hvac_load,house_3_5A_tm_3_A_5_Meter_114_1277:hvac_load,house_3_6A_tm_3_A_6_Meter_114_1278:hvac_load,house_3_7A_tm_3_A_7_Meter_114_1279:hvac_load,house_3_8A_tm_3_A_8_Meter_114_1280:hvac_load
2010-08-16 00:13:30 UTC,+0,+0,+0,+3.92712622659,+0,+0,+0,+0,+0,+0,+0,+6.10845589089,+0,+0,+0,+3.92674942614,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+3.93137188736,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+3.93376567146,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+3.92079851598,+0,+0,+3.92055852061,+0,+0,+0,+0,+0,+0,+3.48490406033,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+3.91935372666,+0,+0,+3.9191138375,+0,+0,+0,+0,+0,+0,+3.48366935493,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+3.91906093046,+0,+0,+0,+0,+0,+0,+3.48357807279,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+3.91389063188,+0,+2.17462507137,+0,+4.78397533112,+0,+0,+3.4790572455,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+3.91275928365,+0,+2.17399645975,+0,+4.78259245835,+0,+0,+3.47805924034,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+3.9108040992,+0,+2.17291009955,+0,+4.78020259171,+0,+0,+3.47635946598,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+2.17432357721,+0,+4.7833120789,+0,+0,+3.47857641257,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+3.04484984425,+0,+0,+0,+0,+0,+0,+0,+0,+4.78463824865,+0,+0,+3.47951665627,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+3.04592516222,+2.17566603371,+0,+0,+0,+0,+0,+0,+0,+4.78632797576,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+3.04317596838,+2.17370232986,+0,+0,+0,+0,+4.34702414841,+0,+0,+4.78200796298,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+3.04453573876,+2.17467359143,+0,+0,+0,+0,+4.34896646757,+0,+0,+4.78414467133,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+2.17564201013,+0,+0,+0,+0,+4.35090310162,+0,+0,+4.78627512556,+0,+0,+0,+0,+0,+0,+0,+0,+5.22042957455
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4.35094058424,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.48024125652,+5.22011077834
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+2.60968515044,+0,+4.34909643018,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47879466123,+5.21794101471
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+2.60714207659,+0,+4.34485842467,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47540510026,+5.21285697627
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+2.60991563583,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47905463165,+5.2183309471
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+2.60962668036,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47866950477,+5.21775329121
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+2.60845380371,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47710626641,+5.21540857343
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21768178006
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04258654264,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04260504995,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.0402848345,+0,+0,+3.04034823085,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04197490049,+0,+0,+3.04203834249,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04382452709,+0,+0,+3.04388801906,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04556205999,+0,+0,+3.04562559888,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+2.60469938122,+0,+0,+0,+0,+0,+0,+0,+0,+3.03834324496,+0,+0,+3.03840658882,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+2.60480907187,+0,+0,+0,+0,+4.77534845628,+0,+0,+0,+0,+0,+0,+3.03870712564,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+2.17061706521,+0,+0,+2.60473932649,+0,+0,+0,+0,+4.77522059394,+0,+0,+0,+0,+0,+0,+3.03864636079,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+2.17099795999,+0,+0,+2.60519640086,+0,+0,+0,+0,+4.77605853616,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+2.16828364425,+3.90276724465,+3.90258717681,+2.60193921751,+3.9025285748,+0,+0,+0,+4.77008722904,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+2.16987039402,+3.90562327938,+3.90544304984,+0,+3.90538439953,+0,+2.16989874882,+0,+4.77357796892,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+2.16849401637,+3.90314589924,+3.90296580997,+0,+3.90290720156,+0,+2.16852234191,+0,+4.77055003318,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+3.90287082675,+3.90269075307,+0,+3.90263214932,+0,+2.16836951445,+0,+4.7702138305,+6.07072843394,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+3.90396902514,+3.90378888926,+0,+3.90373026692,+0,+2.16897966219,+0,+4.77155608481,+6.07243659909,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+3.90600759255,+3.90582734126,+0,+0,+0,+0,+0,+4.77404768915,+6.07560743779,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+3.90639175742,+0,+0,+0,+0,+0,+0,+4.77451722813,+6.07620497739,+0,+0,+0,+3.90613550783,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.08506262624,+0,+0,+0,+3.91172337952,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.08469425366,+0,+0,+0,+3.9114865878,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.08496369244,+0,+0,+0,+3.91165978439,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+3.0428975405,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.085180971,+0,+0,+0,+3.9118366113,+0,+0,+0,+0
