# file...... Output/hvac/house_hvac_file_003.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_3C_tm_0_C_3_Meter_5_41:hvac_load,house_0_4C_tm_0_C_4_Meter_5_42:hvac_load,house_0_5C_tm_0_C_5_Meter_5_43:hvac_load,house_0_6C_tm_0_C_6_Meter_5_44:hvac_load,house_0_7C_tm_0_C_7_Meter_5_45:hvac_load,house_0_8C_tm_0_C_8_Meter_5_46:hvac_load,house_0_1C_tm_0_C_1_Meter_6_47:hvac_load,house_0_2C_tm_0_C_2_Meter_6_48:hvac_load,house_0_3C_tm_0_C_3_Meter_6_49:hvac_load,house_0_4C_tm_0_C_4_Meter_6_50:hvac_load,house_0_5C_tm_0_C_5_Meter_6_51:hvac_load,house_0_6C_tm_0_C_6_Meter_6_52:hvac_load,house_0_7C_tm_0_C_7_Meter_6_53:hvac_load,house_0_8C_tm_0_C_8_Meter_6_54:hvac_load,house_0_9C_tm_0_C_9_Meter_6_55:hvac_load,house_0_10C_tm_0_C_10_Meter_6_56:hvac_load,house_0_11C_tm_0_C_11_Meter_6_57:hvac_load,house_0_12C_tm_0_C_12_Meter_6_58:hvac_load,house_0_13C_tm_0_C_13_Meter_6_59:hvac_load,house_0_14C_tm_0_C_14_Meter_6_60:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15588985211,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16103271687,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+6.04788369164,+0,+0,+0,+0,+0,+2.16031919379,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+6.04585501986,+0,+0,+0,+0,+0,+2.15951696426,+0,+3.8869750144,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+6.04527039465,+0,+0,+0,+0,+0,+0,+0,+3.88674553039,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+6.04346240869,+0,+0,+0,+0,+0,+0,+0,+3.88529562428,+0,+3.45353246816,+0,+0,+0,+0,+4.74823384991,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+6.04328198282,+0,+0,+0,+0,+0,+0,+0,+3.88511761083,+0,+3.45337423845,+0,+0,+0,+1.72679200515,+4.74801630497,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+6.04195525553,+0,+0,+0,+0,+0,+0,+0,+3.88418061278,+0,+3.45254137487,+0,+0,+2.58941872827,+1.7263755403,+4.74687122757,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+6.05536965102,+0,+0,+0,+0,+0,+0,+0,+3.89282346555,+0,+3.46022369339,+0,+0,+2.59518051836,+1.73021700445,+4.75743340086,+0
