# file...... Output/hvac/house_hvac_file_059.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_3C_tm_3_C_3_Meter_102_1161:hvac_load,house_3_4C_tm_3_C_4_Meter_102_1162:hvac_load,house_3_5C_tm_3_C_5_Meter_102_1163:hvac_load,house_3_6C_tm_3_C_6_Meter_102_1164:hvac_load,house_3_7C_tm_3_C_7_Meter_102_1165:hvac_load,house_3_8C_tm_3_C_8_Meter_102_1166:hvac_load,house_3_1C_tm_3_C_1_Meter_103_1167:hvac_load,house_3_2C_tm_3_C_2_Meter_103_1168:hvac_load,house_3_3C_tm_3_C_3_Meter_103_1169:hvac_load,house_3_4C_tm_3_C_4_Meter_103_1170:hvac_load,house_3_5C_tm_3_C_5_Meter_103_1171:hvac_load,house_3_6C_tm_3_C_6_Meter_103_1172:hvac_load,house_3_7C_tm_3_C_7_Meter_103_1173:hvac_load,house_3_8C_tm_3_C_8_Meter_103_1174:hvac_load,house_3_9C_tm_3_C_9_Meter_103_1175:hvac_load,house_3_10C_tm_3_C_10_Meter_103_1176:hvac_load,house_3_11C_tm_3_C_11_Meter_103_1177:hvac_load,house_3_12C_tm_3_C_12_Meter_103_1178:hvac_load,house_3_13C_tm_3_C_13_Meter_103_1179:hvac_load,house_3_14C_tm_3_C_14_Meter_103_1180:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.89789711418,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.89721457254,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+2.60264816143,+0,+0,+0,+0,+0,+5.20265113396,+0,+0,+0,+0,+0,+3.90256414849,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+2.60033709859,+0,+0,+0,+0,+0,+5.1977148246,+0,+0,+0,+0,+1.29975210424,+3.89886122456,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+2.5975783048,+0,+0,+0,+0,+0,+5.19213743406,+0,+0,+0,+0,+1.29835731365,+3.89467739948,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+2.59615134697,+0,+0,+0,+0,+0,+5.18928089302,+0,+0,+0,+0,+1.29764295149,+3.89253459304,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+2.59373998249,+0,+3.89020190732,+0,+0,+0,+5.18446225085,+0,+0,+0,+0,+1.29643790811,+3.88891993541,+0,+0,+3.88898877161,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+3.89951584096,+0,+0,+0,+5.19672866464,+2.59880141698,+0,+0,+0,+0,+3.89812146621,+0,+0,+3.89819052865,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+3.89482763594,+0,+0,+0,+5.19100538083,+2.595939175,+0,+0,+0,+0,+0,+0,+0,+3.8938971577,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+3.89805271098,+0,+0,+0,+5.19507813815,+2.59797598071,+0,+0,+4.32941669697,+0,+0,+0,+0,+3.89695237194,+0,+0,+0
