# file...... Output/hvac/house_hvac_file_009.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_8A_tm_0_A_8_Meter_20_161:hvac_load,house_0_9A_tm_0_A_9_Meter_20_162:hvac_load,house_0_10A_tm_0_A_10_Meter_20_163:hvac_load,house_0_11A_tm_0_A_11_Meter_20_164:hvac_load,house_0_12A_tm_0_A_12_Meter_20_165:hvac_load,house_0_13A_tm_0_A_13_Meter_20_166:hvac_load,house_0_14A_tm_0_A_14_Meter_20_167:hvac_load,house_0_15A_tm_0_A_15_Meter_20_168:hvac_load,house_1_1B_tm_1_B_1_Meter_22_169:hvac_load,house_1_2B_tm_1_B_2_Meter_22_170:hvac_load,house_1_3B_tm_1_B_3_Meter_22_171:hvac_load,house_1_4B_tm_1_B_4_Meter_22_172:hvac_load,house_1_5B_tm_1_B_5_Meter_22_173:hvac_load,house_1_6B_tm_1_B_6_Meter_22_174:hvac_load,house_1_7B_tm_1_B_7_Meter_22_175:hvac_load,house_1_8B_tm_1_B_8_Meter_22_176:hvac_load,house_1_9B_tm_1_B_9_Meter_22_177:hvac_load,house_1_10B_tm_1_B_10_Meter_22_178:hvac_load,house_1_11B_tm_1_B_11_Meter_22_179:hvac_load,house_1_12B_tm_1_B_12_Meter_22_180:hvac_load
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.46538637017,+0,+0,+0,+0,+3.01745317281,+0,+0,+0
2010-08-16 00:14:30 UTC,+2.1615324183,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.30823256534,+6.46211647864,+0,+0,+0,+0,+3.01592706515,+0,+0,+2.15439047969
2010-08-16 00:15:00 UTC,+2.16150975908,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.3063479362,+6.45928964283,+0,+5.16708787062,+0,+0,+3.01460773821,+0,+0,+2.15344801067
2010-08-16 00:15:30 UTC,+2.16016830001,+3.88808054691,+0,+0,+0,+0,+0,+0,+0,+0,+4.30853968637,+6.46257714261,+0,+5.16971761201,+0,+0,+3.01614206395,+0,+0,+2.15454406534
2010-08-16 00:16:00 UTC,+2.15967793957,+3.88719795379,+0,+0,+0,+3.02354763425,+0,+0,+0,+0,+4.30876873677,+6.46292070511,+0,+5.169992435,+0,+0,+3.01630240975,+0,+0,+2.15465860931
2010-08-16 00:16:30 UTC,+0,+3.88673904156,+0,+0,+0,+3.02320670796,+0,+0,+0,+0,+4.30954630725,+6.46404276698,+0,+5.17088999631,+0,+0,+3.01682609295,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+3.88649561333,+0,+0,+0,+3.02301736074,+0,+0,+0,+0,+4.31087903498,+0,+0,+5.17248902944,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+3.88561189301,+0,+0,+0,+3.0223299713,+0,+0,+0,+0,+4.31186570498,+0,+0,+5.17367285568,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+3.88555725367,+3.88532126899,+0,+0,+3.02228747085,+0,+0,+0,+0,+0,+0,+0,+5.17532537322,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+3.88537931965,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
