# file...... Output/regulator_16067010.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# target.... regulator 327
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,tap_A,tap_B,tap_C,tap_A_change_count,tap_B_change_count,tap_C_change_count
2010-08-16 00:16:30 UTC,5,4,5,+1,+0,+1
2010-08-16 00:17:00 UTC,5,4,5,+1,+0,+1
2010-08-16 00:17:30 UTC,5,4,5,+1,+0,+1
2010-08-16 00:18:00 UTC,5,4,5,+1,+0,+1
2010-08-16 00:18:30 UTC,5,4,5,+1,+0,+1
2010-08-16 00:19:00 UTC,5,4,5,+1,+0,+1
2010-08-16 00:19:30 UTC,5,4,5,+1,+0,+1
2010-08-16 00:20:00 UTC,5,4,5,+1,+0,+1
2010-08-16 00:20:30 UTC,5,4,5,+1,+0,+1
2010-08-16 00:21:00 UTC,5,4,5,+1,+0,+1
2010-08-16 00:21:30 UTC,5,4,5,+1,+0,+1
2010-08-16 00:22:00 UTC,5,4,5,+1,+0,+1
2010-08-16 00:22:30 UTC,5,4,5,+1,+0,+1
2010-08-16 00:23:00 UTC,5,4,5,+1,+0,+1
2010-08-16 00:23:30 UTC,5,4,5,+1,+0,+1
2010-08-16 00:24:00 UTC,5,4,5,+1,+0,+1
2010-08-16 00:24:30 UTC,5,4,5,+1,+0,+1
2010-08-16 00:25:00 UTC,4,4,5,+2,+0,+1
2010-08-16 00:25:30 UTC,4,4,5,+2,+0,+1
2010-08-16 00:26:00 UTC,4,4,5,+2,+0,+1
2010-08-16 00:26:30 UTC,4,4,5,+2,+0,+1
2010-08-16 00:27:00 UTC,4,4,5,+2,+0,+1
2010-08-16 00:27:30 UTC,4,5,5,+2,+1,+1
2010-08-16 00:28:00 UTC,4,5,5,+2,+1,+1
2010-08-16 00:28:30 UTC,4,5,5,+2,+1,+1
2010-08-16 00:29:00 UTC,4,5,5,+2,+1,+1
2010-08-16 00:29:30 UTC,4,5,5,+2,+1,+1
2010-08-16 00:30:00 UTC,4,5,5,+2,+1,+1
2010-08-16 00:30:30 UTC,4,5,5,+2,+1,+1
2010-08-16 00:31:00 UTC,4,5,5,+2,+1,+1
2010-08-16 00:31:30 UTC,4,5,5,+2,+1,+1
2010-08-16 00:32:00 UTC,4,5,5,+2,+1,+1
2010-08-16 00:32:30 UTC,4,5,5,+2,+1,+1
2010-08-16 00:33:00 UTC,4,5,5,+2,+1,+1
