# file...... Output/house_1_1B_tm_1_B_1_Meter_22_169.csv
# date...... Tue Dec  5 21:17:54 2017
# user...... yingying
# host...... (null)
# target.... house 1231
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_state, air_temperature, hvac_load, total_load
2010-08-16 00:01:20 UTC,OFF,+74.1614923126,+0,+1.3615
2010-08-16 00:01:21 UTC,OFF,+74.1627362393,+0,+1.3615
2010-08-16 00:01:22 UTC,OFF,+74.1639770851,+0,+1.3615
2010-08-16 00:01:23 UTC,OFF,+74.1652148599,+0,+1.3615
2010-08-16 00:01:24 UTC,OFF,+74.1664495736,+0,+1.3615
2010-08-16 00:01:25 UTC,OFF,+74.1676812361,+0,+1.3615
2010-08-16 00:01:26 UTC,OFF,+74.1689098572,+0,+1.3615
2010-08-16 00:01:27 UTC,OFF,+74.1701354467,+0,+1.3615
2010-08-16 00:01:28 UTC,OFF,+74.1713580144,+0,+1.3615
2010-08-16 00:01:29 UTC,OFF,+74.1725775699,+0,+1.3615
2010-08-16 00:01:30 UTC,OFF,+74.1737941231,+0,+1.3615
2010-08-16 00:01:31 UTC,OFF,+74.1749972433,+0,+1.3615
2010-08-16 00:01:32 UTC,OFF,+74.1761974095,+0,+1.3615
2010-08-16 00:01:33 UTC,OFF,+74.1773946312,+0,+1.3615
2010-08-16 00:01:34 UTC,OFF,+74.1785889179,+0,+1.3615
2010-08-16 00:01:35 UTC,OFF,+74.179780279,+0,+1.3615
2010-08-16 00:01:36 UTC,OFF,+74.180968724,+0,+1.3615
2010-08-16 00:01:37 UTC,OFF,+74.1821542622,+0,+1.3615
2010-08-16 00:01:38 UTC,OFF,+74.183336903,+0,+1.3615
2010-08-16 00:01:39 UTC,OFF,+74.1845166557,+0,+1.3615
2010-08-16 00:01:40 UTC,OFF,+74.1856935297,+0,+1.3615
2010-08-16 00:01:41 UTC,OFF,+74.1868675342,+0,+1.3615
2010-08-16 00:01:42 UTC,OFF,+74.1880386784,+0,+1.3615
2010-08-16 00:01:43 UTC,OFF,+74.1892069716,+0,+1.3615
2010-08-16 00:01:44 UTC,OFF,+74.1903724229,+0,+1.3615
2010-08-16 00:01:45 UTC,OFF,+74.1915350415,+0,+1.3615
