# file...... Output/Toutside.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# target.... climate 1
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,temperature
2010-08-16 00:00:00 UTC,+76.406
2010-08-16 00:05:00 UTC,+76.184
2010-08-16 00:10:00 UTC,+76.013
2010-08-16 00:15:00 UTC,+75.899
2010-08-16 00:20:00 UTC,+75.848
2010-08-16 00:25:00 UTC,+75.868
2010-08-16 00:30:00 UTC,+75.942
2010-08-16 00:35:00 UTC,+76.052
2010-08-16 00:40:00 UTC,+76.177
2010-08-16 00:45:00 UTC,+76.289
2010-08-16 00:50:00 UTC,+76.379
2010-08-16 00:55:00 UTC,+76.441
2010-08-16 01:00:00 UTC,+76.467
2010-08-16 01:05:00 UTC,+76.45
2010-08-16 01:10:00 UTC,+76.383
2010-08-16 01:15:00 UTC,+76.258
2010-08-16 01:20:00 UTC,+76.068
2010-08-16 01:25:00 UTC,+75.806
2010-08-16 01:30:00 UTC,+75.49
2010-08-16 01:35:00 UTC,+75.139
2010-08-16 01:40:00 UTC,+74.773
2010-08-16 01:45:00 UTC,+74.421
2010-08-16 01:50:00 UTC,+74.089
2010-08-16 01:55:00 UTC,+73.785
2010-08-16 02:00:00 UTC,+73.514
