# file...... Output/Controlled_house_agg2_power.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# group..... class=house AND groupid=Controlled_agg2
# trigger... (none)
# interval.. 30
# limit..... 0
# property.. timestamp,sum(total_load)
2010-08-16 01:04:00 UTC,+267.879517586
2010-08-16 01:04:30 UTC,+260.966497778
2010-08-16 01:05:00 UTC,+274.360473657
2010-08-16 01:05:30 UTC,+387.993236762
2010-08-16 01:06:00 UTC,+400.523085166
2010-08-16 01:06:30 UTC,+407.436104974
2010-08-16 01:07:00 UTC,+422.558335806
2010-08-16 01:07:30 UTC,+443.297395232
2010-08-16 01:08:00 UTC,+413.052933569
2010-08-16 01:08:30 UTC,+410.892614879
2010-08-16 01:09:00 UTC,+402.251340118
2010-08-16 01:09:30 UTC,+368.982432288
2010-08-16 01:10:00 UTC,+357.748775099
2010-08-16 01:10:30 UTC,+391.017682929
2010-08-16 01:11:00 UTC,+361.205285004
2010-08-16 01:11:30 UTC,+354.724328933
2010-08-16 01:12:00 UTC,+332.257014555
2010-08-16 01:12:30 UTC,+305.469062796
2010-08-16 01:13:00 UTC,+301.148425416
2010-08-16 01:13:30 UTC,+291.210959441
2010-08-16 01:14:00 UTC,+269.175708801
2010-08-16 01:14:30 UTC,+248.868713113
2010-08-16 01:15:00 UTC,+238.931247138
2010-08-16 01:15:30 UTC,+333.121142031
2010-08-16 01:16:00 UTC,+325.776058484
2010-08-16 01:16:30 UTC,+341.762416792
2010-08-16 01:17:00 UTC,+343.922735482
2010-08-16 01:17:30 UTC,+333.553205769
2010-08-16 01:18:00 UTC,+327.072249698
2010-08-16 01:18:30 UTC,+327.504313436
2010-08-16 01:19:00 UTC,+314.974465033
2010-08-16 01:19:30 UTC,+284.297939632
2010-08-16 01:20:00 UTC,+293.371278131
2010-08-16 01:20:30 UTC,+290.346831965
2010-08-16 01:21:00 UTC,+308.061445224
2010-08-16 01:21:30 UTC,+297.691915511
2010-08-16 01:22:00 UTC,+314.542401295
2010-08-16 01:22:30 UTC,+303.740807844
2010-08-16 01:23:00 UTC,+303.308744106
2010-08-16 01:23:30 UTC,+273.928409919
2010-08-16 01:24:00 UTC,+272.632218705
2010-08-16 01:24:30 UTC,+274.792537395
2010-08-16 01:25:00 UTC,+268.743645063
2010-08-16 01:25:30 UTC,+496.873298749
2010-08-16 01:26:00 UTC,+495.145043797
2010-08-16 01:26:30 UTC,+483.047259132
2010-08-16 01:27:00 UTC,+486.071705298
2010-08-16 01:27:30 UTC,+467.9250283
2010-08-16 01:28:00 UTC,+438.112630375
2010-08-16 01:28:30 UTC,+397.930702737
2010-08-16 01:29:00 UTC,+337.873843149
2010-08-16 01:29:30 UTC,+285.162067108
2010-08-16 01:30:00 UTC,+268.311581324
