# file...... Output/total_feeder_load_Meter_1.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# target.... meter 225
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,measured_real_power, measured_power
2010-08-16 00:36:00 UTC,+1396101.61509,+1.3961e+06+546269j
2010-08-16 00:36:30 UTC,+1366128.12395,+1.36613e+06+534536j
2010-08-16 00:37:00 UTC,+1344802.08341,+1.3448e+06+525692j
2010-08-16 00:37:30 UTC,+1389150.06255,+1.38915e+06+543266j
2010-08-16 00:38:00 UTC,+1401530.43099,+1.40153e+06+548054j
2010-08-16 00:38:30 UTC,+1341265.21419,+1.34127e+06+523472j
2010-08-16 00:39:00 UTC,+1347884.71271,+1.34788e+06+526614j
2010-08-16 00:39:30 UTC,+1273139.28354,+1.27314e+06+496669j
2010-08-16 00:40:00 UTC,+1226589.09309,+1.22659e+06+477816j
2010-08-16 00:40:30 UTC,+1410664.76488,+1.41066e+06+552040j
2010-08-16 00:41:00 UTC,+1412144.92697,+1.41214e+06+553086j
2010-08-16 00:41:30 UTC,+1387458.00847,+1.38746e+06+544204j
2010-08-16 00:42:00 UTC,+1385335.29963,+1.38534e+06+542529j
2010-08-16 00:42:30 UTC,+1352526.01689,+1.35253e+06+529032j
2010-08-16 00:43:00 UTC,+1338176.08559,+1.33818e+06+522982j
2010-08-16 00:43:30 UTC,+1305649.46324,+1.30565e+06+509177j
2010-08-16 00:44:00 UTC,+1282053.71576,+1.28205e+06+499650j
2010-08-16 00:44:30 UTC,+1191218.00477,+1.19122e+06+463584j
2010-08-16 00:45:00 UTC,+1124784.24665,+1.12478e+06+436607j
2010-08-16 00:45:30 UTC,+1376339.33364,+1.37634e+06+538027j
2010-08-16 00:46:00 UTC,+1381101.60101,+1.3811e+06+538706j
2010-08-16 00:46:30 UTC,+1355784.16834,+1.35578e+06+528819j
2010-08-16 00:47:00 UTC,+1383243.41988,+1.38324e+06+540430j
2010-08-16 00:47:30 UTC,+1395420.94026,+1.39542e+06+544911j
2010-08-16 00:48:00 UTC,+1362905.32263,+1.36291e+06+531657j
2010-08-16 00:48:30 UTC,+1272143.4495,+1.27214e+06+494636j
2010-08-16 00:49:00 UTC,+1203520.75733,+1.20352e+06+467183j
2010-08-16 00:49:30 UTC,+1151857.86104,+1.15186e+06+447131j
2010-08-16 00:50:00 UTC,+1127166.2116,+1.12717e+06+437582j
2010-08-16 00:50:30 UTC,+1405203.88812,+1.4052e+06+548690j
2010-08-16 00:51:00 UTC,+1414453.79155,+1.41445e+06+553130j
2010-08-16 00:51:30 UTC,+1411268.28624,+1.41127e+06+551277j
2010-08-16 00:52:00 UTC,+1357110.76751,+1.35711e+06+530384j
2010-08-16 00:52:30 UTC,+1365018.69911,+1.36502e+06+533464j
2010-08-16 00:53:00 UTC,+1321393.72583,+1.32139e+06+515474j
2010-08-16 00:53:30 UTC,+1275569.2335,+1.27557e+06+496779j
2010-08-16 00:54:00 UTC,+1244521.8071,+1.24452e+06+485144j
2010-08-16 00:54:30 UTC,+1150807.35244,+1.15081e+06+447105j
2010-08-16 00:55:00 UTC,+1081434.02124,+1.08143e+06+419161j
2010-08-16 00:55:30 UTC,+1445867.33735,+1.44587e+06+565823j
2010-08-16 00:56:00 UTC,+1449619.07026,+1.44962e+06+567535j
2010-08-16 00:56:30 UTC,+1452045.24793,+1.45205e+06+568162j
2010-08-16 00:57:00 UTC,+1480949.50041,+1.48095e+06+579859j
2010-08-16 00:57:30 UTC,+1494185.69735,+1.49419e+06+584558j
2010-08-16 00:58:00 UTC,+1446629.80651,+1.44663e+06+565525j
2010-08-16 00:58:30 UTC,+1412284.71408,+1.41228e+06+551119j
2010-08-16 00:59:00 UTC,+1341339.21461,+1.34134e+06+522449j
2010-08-16 00:59:30 UTC,+1316606.14538,+1.31661e+06+512680j
2010-08-16 01:00:00 UTC,+1257154.14781,+1.25715e+06+489215j
2010-08-16 01:00:30 UTC,+1259773.83049,+1.25977e+06+491266j
2010-08-16 01:01:00 UTC,+1258259.3234,+1.25826e+06+490144j
2010-08-16 01:01:30 UTC,+1248496.6847,+1.2485e+06+486296j
2010-08-16 01:02:00 UTC,+1250590.94327,+1.25059e+06+487520j
2010-08-16 01:02:30 UTC,+1224390.68134,+1.22439e+06+477142j
2010-08-16 01:03:00 UTC,+1225223.5047,+1.22522e+06+477181j
2010-08-16 01:03:30 UTC,+1153780.83856,+1.15378e+06+449063j
