# file...... Output/group_node_reactive_power.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# group..... class=meter
# property.. measured_reactive_power
# limit..... 0
# interval.. 30
# timestamp,m_DG_7,m_DG_18,m_DG_56,m_DG_57,m_DG_152,Meter_3,Meter_8,Meter_13,Meter_14,Meter_1401,Meter_15,Meter_18,Meter_21,Meter_23,Meter_25,Meter_26,Meter_2601,Meter_27,Meter_36,Meter_40,Meter_44,Meter_54,Meter_57,Meter_61,Meter_67,Meter_6701,Meter_72,Meter_78,Meter_81,Meter_89,Meter_91,Meter_93,Meter_97,Meter_101,Meter_105,Meter_108,Meter_110,Meter_135,Meter_149,Meter_1491,Meter_150,Meter_151,Meter_152,Meter_160,Meter_195,Meter_197,Meter_250,Meter_251,Meter_300,Meter_350,Meter_450,Meter_451,Meter_610,Meter_611,Meter_1,Meter_2,Meter_4,Meter_5,Meter_6,Meter_7,Meter_9,Meter_10,Meter_11,Meter_12,Meter_16,Meter_17,Meter_19,Meter_20,Meter_22,Meter_24,Meter_28,Meter_29,Meter_30,Meter_31,Meter_32,Meter_33,Meter_34,Meter_35,Meter_37,Meter_38,Meter_39,Meter_41,Meter_42,Meter_43,Meter_45,Meter_46,Meter_47,Meter_48,Meter_49,Meter_50,Meter_51,Meter_52,Meter_53,Meter_55,Meter_56,Meter_58,Meter_59,Meter_60,Meter_62,Meter_63,Meter_64,Meter_65,Meter_66,Meter_68,Meter_69,Meter_70,Meter_71,Meter_73,Meter_74,Meter_75,Meter_76,Meter_77,Meter_79,Meter_80,Meter_82,Meter_83,Meter_84,Meter_85,Meter_86,Meter_87,Meter_88,Meter_90,Meter_92,Meter_94,Meter_95,Meter_96,Meter_98,Meter_99,Meter_100,Meter_102,Meter_103,Meter_104,Meter_106,Meter_107,Meter_109,Meter_111,Meter_112,Meter_113,Meter_114
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+38.0011090136,+12497.5034023,+11465.4632108,+22.9818345846,+22.9818544559,+23.0023522834,+5527.57138016,+1745.58336755,+1730.39859767,+1715.17870201,+1669.94327913,+1670.21795165,+1653.72441959,+30.9646478972,+3703.72252537,+3671.22653322,+5865.73590042,+5849.1560509,+0,+4898.21449806,+4898.64149055,+3163.06904623,+2932.45141191,+1054.81622183,+64.0301115622,+48.2872132385,+32.5292220164,+1686.4410751,+1639.05090972,+88.1488036144,+56.6606837375,+40.9214514136,+3751.78853384,+12575.6561471,+12575.6561471,+12575.6561471,+0,+5896.92596582,+4898.64149055,+0,+1639.20201391,+0,+0,+0,+0,+0,+0,+0,+0,+12571.5793442,+7.99867052197,+15.000439273,+23.0006505518,+15.0004175892,+12507.5321162,+1021.36916867,+7.99368097691,+14.9881472219,+7.99701081673,+15.0015253469,+8.0008174907,+29.9639048169,+14.98194276,+14.9878958295,+15.0032633595,+44.9607376244,+29.9818619037,+15.0029917604,+16.002972974,+8.00148395014,+1653.23395641,+38.0039032045,+3750.51519329,+14.981361825,+15.9832744537,+7.99163448196,+8.00361109046,+3694.87167956,+14.9803916966,+15.9786267939,+7.98931086397,+3654.40373679,+86.9344390365,+1883.88698578,+22.9993464028,+7.98894880772,+5896.25099237,+5880.92966556,+15.9862136422,+7.99491619987,+15.9886641563,+7.994329966,+5831.89914719,+925.259063445,+910.254390031,+75.9600152744,+47.9842417195,+27.9966961976,+48.2639480634,+39.8701710615,+24.1319212335,+15.7382017863,+47.2724731832,+31.5149404717,+15.7574577462,+3115.58495389,+2948.29413125,+15.7353955952,+2916.23819482,+1030.58263261,+8.40490999687,+24.1642616736,+15.7592877499,+103.906168557,+95.509862904,+15.7368212201,+15.7428867361,+15.7579783953,+15.7368058092,+16.792404828,+8.39620063933,+47.2390531628,+31.5003080307,+15.7560618368,+1550.7250063,+1542.06866857,+15.7511625263,+31.4880315309,+15.7439978269,+56.6605619478,+8.39414565086,+32.527291198,+24.133118701,+8.39412507079
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+857.657548663,+59784.297633,+58697.5716181,+22.9514401813,+22.9514600263,+22.9666654427,+27486.1704959,+11741.2725276,+9757.42588981,+7447.37466196,+5272.3490401,+5273.71849686,+1653.05563712,+2159.2812761,+13526.8130792,+13491.2823443,+30403.3040013,+28240.1859689,+0,+22666.9611545,+22676.9037551,+16907.8912845,+9291.30325198,+1889.32632895,+3419.61390308,+3403.28166964,+32.3835448639,+4533.52612304,+3815.1013604,+2265.02003309,+1228.79175241,+1212.76115007,+15709.9172542,+61510.509658,+61510.509658,+61510.509658,+0,+31134.5552447,+22676.9037551,+0,+3815.29384462,+0,+0,+0,+0,+0,+0,+0,+0,+61427.7411451,+7.99289768495,+14.9911269324,+842.585418373,+834.529076661,+59831.9535207,+1020.70601176,+7.98310901133,+14.9683247925,+7.98386541768,+14.978251334,+7.98840467765,+29.9182006904,+14.9590907115,+1978.66518586,+2306.50115977,+2173.39240664,+2158.03039902,+2142.60010045,+3618.01224436,+7.96771900646,+1652.56496267,+37.9449423113,+15704.4811615,+14.9549212078,+2143.91185362,+2135.40816168,+7.97778689436,+13516.2569619,+14.941241415,+15.9453498493,+7.97267239693,+13472.76619,+7944.11345862,+3846.28106834,+1332.58761101,+1317.50916059,+31108.6802961,+31080.7986329,+2144.32827383,+2136.00581591,+834.173397141,+7.96546983642,+27369.7748087,+4684.70222893,+4669.57379216,+3836.57074789,+47.8960034185,+27.9643085372,+1220.3188522,+1211.82893279,+1196.00535554,+15.6674598814,+47.2107689742,+31.4738043867,+15.73688972,+16857.1809642,+10647.0195987,+1689.35490716,+7597.68874097,+1864.95579384,+8.39588439268,+24.1384904269,+15.7424804293,+3461.45126785,+3451.76569095,+15.6712155867,+15.6658520757,+3369.75395823,+15.6736270164,+16.709906519,+8.35495149357,+718.199380753,+702.46091826,+686.752211768,+1549.75332632,+1541.10743179,+15.7312945679,+1036.02400282,+1020.15337692,+1228.57274067,+1180.11590964,+32.3755353901,+24.0205258355,+8.35496234975
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+857.477307533,+107205.695349,+102238.957939,+22.8822795187,+22.8822993039,+22.9374647409,+46471.5248604,+15338.4611253,+11714.462517,+9404.58332641,+7230.08102122,+7233.15040988,+1649.7653153,+2158.86799447,+24313.551854,+22471.4133923,+50893.1404993,+47553.709878,+0,+41900.2050408,+41933.7155411,+25922.9231542,+10277.5813004,+1884.51395986,+5094.36915656,+5077.25341867,+32.2511449204,+14745.1271963,+11683.7661772,+5940.63143923,+3064.24772,+3046.31204402,+30441.4737111,+109338.745729,+109338.745729,+109338.745729,+0,+55137.1635674,+41933.7155411,+0,+11685.9044134,+0,+0,+0,+0,+0,+0,+0,+0,+109072.972278,+7.99220019186,+14.984757686,+842.411529552,+834.35857159,+107343.100089,+4782.68206884,+7.95905313057,+14.92322003,+7.98230545006,+14.9592074091,+7.97824791267,+683.455190759,+668.510759321,+3614.60106301,+2304.33410148,+2171.16887849,+2155.8699025,+2140.50256746,+5577.55586116,+825.349779435,+1649.27359547,+529.160378252,+30418.4369685,+14.8824687375,+2143.5709537,+2135.06984381,+7.96145679306,+24296.8166355,+14.9357299389,+15.8617005212,+7.93084774617,+22448.4170345,+10546.5458028,+5800.91621155,+1329.17564916,+1314.13027247,+55062.4262166,+51582.0347082,+3289.84533741,+3281.07401945,+833.653220063,+7.955132085,+46620.8370953,+4678.99074189,+4663.88863319,+3832.80529691,+47.79483483,+27.9148549154,+1217.27935717,+1208.83055652,+1193.08428668,+15.5897860693,+47.1205131302,+31.4136339035,+15.7068045023,+25867.3864953,+11631.8257248,+2686.98050596,+7586.0669486,+1860.1893574,+8.37969930817,+24.0919578914,+15.7121331493,+8817.25437241,+8805.15642786,+15.5910438355,+15.6159119263,+5042.42882028,+15.5946618553,+16.6564717833,+8.32823413136,+3058.83198614,+3042.45554064,+686.139937331,+5739.58387405,+5727.62329601,+2192.69551111,+2874.95065769,+2857.73204166,+3062.83347451,+1176.93308071,+1868.96196339,+1860.04087113,+8.30552981038
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+857.347971055,+147875.950692,+142718.495075,+22.7965601009,+22.796579812,+22.9173394699,+66248.8312428,+20722.0846169,+17092.1160823,+14780.8739784,+10650.5145142,+10656.0564303,+3437.79561982,+3951.4546407,+35247.3281466,+31099.0686702,+69741.1936762,+65379.5277414,+0,+54699.0437221,+54762.0449861,+32235.8838847,+11596.0738396,+1876.88917215,+5089.26720734,+5072.11668753,+32.1571328705,+16735.0027433,+13671.382212,+7932.79516343,+5051.91652835,+5029.94222142,+44834.5381331,+153328.324175,+153328.324175,+153328.324175,+0,+75715.4780847,+54762.0449861,+0,+13674.1710367,+0,+0,+0,+0,+0,+0,+0,+0,+152736.610478,+7.99647513592,+14.9801871506,+842.286751446,+834.236221636,+149630.209892,+4774.19142616,+7.9292376832,+14.8673160834,+7.99125027978,+14.94608224,+7.97124781901,+681.243836903,+666.397016865,+3617.68007939,+2302.78801224,+4124.44362391,+4109.08580342,+2138.91719499,+7207.50380567,+2458.61338296,+3435.62789357,+528.924160675,+44773.4305575,+1805.2528878,+2145.42920241,+2136.91401695,+7.95321686826,+35218.3686748,+2307.35652413,+15.736011414,+7.86800321248,+31067.3500589,+14595.0558836,+7743.27075841,+3277.3181547,+3261.63392929,+75572.3345326,+70444.0654697,+4269.92894275,+3283.91598907,+834.386933428,+7.96971437337,+64355.8979585,+9585.27816396,+9569.85172639,+8741.09666394,+2009.96458107,+1990.07063811,+5704.73450446,+3199.74636259,+1188.08442098,+15.4568327228,+1889.37345857,+1873.29247012,+1857.15976808,+30333.5606616,+13789.0292322,+4006.68189721,+7584.30490539,+1852.61327314,+8.36242342197,+24.0422861825,+15.6797385839,+8815.84895119,+8803.72798755,+15.4615850909,+15.6491570874,+5037.38347549,+15.465192501,+16.6919291231,+8.34596279749,+3060.44106349,+3044.19207036,+685.461188556,+5733.97756736,+5722.03028138,+2190.54922058,+2878.01519985,+2860.76406087,+5047.99620565,+1171.87707442,+3857.15498994,+3846.24466006,+2002.38581098
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+4461.3244294,+199441.05583,+187650.707309,+6379.72404442,+6386.07377429,+3949.85945181,+86320.1287467,+26257.7760658,+22622.7966366,+20308.3561241,+13567.1115331,+13574.8500592,+6360.77563032,+3946.50692256,+48288.3556929,+41023.2693604,+88244.596582,+83813.3195892,+0,+71314.4202245,+71428.9650853,+35704.0802908,+10575.7171901,+876.150652699,+7095.11316931,+7077.99184307,+2038.08815497,+29888.0693713,+20163.224408,+14420.9164695,+9191.25138833,+9153.98198197,+57901.468938,+212091.655789,+212091.655789,+212091.655789,+0,+96499.2836715,+71428.9650853,+0,+20169.475164,+0,+0,+0,+0,+0,+0,+0,+0,+210954.561276,+7.99658904067,+1325.23641507,+3134.8123824,+833.758105811,+201429.770462,+11129.2026076,+3430.38644697,+2947.45914153,+7.99096250497,+3939.78867282,+7.95711809364,+2143.06420597,+2127.79667139,+3616.7517382,+2300.1617743,+6732.22370717,+6715.57143483,+4747.85088526,+7198.7748075,+2455.62938884,+6353.2908426,+4456.02601624,+57812.5859273,+1801.21307433,+2144.52023433,+2136.01193442,+2131.5057055,+46120.5959149,+2306.01184637,+15.6557698373,+7.82788243685,+40980.6635995,+16531.5871752,+12307.7641021,+3269.34872884,+3253.69275812,+96247.7106824,+88972.1921553,+4266.65942521,+3283.11542936,+834.083687824,+7.96368719998,+82636.3007841,+11198.7220329,+11183.2399437,+8736.39121357,+2009.29284431,+1989.44660731,+5684.43718955,+3188.30613161,+1183.80088969,+15.3429276684,+2726.06113505,+2709.53640634,+1856.58278804,+32961.7575781,+12766.4607219,+3992.72296643,+6577.98596482,+852.067972771,+8.35954036921,+24.0337870318,+15.6741956643,+10819.5209025,+10805.6029578,+15.3476152231,+15.6140896656,+5037.08157198,+15.3507069002,+2022.40950772,+2013.80858633,+9716.20368591,+5718.6546797,+685.357398811,+5732.71258889,+5720.76829919,+2190.0649403,+5220.06641482,+5199.15350201,+9178.06860748,+1166.66973637,+7984.25516353,+7964.41583983,+1992.71149997
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+4460.90978359,+227887.762913,+215914.587332,+6376.93068765,+6383.2834714,+3948.74109047,+98729.2137887,+31145.7895187,+27506.4826159,+25186.3723915,+14374.727976,+14383.5397165,+6355.40020593,+6725.4879964,+52990.8694989,+45716.4042458,+102894.502167,+96296.1689103,+0,+80124.496821,+80260.9829917,+40183.3404342,+11556.7959697,+1869.01173424,+7088.79451367,+7071.72603636,+2034.68396849,+34214.4940502,+25167.8166081,+17581.7026565,+9184.83415961,+9147.57102789,+65416.4853565,+240469.753525,+240469.753525,+240469.753525,+0,+112239.930148,+80260.9829917,+0,+25176.4005215,+0,+0,+0,+0,+0,+0,+0,+0,+239072.848157,+7.9927033809,+1325.11273275,+3134.52129212,+833.679699463,+230006.681828,+11124.3355679,+3428.88630256,+2946.16502559,+7.98249613922,+3938.67443351,+7.9523468353,+2141.27522057,+2126.03313548,+3614.06357624,+2298.88352432,+10800.0488323,+8507.78175401,+6539.65497993,+8010.73602958,+2453.995099,+6347.90837354,+4454.76055951,+65301.0686883,+1799.51216266,+4923.41572644,+2951.8100037,+2130.68398672,+50815.1003812,+2304.13140799,+15.6199132849,+7.80995416633,+45666.2237618,+20744.9957538,+12787.0860543,+3265.69654989,+3250.05242343,+111920.066912,+104615.532877,+6392.28137514,+5408.00099235,+833.125235718,+7.94464134432,+95035.5398289,+12983.8956586,+11170.7435702,+8725.63771248,+2008.08146861,+1988.26986414,+5680.41476167,+3186.03895409,+1182.95199799,+15.3203568474,+4901.76768435,+4883.30722548,+4029.29872545,+35260.6251802,+13744.1524769,+3989.77715003,+7561.91778326,+1844.77278993,+8.34921308831,+24.0043064668,+15.6549692251,+10807.0070335,+10793.1112741,+15.325100322,+15.5602894348,+5034.21803822,+15.3281912838,+2019.02728016,+2010.45457938,+9035.53789089,+5040.64831787,+15.6535198286,+7572.19642147,+7557.5644271,+3191.51014199,+8383.94893261,+6190.93038192,+9171.64166008,+1165.8471074,+7978.66457866,+7958.82858533,+1991.31111967
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+5114.21893559,+247527.043699,+235413.490796,+6376.65876216,+6383.01184257,+3944.10114394,+107827.484504,+34222.6127001,+30577.4663156,+28255.9862724,+13544.7273918,+13552.4791842,+6352.93975863,+6726.46729795,+55098.5693342,+47824.9921573,+112653.602931,+105389.773789,+0,+85623.0820769,+85759.3454692,+44685.6572714,+9234.9517696,+1709.40717376,+9410.84984663,+9392.16106467,+2034.46691829,+35201.2494818,+24983.6704207,+16419.7524433,+9027.80877888,+8991.32529812,+68833.2882729,+261236.333453,+261236.333453,+261236.333453,+0,+123021.978629,+85759.3454692,+0,+24992.0892714,+0,+0,+0,+0,+0,+0,+0,+0,+259617.082107,+7.99370131911,+1324.53360756,+3787.87550348,+1487.96740043,+249745.902024,+11123.8618031,+3428.74026369,+2946.0390512,+7.98480067565,+3934.05157523,+7.93255650015,+4739.1102684,+3586.43479942,+3615.30239107,+2295.4477637,+14698.4937583,+12404.3686393,+8484.74876953,+7184.21200417,+1635.98931022,+6345.44469414,+3959.54216012,+68709.2950461,+1798.92704333,+4924.98077817,+2952.74799186,+2127.51011293,+52924.6650679,+2304.80180943,+15.6102671553,+7.80513110302,+47773.4064453,+21227.1377951,+14413.3302413,+3264.79809163,+3249.20386229,+122675.575111,+115356.715634,+7042.96893604,+5408.77515111,+1977.71318311,+7.94515711084,+102962.97346,+15411.4317714,+13602.7654218,+9372.69204025,+2655.43139484,+1983.06747067,+5685.68536587,+3189.00965852,+1184.06431579,+15.3499427696,+7721.00897941,+4867.68947758,+4016.43681241,+36943.1035878,+11421.4290846,+2999.50664734,+6232.48152611,+1685.48494005,+675.530232827,+23.8438510292,+15.5503244631,+13133.4922669,+13116.7747663,+15.364875262,+15.5563734045,+7351.88741965,+15.3696601313,+2018.76871818,+2010.19818206,+10206.846044,+6208.32201884,+1183.35025757,+8549.87562883,+7534.69971017,+3181.83838352,+7380.51580038,+5189.62323882,+9015.10315075,+8.16402961126,+8979.64028482,+7966.58254425,+1993.25455646
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+6915.97486707,+255304.70987,+244069.971873,+6373.95781424,+6380.31385391,+3943.26244565,+104931.702381,+34287.1964415,+30641.3293491,+28320.0759423,+13613.7004998,+13621.7618412,+8018.78771724,+6727.30956308,+52800.8277335,+43748.7306197,+119723.945526,+113395.066482,+0,+92383.418724,+92547.6776648,+49965.4312421,+10378.7097548,+1706.97242949,+9241.52429009,+8221.41981643,+2036.92874531,+37840.7224315,+25304.3834885,+16746.1156823,+9013.80467551,+8977.33640967,+66528.1966822,+271161.885216,+271161.885216,+271161.885216,+0,+132458.344312,+92547.6776648,+0,+25312.9865849,+0,+0,+0,+0,+0,+0,+0,+0,+269377.55851,+7.99585493082,+1324.32432664,+5587.85015815,+3287.72822845,+257594.402394,+10141.3212608,+3427.28974533,+2944.78774606,+7.98984498832,+3933.21596518,+7.92897797516,+4085.69792152,+2934.47787108,+3617.11459276,+2295.66850177,+14693.3031187,+12401.4743213,+8485.76278818,+5587.19571818,+2629.2269344,+8007.02150752,+6081.34756922,+66405.0857485,+1797.36959591,+4927.38131203,+2954.18669646,+2127.8184085,+50627.4096844,+2305.95472145,+15.5808203062,+7.79040768315,+43701.612331,+18452.1047928,+13115.4011361,+1965.66156881,+1950.5577971,+132044.781399,+122435.921618,+6071.04908925,+5412.03255938,+3450.8651948,+2297.50798777,+109426.658352,+15089.2131461,+13281.6824354,+9866.84272014,+3143.41127927,+2470.43454211,+4517.77984425,+2025.37270618,+23.468960164,+15.3058360834,+10215.7078513,+7361.19444335,+4012.42149061,+39720.8259141,+12401.235015,+5477.28160271,+4898.34737431,+1683.0924514,+674.947271287,+23.8015783915,+15.5227553749,+11628.9692299,+11614.1557608,+15.3088795101,+1017.78456211,+6180.30930469,+15.3127162931,+2021.28790449,+2012.6963444,+12523.9995241,+6212.93166254,+1182.50134382,+8543.91433893,+7529.44172417,+3179.61425613,+7720.48988404,+3357.05311847,+9001.07821248,+8.13739504582,+8965.67223563,+7954.16608371,+1990.14251488
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+6914.96825318,+242974.660247,+233420.730879,+4746.54272867,+4750.05955162,+3941.45479127,+100191.161231,+35437.7429775,+31786.1002188,+29464.2695166,+13614.7872001,+13622.8450299,+8023.64664557,+6733.58748951,+46927.4383505,+36731.2179044,+113413.352894,+109225.265302,+0,+89043.57425,+89204.2871266,+44458.3156197,+7202.58635745,+1706.4038354,+10739.7980425,+9047.99392846,+2869.07470623,+37857.3637078,+25311.3408599,+17592.9004179,+9843.77468193,+9803.21098025,+60632.210056,+256790.656325,+256790.656325,+256790.656325,+0,+126604.78396,+89204.2871266,+0,+25320.1938131,+0,+0,+0,+0,+0,+0,+0,+0,+255132.104377,+8.00003138792,+1324.12995143,+5587.03732133,+3287.24947507,+245218.273107,+8512.40760981,+2613.85992061,+2131.63755768,+7.99992746185,+3931.41496228,+7.92126865893,+4087.99628495,+2936.12519585,+3620.62162667,+2294.17384427,+15835.3930776,+13540.5069392,+9620.18076,+5583.42508825,+2627.45143161,+8011.88828603,+6078.55760987,+60531.6794405,+1798.51944266,+4932.5121214,+2957.26173074,+2126.34777688,+44766.4624718,+4438.36379244,+15.6069882985,+7.80349167518,+36693.7594768,+16196.4781787,+10814.8649335,+1967.23744508,+1952.16117952,+126204.055595,+116117.323462,+3943.97462098,+3286.19995628,+4603.34124797,+3447.79897098,+104129.896341,+13135.9456673,+11330.1078987,+7915.26155319,+3142.71751683,+2468.4669403,+6671.35648125,+4177.57856832,+2175.24705078,+2166.63637154,+8539.9505686,+5690.35444553,+3177.30035082,+35896.5313004,+7889.40686637,+5478.30300208,+1722.24114153,+1682.57639287,+674.223525161,+23.7491150147,+15.4885401581,+13132.4215406,+13117.2849201,+15.3116598031,+1689.48886152,+6174.72707987,+843.202378415,+2025.47766485,+2016.85113548,+12533.4336673,+6221.88179286,+1181.50948722,+7704.1110025,+6691.7578675,+3842.92305041,+7735.90989123,+3363.76751099,+9828.58953047,+834.526897437,+8965.01727032,+7953.58390157,+1989.99660071
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+9041.72123468,+259233.301328,+248201.061982,+4743.97806522,+4747.49697091,+3940.46609847,+108298.832736,+38654.5608715,+36797.3777302,+32677.6444967,+12781.9552908,+12789.4110468,+8013.24116488,+6733.73717244,+51640.2861323,+41434.6068074,+118588.919587,+115519.850994,+0,+92512.1065293,+92682.5070951,+42607.9099902,+6368.00569162,+3854.62758621,+10738.1591201,+9046.55460323,+2867.82821519,+42189.0485181,+27483.0045907,+20595.5239987,+10164.4839951,+10122.1818652,+63405.3068561,+274249.511077,+274249.511077,+274249.511077,+0,+133144.204323,+92682.5070951,+0,+27493.8694468,+0,+0,+0,+0,+0,+0,+0,+0,+272344.768676,+8.00073919499,+3451.2495799,+5585.93305437,+3286.5990716,+260134.454441,+8507.81334287,+2612.45021775,+2130.48197789,+1319.90905204,+3930.42990714,+7.9170513753,+6192.06475193,+3743.60536188,+1818.89102831,+4082.87242737,+19879.3806769,+17584.9694278,+9614.12035799,+4761.68131417,+2626.00544151,+8001.46584612,+6077.0316424,+63298.7911189,+1796.59980674,+4934.58201291,+2958.50228401,+2125.2368111,+49472.7813578,+4440.26641463,+663.148475277,+655.317062655,+40744.538497,+20584.0160983,+11462.294607,+1964.8753789,+1949.81630256,+132696.239768,+122597.694893,+2795.34976724,+2138.67735938,+4603.82969995,+3448.16441294,+110366.292719,+14277.6606897,+12471.8267888,+9060.61612244,+5433.91081887,+2468.2624746,+7656.31053311,+5164.6800545,+3164.28495102,+2163.78278594,+7539.72451872,+4691.35635084,+2178.88856391,+35048.8559067,+7054.46256065,+2494.79378343,+3871.56623367,+3830.22157291,+674.177350433,+23.7462153037,+15.4866490438,+13130.4684638,+13115.3311136,+15.2740522238,+1689.28895703,+6174.53406681,+842.195028988,+2025.2384029,+2016.61387762,+14691.5149493,+8386.64047166,+3346.4305194,+6870.74844288,+5859.54218366,+3843.16180116,+10413.5075466,+3864.5914,+10148.2313578,+833.455686328,+9284.78804533,+8273.6296036,+3307.57751833
