# file...... Output/noControlled_house_power.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# group..... class=house AND groupid=noController
# trigger... (none)
# interval.. 30
# limit..... 0
# property.. timestamp,sum(total_load)
2010-08-16 00:54:00 UTC,+103.263233392
2010-08-16 00:54:30 UTC,+106.287679558
2010-08-16 00:55:00 UTC,+119.2495917
2010-08-16 00:55:30 UTC,+123.57022908
2010-08-16 00:56:00 UTC,+124.434356556
2010-08-16 00:56:30 UTC,+130.915312627
2010-08-16 00:57:00 UTC,+113.632763105
2010-08-16 00:57:30 UTC,+101.967042178
2010-08-16 00:58:00 UTC,+96.7822773216
2010-08-16 00:58:30 UTC,+108.447998249
2010-08-16 00:59:00 UTC,+99.3746597498
2010-08-16 00:59:30 UTC,+98.5105322737
2010-08-16 01:00:00 UTC,+92.4616399411
2010-08-16 01:00:30 UTC,+104.127360868
2010-08-16 01:01:00 UTC,+104.127360868
2010-08-16 01:01:30 UTC,+85.9806838705
2010-08-16 01:02:00 UTC,+84.2524289183
2010-08-16 01:02:30 UTC,+82.5241739661
2010-08-16 01:03:00 UTC,+88.1410025607
2010-08-16 01:03:30 UTC,+69.9943255629
2010-08-16 01:04:00 UTC,+60.488923326
2010-08-16 01:04:30 UTC,+73.8828992053
2010-08-16 01:05:00 UTC,+70.4263893009
2010-08-16 01:05:30 UTC,+85.9806838705
2010-08-16 01:06:00 UTC,+85.9806838705
2010-08-16 01:06:30 UTC,+78.2035365857
2010-08-16 01:07:00 UTC,+86.4127476085
2010-08-16 01:07:30 UTC,+73.4508354672
2010-08-16 01:08:00 UTC,+66.1057519205
2010-08-16 01:08:30 UTC,+59.6247958499
2010-08-16 01:09:00 UTC,+75.1790904194
2010-08-16 01:09:30 UTC,+71.7225805151
2010-08-16 01:10:00 UTC,+60.920987064
2010-08-16 01:10:30 UTC,+69.5622618249
2010-08-16 01:11:00 UTC,+88.1410025607
2010-08-16 01:11:30 UTC,+86.4127476085
2010-08-16 01:12:00 UTC,+93.3257674172
2010-08-16 01:12:30 UTC,+91.597512465
2010-08-16 01:13:00 UTC,+75.1790904194
2010-08-16 01:13:30 UTC,+86.4127476085
2010-08-16 01:14:00 UTC,+92.4616399411
2010-08-16 01:14:30 UTC,+84.2524289183
2010-08-16 01:15:00 UTC,+71.7225805151
2010-08-16 01:15:30 UTC,+76.9073453716
2010-08-16 01:16:00 UTC,+90.733384989
2010-08-16 01:16:30 UTC,+76.9073453716
2010-08-16 01:17:00 UTC,+58.7606683738
2010-08-16 01:17:30 UTC,+55.7362222075
2010-08-16 01:18:00 UTC,+61.3530508021
2010-08-16 01:18:30 UTC,+52.2797123032
2010-08-16 01:19:00 UTC,+44.5025650184
2010-08-16 01:19:30 UTC,+48.3911386608
2010-08-16 01:20:00 UTC,+63.9454332303
2010-08-16 01:20:30 UTC,+82.0921102281
2010-08-16 01:21:00 UTC,+68.6981343488
2010-08-16 01:21:30 UTC,+63.0813057542
2010-08-16 01:22:00 UTC,+65.2416244444
2010-08-16 01:22:30 UTC,+60.0568595879
2010-08-16 01:23:00 UTC,+55.3041584695
2010-08-16 01:23:30 UTC,+50.983521089
2010-08-16 01:24:00 UTC,+37.5895452097
2010-08-16 01:24:30 UTC,+28.5162067108
2010-08-16 01:25:00 UTC,+26.3558880206
2010-08-16 01:25:30 UTC,+28.0841429728
2010-08-16 01:26:00 UTC,+32.8368440912
2010-08-16 01:26:30 UTC,+27.2200154967
2010-08-16 01:27:00 UTC,+31.9727166152
2010-08-16 01:27:30 UTC,+27.6520792347
2010-08-16 01:28:00 UTC,+23.3314418543
2010-08-16 01:28:30 UTC,+19.87493195
2010-08-16 01:29:00 UTC,+34.5650990434
2010-08-16 01:29:30 UTC,+34.5650990434
2010-08-16 01:30:00 UTC,+34.5650990434
2010-08-16 01:30:30 UTC,+29.3803341869
2010-08-16 01:31:00 UTC,+25.9238242826
2010-08-16 01:31:30 UTC,+28.0841429728
2010-08-16 01:32:00 UTC,+22.4673143782
2010-08-16 01:32:30 UTC,+20.739059426
2010-08-16 01:33:00 UTC,+20.739059426
2010-08-16 01:33:30 UTC,+16.4184220456
2010-08-16 01:34:00 UTC,+13.8260396174
2010-08-16 01:34:30 UTC,+4.75270111847
2010-08-16 01:35:00 UTC,+9.0733384989
2010-08-16 01:35:30 UTC,+9.0733384989
2010-08-16 01:36:00 UTC,+4.32063738043
2010-08-16 01:36:30 UTC,+6.48095607064
2010-08-16 01:37:00 UTC,+9.0733384989
2010-08-16 01:37:30 UTC,+14.2581033554
2010-08-16 01:38:00 UTC,+15.9863583076
2010-08-16 01:38:30 UTC,+13.8260396174
2010-08-16 01:39:00 UTC,+11.2336571891
2010-08-16 01:39:30 UTC,+6.0488923326
2010-08-16 01:40:00 UTC,+6.0488923326
2010-08-16 01:40:30 UTC,+6.0488923326
2010-08-16 01:41:00 UTC,+11.6657209272
2010-08-16 01:41:30 UTC,+11.6657209272
2010-08-16 01:42:00 UTC,+5.61682859455
2010-08-16 01:42:30 UTC,+5.61682859455
2010-08-16 01:43:00 UTC,+5.61682859455
2010-08-16 01:43:30 UTC,+0
2010-08-16 01:44:00 UTC,+0
2010-08-16 01:44:30 UTC,+0
2010-08-16 01:45:00 UTC,+0
2010-08-16 01:45:30 UTC,+0
2010-08-16 01:46:00 UTC,+0
2010-08-16 01:46:30 UTC,+0
2010-08-16 01:47:00 UTC,+0
2010-08-16 01:47:30 UTC,+0
2010-08-16 01:48:00 UTC,+0
2010-08-16 01:48:30 UTC,+0
2010-08-16 01:49:00 UTC,+0
2010-08-16 01:49:30 UTC,+0
2010-08-16 01:50:00 UTC,+0
2010-08-16 01:50:30 UTC,+0
2010-08-16 01:51:00 UTC,+0
2010-08-16 01:51:30 UTC,+0
2010-08-16 01:52:00 UTC,+0
2010-08-16 01:52:30 UTC,+0
2010-08-16 01:53:00 UTC,+0
2010-08-16 01:53:30 UTC,+0
2010-08-16 01:54:00 UTC,+0
2010-08-16 01:54:30 UTC,+0
2010-08-16 01:55:00 UTC,+0
2010-08-16 01:55:30 UTC,+0
2010-08-16 01:56:00 UTC,+0
2010-08-16 01:56:30 UTC,+0
2010-08-16 01:57:00 UTC,+3.0244461663
2010-08-16 01:57:30 UTC,+3.0244461663
2010-08-16 01:58:00 UTC,+3.0244461663
2010-08-16 01:58:30 UTC,+3.0244461663
2010-08-16 01:59:00 UTC,+3.0244461663
2010-08-16 01:59:30 UTC,+3.0244461663
2010-08-16 02:00:00 UTC,+0
