# file...... Output/Qh/house_Qh_file_015.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_7C_tm_0_C_7_Meter_34_281:Qh,house_0_8C_tm_0_C_8_Meter_34_282:Qh,house_0_9C_tm_0_C_9_Meter_34_283:Qh,house_0_10C_tm_0_C_10_Meter_34_284:Qh,house_0_11C_tm_0_C_11_Meter_34_285:Qh,house_0_12C_tm_0_C_12_Meter_34_286:Qh,house_0_13C_tm_0_C_13_Meter_34_287:Qh,house_0_14C_tm_0_C_14_Meter_34_288:Qh,house_0_15C_tm_0_C_15_Meter_34_289:Qh,house_2_1A_tm_2_A_1_Meter_35_290:Qh,house_2_2A_tm_2_A_2_Meter_35_291:Qh,house_2_3A_tm_2_A_3_Meter_35_292:Qh,house_2_4A_tm_2_A_4_Meter_35_293:Qh,house_2_5A_tm_2_A_5_Meter_35_294:Qh,house_2_6A_tm_2_A_6_Meter_35_295:Qh,house_2_7A_tm_2_A_7_Meter_35_296:Qh,house_2_8A_tm_2_A_8_Meter_35_297:Qh,house_2_9A_tm_2_A_9_Meter_35_298:Qh,house_2_10A_tm_2_A_10_Meter_35_299:Qh,house_2_11A_tm_2_A_11_Meter_35_300:Qh
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26080.151428,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,-69604.9794091,+0,+0,+0,+0,+0,+0,-34804.4458939,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,-69622.6203274,+0,+0,+0,+0,+0,+0,-34818.9707827,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,-69636.1854797,+0,+0,+0,+0,+0,+0,-34818.3639726,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,-69637.4363421,+0,+0,+0,+0,+0,+0,-34799.4190518,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,-69648.0980338,+0,+0,+0,+0,+0,+0,-34791.1432438,+0,-47830.5384416,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,-69646.1362529,+0,+0,+0,+0,+0,+0,-34784.4840128,+0,-47821.3837423,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,-69630.5007383,+0,+0,+0,+0,+0,+0,+0,+0,-47823.0314053,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47811.2108319,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,-56565.036137,+0,+0,+0,+0,+0,+0,-13056.2175751,+0,+0,+0,+0,+0,-47814.2085323,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,-56552.6309663,+0,+0,+0,+0,+0,+0,-13053.4095262,+0,+0,+0,+0,+0,-47805.9988242,+0,+0,+0,+0,+0,-26080.0971648
2010-08-16 00:19:00 UTC,-56548.4726349,+0,+0,+0,+0,+0,+0,-13052.4496552,+0,+0,+0,+0,+0,-47798.6495626,+0,+0,+0,+0,+0,-26076.0876869
2010-08-16 00:19:30 UTC,-56540.3490199,+0,+0,+0,+0,+0,+0,-13050.5744747,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26076.0178087
2010-08-16 00:20:00 UTC,-56549.8602246,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52147.4804713,+0,+0,+0,+0,+0,+0,+0,+0,-26077.7118737
2010-08-16 00:20:30 UTC,-56550.6404828,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52148.3938264,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,-56568.4612232,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52138.2656851,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52106.8991201,+0,+0,+0,+0,+0,+0,-52111.4095815,-43421.9967267,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52087.0328853,+0,+0,+0,+0,+0,+0,-52091.541157,-43405.4417604,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-56552.3177365,+0,-52115.3240932,+0,+0,+0,+0,+0,+0,-52119.8354832,-43429.0174403,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-56569.4044513,+0,-52109.0986865,+0,+0,+0,+0,+0,+0,-52113.6093903,-43423.8296733,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-56559.8755442,+0,+0,+0,+0,+0,+0,+0,+0,-52117.0849027,-43426.7255744,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-56558.7792766,+0,+0,+0,+0,+0,+0,+0,+0,-52121.482335,-43430.3896466,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,-21747.9872297,+0,-56531.2510242,+0,+0,+0,+0,+0,+0,+0,+0,-52124.2256682,-43432.675474,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,-52168.3235223,+0,+0,-21740.4460575,+0,-56511.6497752,+0,+0,+0,+0,+0,+0,+0,+0,-52154.2804281,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,-52188.9637637,+0,+0,-21749.0479525,+0,-56534.0080876,+0,+0,+0,+0,+0,+0,+0,+0,-52145.3589919,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,-47833.3632933,-52181.0121208,+0,+0,-21745.7340766,+0,-56525.3945588,+0,+0,+0,+0,+0,+0,+0,+0,-52165.001038,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,-47814.6184721,-52160.5636398,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52153.2657202,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,-47808.01267,-52153.3574566,+0,+0,+0,+0,+0,+0,+0,-34750.5996385,+0,+0,+0,+0,+0,-52122.7284149,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,-47808.1474147,-52153.5044478,+0,+0,+0,+0,+0,+0,+0,-34750.9308481,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,-47818.2806822,-52164.558697,+0,+0,+0,+0,+0,+0,+0,-34751.0118967,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,-47832.1340795,+0,+0,+0,+0,+0,+0,+0,+0,-34746.5866845,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,-47832.0198695,+0,+0,+0,+0,+0,+0,+0,+0,-34755.410598,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,-47837.9665658,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,-47840.0706444,+0,+0,+0,+0,-13049.6732512,+0,+0,+0,+0,-26057.0850976,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,-13056.0473104,+0,+0,+0,+0,-26044.688979,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,-13052.5945466,+0,+0,+0,+0,-26054.5173696,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,-13048.1373415,+0,+0,+0,+0,-26058.380215,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26066.5717811,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26041.1153808,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26051.8578613
2010-08-16 00:34:00 UTC,-56507.3870879,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26064.0457453
2010-08-16 00:34:30 UTC,-56502.3643105,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26056.815789
2010-08-16 00:35:00 UTC,-56525.3241839,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26059.4683908
2010-08-16 00:35:30 UTC,-56530.7744538,+0,+0,+0,-69578.9829027,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,-56519.621845,+0,+0,+0,-69565.255911,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,-56500.4873889,+0,+0,+0,-69541.7046032,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,-56496.5544989,+0,+0,+0,-69536.8638749,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,-56486.1516253,+0,+0,+0,-69524.0596815,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,-69548.7522326,+0,-21737.1533164,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,-69566.294374,+0,-21742.636201,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,-21738.0464309,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,-21727.4234571,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,-30422.511026,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34758.0202671,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,-30423.6044547,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34756.7443157,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,-30425.494832,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34753.7498325,+0,+0,-43438.0043659,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,-30428.5002889,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34745.4931363,+0,+0,-43427.6848019,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,-30416.2503994,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34732.3947467,+0,+0,-43411.3138866,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,-30419.2372598,+0,-52142.5556857,+0,+0,+0,-13038.2270634,+0,+0,+0,+0,+0,+0,-43427.0214541,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,-52153.369189,+0,+0,+0,-13040.93111,+0,+0,-52084.4116925,+0,+0,+0,-43405.8945451,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,-52165.088257,+0,+0,+0,-13043.8616036,+0,+0,-52120.2012498,+0,+0,+0,-43435.7210098,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,-52142.5226029,+0,-17384.727763,+0,-13038.2187907,+0,+0,-52128.531154,+0,+0,+0,-43442.6630235,+0,+0,-52133.0439998,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,-52135.5251842,+0,-17382.3946291,+0,+0,+0,+0,-52104.1784105,+0,+0,+0,-43422.3678228,+0,+0,-52108.688572,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,-52139.7658267,+0,-17383.8085771,+0,+0,+0,+0,-52090.0138272,+0,+0,+0,-43410.5632777,+0,+0,-52094.5224274,-43407.9258441,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,-52164.970233,+0,-17392.2124271,+0,+0,+0,+0,-52079.3113276,+0,+0,+0,+0,+0,+0,-52083.8187476,-43399.0072181,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52089.8625832,+0,+0,+0,+0,+0,+0,-52094.3711664,-43407.7998092,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52106.1084035,-43417.579626,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52072.3109804,-43389.4186017,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26031.6240054,+0,+0,-47718.2873632,+0,-52062.4046606,-43381.1643595,+0
2010-08-16 00:48:00 UTC,+0,+0,-47816.4912173,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26039.3953117,+0,+0,-47732.5323296,+0,-52077.9470253,-43394.114723,-26040.6845596
2010-08-16 00:48:30 UTC,+0,+0,-47820.5616866,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26021.6078954,-47701.1505486,+0,-47699.9276254,+0,-52042.3727603,+0,-26022.8959257
2010-08-16 00:49:00 UTC,+0,+0,-47791.0762533,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26038.7156778,-47732.5107819,+0,-47731.2865465,+0,-52076.5877791,+0,-26040.0048791
2010-08-16 00:49:30 UTC,+0,+0,-47799.9009877,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26037.9609522,-47731.1272961,+0,-47729.9031186,+0,-52075.078352,+0,-26039.2501019
2010-08-16 00:50:00 UTC,+0,+0,-47824.3754777,+0,+0,+0,-21741.6479363,+0,+0,+0,+0,+0,-26021.3650824,-47700.7054489,+0,-47699.4825444,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,-56511.808202,+0,-47819.2235139,+0,+0,+0,-21739.3056933,+0,+0,+0,+0,+0,+0,-47707.6487337,+0,-47706.4255385,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,-56507.2811406,+0,-47815.392774,+0,+0,+0,-21737.5641199,+0,+0,+0,+0,+0,+0,-47742.1185291,+0,-47740.8938919,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,-56521.2519674,+0,-47827.214704,+0,+0,+0,-21742.9387368,+0,+0,+0,+0,+0,+0,-47703.5657679,+0,-47702.3427437,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,-56516.0244201,+0,-47822.7912222,+0,+0,+0,+0,+0,-56512.9016357,+0,+0,+0,+0,+0,+0,-47696.3465611,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,-56510.4648232,+0,+0,+0,+0,+0,+0,+0,-56507.3424195,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,-56559.5395882,+0,+0,+0,+0,+0,+0,+0,-56556.4138244,+0,+0,-34696.8358935,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,-56544.6801761,+0,+0,+0,+0,+0,+0,+0,-56541.5554297,+0,+0,-34710.7340482,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,-69574.4869647,+0,+0,+0,-56523.9981472,+0,+0,-34722.9712664,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,-69557.4758336,+0,+0,+0,-56510.1782584,+0,+0,-34742.5371992,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,-69515.0498203,+0,+0,-13036.3743342,-56475.7112512,+0,+0,-34765.7351374,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,-69525.3322882,+0,+0,-13038.3027125,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,-69518.3307141,+0,+0,-13036.9896343,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,-69551.7122261,+0,+0,-13043.2500166,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,-69542.8877351,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,-52146.639644,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:30 UTC,+0,+0,+0,-52153.3406744,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:00 UTC,+0,+0,+0,-52157.989814,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:30 UTC,+0,+0,+0,-52139.487811,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:01:00 UTC,+0,+0,+0,-52123.6272811,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:01:30 UTC,+0,+0,+0,-52136.2359131,+0,+0,-21727.0734299,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
