# file...... Output/Qh/house_Qh_file_009.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_8A_tm_0_A_8_Meter_20_161:Qh,house_0_9A_tm_0_A_9_Meter_20_162:Qh,house_0_10A_tm_0_A_10_Meter_20_163:Qh,house_0_11A_tm_0_A_11_Meter_20_164:Qh,house_0_12A_tm_0_A_12_Meter_20_165:Qh,house_0_13A_tm_0_A_13_Meter_20_166:Qh,house_0_14A_tm_0_A_14_Meter_20_167:Qh,house_0_15A_tm_0_A_15_Meter_20_168:Qh,house_1_1B_tm_1_B_1_Meter_22_169:Qh,house_1_2B_tm_1_B_2_Meter_22_170:Qh,house_1_3B_tm_1_B_3_Meter_22_171:Qh,house_1_4B_tm_1_B_4_Meter_22_172:Qh,house_1_5B_tm_1_B_5_Meter_22_173:Qh,house_1_6B_tm_1_B_6_Meter_22_174:Qh,house_1_7B_tm_1_B_7_Meter_22_175:Qh,house_1_8B_tm_1_B_8_Meter_22_176:Qh,house_1_9B_tm_1_B_9_Meter_22_177:Qh,house_1_10B_tm_1_B_10_Meter_22_178:Qh,house_1_11B_tm_1_B_11_Meter_22_179:Qh,house_1_12B_tm_1_B_12_Meter_22_180:Qh
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65095.6929103,+0,+0,+0,+0,-30380.7373391,+0,+0,+0
2010-08-16 00:14:30 UTC,-21763.0381947,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43376.7400745,-65062.7705384,+0,+0,+0,+0,-30365.371972,+0,+0,-21691.1307453
2010-08-16 00:15:00 UTC,-21762.810054,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43357.7649919,-65034.309001,+0,-52023.9852669,+0,+0,-30352.0885429,+0,+0,-21681.6416491
2010-08-16 00:15:30 UTC,-21749.3037911,-39146.5076952,+0,+0,+0,+0,+0,+0,+0,+0,-43379.8322726,-65067.4086588,+0,-52050.4623911,+0,+0,-30367.5366525,+0,+0,-21692.6770975
2010-08-16 00:16:00 UTC,-21744.3666767,-39137.6214497,+0,+0,+0,-30442.0984347,+0,+0,+0,+0,-43382.1384294,-65070.867762,+0,-52053.2294018,+0,+0,-30369.1510681,+0,+0,-21693.8303649
2010-08-16 00:16:30 UTC,+0,-39133.0009663,+0,+0,+0,-30438.6658737,+0,+0,+0,+0,-43389.9672716,-65082.1650598,+0,-52062.2663521,+0,+0,-30374.4236874,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,-39130.5500488,+0,+0,+0,-30436.7594619,+0,+0,+0,+0,-43403.3856243,+0,+0,-52078.3659575,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,-39121.6524542,+0,+0,+0,-30429.838593,+0,+0,+0,+0,-43413.3197509,+0,+0,-52090.2851198,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,-39121.1023269,-39118.7263534,+0,+0,-30429.4106841,+0,+0,+0,+0,+0,+0,+0,-52106.9232244,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,-39119.3108271,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,-39113.6610179,+0,+0,+0,+0,-21733.6204478,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26066.784033,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,-39113.5591287,+0,+0,+0,+0,-21733.5638302,+0,+0,+0,+0,+0,+0,-52127.6527046,+0,+0,-26069.7907278,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,-39114.3357126,+0,+0,+0,+0,-21733.9953621,+0,+0,+0,+0,+0,+0,-52107.7074223,+0,+0,-26059.8151487,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,-39114.895998,+0,+0,+0,+0,-21734.3067012,+0,+0,+0,+0,+0,+0,-52102.4373381,+0,+0,-26057.1793305,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,-39111.1268164,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52106.9287717,+0,+0,-26059.4257088,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,-39088.7952308,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52128.4956751,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52143.6263915,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52115.0342845,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43403.4687923,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43433.8465827,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43419.2183604,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43423.518424,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,-39122.8071192,+0,+0,+0,+0,+0,+0,+0,+0,-43405.9940145,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,-39116.0309051,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,-39126.719279,+0,+0,+0,+0,-60717.0270955,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52047.3635073,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,-39119.9579368,+0,+0,+0,+0,-60770.760313,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52093.4253663,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,-39100.5450377,+0,+0,+0,+0,-60779.4675865,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52100.8895238,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,-39100.6260504,+0,+0,+0,+0,-60772.6129206,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52095.0134818,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,-39101.2452985,+0,+0,+0,+0,-60769.3292936,+0,+0,+0,+0,+0,+0,-47761.8759012,+0,+0,-52092.1986501,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-60726.7267631,+0,+0,+0,+0,+0,+0,-47721.5564353,+0,+0,-52055.6783775,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47720.9245607,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43379.5353994,+0,+0,+0,+0,-47718.8769236,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43380.5463816,+0,+0,+0,+0,-47719.9890453,+0,+0,+0,+0
