# file...... Output/Qh/house_Qh_file_044.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13C_tm_3_C_13_Meter_75_861:Qh,house_3_14C_tm_3_C_14_Meter_75_862:Qh,house_3_15C_tm_3_C_15_Meter_75_863:Qh,house_3_1A_tm_3_A_1_Meter_76_864:Qh,house_3_2A_tm_3_A_2_Meter_76_865:Qh,house_3_3A_tm_3_A_3_Meter_76_866:Qh,house_3_4A_tm_3_A_4_Meter_76_867:Qh,house_3_5A_tm_3_A_5_Meter_76_868:Qh,house_3_6A_tm_3_A_6_Meter_76_869:Qh,house_3_7A_tm_3_A_7_Meter_76_870:Qh,house_3_8A_tm_3_A_8_Meter_76_871:Qh,house_3_9A_tm_3_A_9_Meter_76_872:Qh,house_3_10A_tm_3_A_10_Meter_76_873:Qh,house_3_11A_tm_3_A_11_Meter_76_874:Qh,house_3_12A_tm_3_A_12_Meter_76_875:Qh,house_3_13A_tm_3_A_13_Meter_76_876:Qh,house_3_14A_tm_3_A_14_Meter_76_877:Qh,house_3_15A_tm_3_A_15_Meter_76_878:Qh,house_3_16A_tm_3_A_16_Meter_76_879:Qh,house_3_17A_tm_3_A_17_Meter_76_880:Qh
2010-08-16 00:12:30 UTC,+0,-61335.4735302,-39433.6543489,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,-61341.4428808,-39437.492218,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,-21900.5654763,-61310.8793375,-39417.8420261,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,-21899.2512323,-61307.2002415,-39415.4766283,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,-21918.2261946,+0,-39449.6280748,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,-21937.152125,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52735.0292066,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,-21935.9306016,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52726.1173979,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52706.3317307,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,-57036.7167221,+0,+0,+0,+0,+0,+0,+0,+0,-52646.8353002,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,-57010.2435201,+0,+0,+0,-61398.6048888,+0,+0,-13158.7303109,+0,-52622.3999438,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,-56980.2795799,+0,+0,+0,-61366.3340192,+0,+0,-13151.8139036,+0,-52594.7425583,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,-57008.2887619,+0,-17544.4378738,+0,-61396.4996331,+0,+0,-13158.2791049,+0,-52620.5956585,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,-57012.0152109,+0,-17545.5847572,+0,-61400.5129823,+0,-26315.6587654,-13159.1392602,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,-57031.148745,+0,-17551.4734538,+0,-61421.1196106,+0,-26324.4905984,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,-56993.2997693,+0,-17539.8247365,+0,-61380.3566357,+0,-26307.0199198,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,-57019.9659775,+0,+0,+0,-61409.0758798,+0,-26319.3287535,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,-57046.7016888,+0,+0,+0,-61437.8699776,+0,-26331.6696689,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,-57034.0219473,+0,+0,+0,-61424.2140211,+0,-26325.8168374,+0,-43874.7952893,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43864.7776477,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,-56963.9801969,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43820.0633374,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,-57014.0345433,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43858.5684871,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,-57006.5490051,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43852.8101106,+0,+0,+0,-57001.1513926,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,-56976.2869877,+0,+0,+0,+0,-43831.8419651,+0,+0,+0,+0,-43829.5305436,+0,+0,+0,-56970.8931486,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,-56989.3229586,+0,+0,+0,+0,-43841.8707724,+0,+0,+0,+0,-43839.5586841,+0,+0,+0,-56983.9274935,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,-57013.1590721,+0,+0,+0,+0,-43860.2083231,+0,+0,+0,+0,-43857.8950162,+0,+0,+0,-57007.7606354,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,-57030.8102801,+0,+0,+0,+0,-43873.7877144,+0,+0,+0,+0,-43871.4735053,+0,-57025.0821975,+0,-57025.4096433,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,-57017.9721982,+0,+0,+0,+0,-43863.9111474,+0,+0,+0,+0,+0,+0,-57012.24576,+0,-57012.5731614,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-43881.1400646,+0,+0,+0,+0,+0,+0,-57034.6379445,+0,-57034.9654235,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-43879.3203342,+0,+0,+0,+0,+0,+0,-57032.272866,+0,-57032.6003368,+0,+0
