# file...... Output/Qh/house_Qh_file_059.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_3C_tm_3_C_3_Meter_102_1161:Qh,house_3_4C_tm_3_C_4_Meter_102_1162:Qh,house_3_5C_tm_3_C_5_Meter_102_1163:Qh,house_3_6C_tm_3_C_6_Meter_102_1164:Qh,house_3_7C_tm_3_C_7_Meter_102_1165:Qh,house_3_8C_tm_3_C_8_Meter_102_1166:Qh,house_3_1C_tm_3_C_1_Meter_103_1167:Qh,house_3_2C_tm_3_C_2_Meter_103_1168:Qh,house_3_3C_tm_3_C_3_Meter_103_1169:Qh,house_3_4C_tm_3_C_4_Meter_103_1170:Qh,house_3_5C_tm_3_C_5_Meter_103_1171:Qh,house_3_6C_tm_3_C_6_Meter_103_1172:Qh,house_3_7C_tm_3_C_7_Meter_103_1173:Qh,house_3_8C_tm_3_C_8_Meter_103_1174:Qh,house_3_9C_tm_3_C_9_Meter_103_1175:Qh,house_3_10C_tm_3_C_10_Meter_103_1176:Qh,house_3_11C_tm_3_C_11_Meter_103_1177:Qh,house_3_12C_tm_3_C_12_Meter_103_1178:Qh,house_3_13C_tm_3_C_13_Meter_103_1179:Qh,house_3_14C_tm_3_C_14_Meter_103_1180:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39245.3442089,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39238.4721492,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,-26204.3404322,+0,+0,+0,+0,+0,-52382.0482096,+0,+0,+0,+0,+0,-39292.3334861,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,-26181.0718713,+0,+0,+0,+0,+0,-52332.3477802,+0,+0,+0,+0,-13086.3430262,-39255.0511977,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,-26153.2954039,+0,+0,+0,+0,+0,-52276.1927292,+0,+0,+0,+0,-13072.2998037,-39212.9270342,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,-26138.9283107,+0,+0,+0,+0,+0,-52247.4321095,+0,+0,+0,+0,-13065.1073642,-39191.3525354,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,-26114.649879,+0,-39167.8662681,+0,+0,+0,-52198.9163932,+0,+0,+0,+0,-13052.9745806,-39154.958942,+0,+0,-39155.6520081,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,-39261.6420966,+0,+0,+0,-52322.4187888,-26165.6101104,+0,+0,+0,+0,-39247.6030609,+0,+0,-39248.2984048,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,-39214.4396656,+0,+0,+0,-52264.794835,-26136.7920917,+0,+0,+0,+0,+0,+0,+0,-39205.0712965,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,-39246.91081,+0,+0,+0,-52305.8007309,-26157.2993393,+0,+0,-43590.0290642,+0,+0,+0,+0,-39235.832225,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,+0,-39258.2276771,+0,+0,+0,-52318.4135833,-26163.6070881,+0,+0,-43600.5403715,+0,+0,+0,+0,-39245.2938658,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,+0,-39188.7912281,+0,+0,+0,-52223.8256157,-26116.3031854,+0,+0,-43521.7125876,+0,+0,+0,+0,-39174.3378795,-39170.423113,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-26150.975236,+0,+0,-43579.4905032,+0,+0,+0,+0,+0,-39222.4247256,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43712.5353544,+0,+0,+0,+0,+0,-39342.1685174,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43703.4666239,+0,+0,+0,+0,+0,-39334.0064265,-43704.5115105,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43707.296387,+0,+0,+0,+0,+0,-39337.4533119,-43708.3414052,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39388.619849,-43765.1934406,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43808.0120607,+0
2010-08-16 00:09:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43883.8248782,+0
2010-08-16 00:09:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43931.5195809,+0
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43956.9371361,+0
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,-30783.9490026,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,+0,+0,-30797.8849584,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:30 UTC,+0,+0,+0,+0,+0,+0,-30693.8604191,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,-30697.4640899,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,+0,+0,-30684.1142588,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,-30685.6352168,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,-17553.3708188,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,-17564.0113219,+0,+0,+0,+0,+0,+0,+0,+0,-39506.183082,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,-17562.5849645,+0,+0,+0,+0,+0,+0,+0,-13168.7620511,-39502.4054777,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,-17571.7609371,+0,+0,+0,+0,+0,+0,+0,-13176.1677783,-39524.6199063,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17571.0017944,+0,+0,-13179.0038694,-39533.1271255,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-26340.8069086,-17560.8834384,+0,+0,-13171.4144987,-39510.3618344,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-26355.9341875,-17571.0871391,+0,+0,+0,-39533.0522025,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,-26332.3757257,+0,-39494.8100112,+0,+0,+0,+0,-26324.0084697,-17549.8026178,+0,+0,+0,-39485.164787,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,-26320.3140263,+0,-39476.7195817,+0,+0,+0,+0,-26313.0917973,-17542.5245936,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,-26326.9464028,+0,-39486.6669812,+0,+0,+0,+0,-26320.2273592,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,-26315.1009766,+0,-39468.9009239,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,-26318.6827347,+0,-39474.2729312,+0,-43859.0586499,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,-43874.9357867,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,-43891.5695428,+0,-52651.9442839,+0,+0,+0,+0,+0,+0,-48267.2399045,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,-43879.6307492,+0,-52637.7027711,+0,+0,+0,+0,+0,+0,-48254.1841487,+0,+0,+0,+0,+0
