# file...... Output/Qh/house_Qh_file_054.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_9B_tm_3_B_9_Meter_90_1061:Qh,house_3_10B_tm_3_B_10_Meter_90_1062:Qh,house_3_11B_tm_3_B_11_Meter_90_1063:Qh,house_3_12B_tm_3_B_12_Meter_90_1064:Qh,house_3_13B_tm_3_B_13_Meter_90_1065:Qh,house_3_14B_tm_3_B_14_Meter_90_1066:Qh,house_3_15B_tm_3_B_15_Meter_90_1067:Qh,house_3_1C_tm_3_C_1_Meter_92_1068:Qh,house_3_2C_tm_3_C_2_Meter_92_1069:Qh,house_3_3C_tm_3_C_3_Meter_92_1070:Qh,house_3_4C_tm_3_C_4_Meter_92_1071:Qh,house_3_5C_tm_3_C_5_Meter_92_1072:Qh,house_3_6C_tm_3_C_6_Meter_92_1073:Qh,house_3_7C_tm_3_C_7_Meter_92_1074:Qh,house_3_8C_tm_3_C_8_Meter_92_1075:Qh,house_3_9C_tm_3_C_9_Meter_92_1076:Qh,house_3_10C_tm_3_C_10_Meter_92_1077:Qh,house_3_11C_tm_3_C_11_Meter_92_1078:Qh,house_3_12C_tm_3_C_12_Meter_92_1079:Qh,house_3_13C_tm_3_C_13_Meter_92_1080:Qh
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,-17489.2486092,+0,+0,-48223.7629425,-26306.7589051,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,+0,-48216.1527928,-26302.6073293,+0,+0,+0,+0,+0,+0,+0,-43843.169993,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,-48245.3359649,-26318.5276668,+0,+0,+0,+0,+0,+0,+0,-43862.5007697,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43902.4423194,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43901.6638052,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43919.4155117,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43931.513762,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43913.6956735,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43936.8977749,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43890.7667023,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,-26259.8713716,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,-26273.3363776,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,-26254.2580028,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,-26231.6974691,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-57052.4655262,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,-26240.3815521,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-57078.6547288,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-57064.9958743,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-57069.3144448,+0
2010-08-16 00:22:30 UTC,-61191.093573,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35102.812723,-57042.8712991,+0
2010-08-16 00:23:00 UTC,-61144.7343745,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35118.0518353,-57067.6353037,+0
2010-08-16 00:23:30 UTC,-61202.8945584,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35099.2019417,-57037.0036734,+0
2010-08-16 00:24:00 UTC,-61189.2735853,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35086.6294719,-57016.5730411,+0
2010-08-16 00:24:30 UTC,-61163.6237273,-30584.9442701,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35083.7113451,+0,+0
2010-08-16 00:25:00 UTC,-61154.0338672,-30580.1487327,+0,+0,-17475.9273788,+0,+0,+0,-26294.4939632,+0,+0,+0,+0,+0,+0,+0,+0,-35057.555179,+0,+0
2010-08-16 00:25:30 UTC,-61144.0841223,-30575.1732307,+0,+0,-17473.0839242,+0,+0,+0,-26321.6139035,+0,+0,+0,+0,+0,+0,+0,+0,-35093.7127919,+0,+0
2010-08-16 00:26:00 UTC,-61056.5443089,-30531.3977818,+0,+0,-17448.066647,+0,+0,+0,-26329.1586197,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
