# file...... Output/Qh/house_Qh_file_013.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_13C_tm_1_C_13_Meter_30_241:Qh,house_1_14C_tm_1_C_14_Meter_30_242:Qh,house_1_15C_tm_1_C_15_Meter_30_243:Qh,house_1_1C_tm_1_C_1_Meter_31_244:Qh,house_1_2C_tm_1_C_2_Meter_31_245:Qh,house_1_3C_tm_1_C_3_Meter_31_246:Qh,house_1_4C_tm_1_C_4_Meter_31_247:Qh,house_1_5C_tm_1_C_5_Meter_31_248:Qh,house_1_6C_tm_1_C_6_Meter_31_249:Qh,house_1_7C_tm_1_C_7_Meter_31_250:Qh,house_1_8C_tm_1_C_8_Meter_31_251:Qh,house_1_1C_tm_1_C_1_Meter_32_252:Qh,house_1_2C_tm_1_C_2_Meter_32_253:Qh,house_1_3C_tm_1_C_3_Meter_32_254:Qh,house_1_4C_tm_1_C_4_Meter_32_255:Qh,house_1_5C_tm_1_C_5_Meter_32_256:Qh,house_1_6C_tm_1_C_6_Meter_32_257:Qh,house_1_7C_tm_1_C_7_Meter_32_258:Qh,house_1_8C_tm_1_C_8_Meter_32_259:Qh,house_1_1A_tm_1_A_1_Meter_33_260:Qh
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21783.1442819,+0,-13070.7085963,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,+0,+0,-30490.328378,+0,+0,+0,+0,+0,+0,-21777.8277713,+0,-13067.5184391,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,-30484.9842706,+0,+0,+0,+0,+0,+0,-21773.8721491,+0,-13065.1448791,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,-30496.0930281,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,-30500.2050342,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,-39215.4237063,-30498.0972351,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,-39213.6635047,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,-39206.2508877,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,-39188.3934976,+0,+0,+0,+0,+0,-26127.3460859,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,-43450.68081,+0,+0,+0,-39202.6955836,+0,+0,+0,+0,+0,-26136.8814813,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,-43436.1295545,+0,+0,+0,-39188.2844618,+0,+0,+0,+0,+0,-26126.3480773,+0,+0,+0,+0,+0,+0,-26125.8385587,+0
2010-08-16 00:18:30 UTC,+0,-43424.8964394,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26117.7711179,+0,+0,+0,+0,+0,-43526.4986525,-26117.2618009,+0
2010-08-16 00:19:00 UTC,+0,-43413.4236783,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26112.6473697,+0,+0,+0,+0,+0,-43517.9598464,-26112.1381732,+0
2010-08-16 00:19:30 UTC,+0,-43407.3878727,+0,+0,+0,+0,+0,-39164.2040099,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43513.4330428,-26109.4219085,+0
2010-08-16 00:20:00 UTC,+0,-43417.4861332,+0,+0,+0,+0,+0,-39173.4740333,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43523.6899894,-26115.5764899,+0
2010-08-16 00:20:30 UTC,+0,-43418.0543492,+0,+0,+0,+0,+0,-39172.0982096,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43522.1614712,+0,-56611.8998753
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,-39193.8241225,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43547.7894252,+0,-56610.344615
2010-08-16 00:21:30 UTC,+0,+0,+0,-21775.7583635,+0,+0,+0,-39190.7509841,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43544.9263767,+0,-56577.3987483
2010-08-16 00:22:00 UTC,+0,+0,+0,-21766.0094697,+0,+0,+0,-39173.2061632,+0,-56580.6871003,+0,+0,+0,+0,+0,+0,+0,-43526.8652593,+0,-56555.7934784
2010-08-16 00:22:30 UTC,+0,+0,+0,-21770.3928128,+0,+0,+0,+0,+0,-56592.0810154,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56595.0635826
2010-08-16 00:23:00 UTC,-56473.5770892,+0,+0,-21779.9612932,+0,+0,+0,+0,+0,-56616.9530028,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56589.1542236
2010-08-16 00:23:30 UTC,-56455.3217687,+0,+0,+0,+0,+0,+0,+0,+0,-56601.2145326,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56581.3504089
2010-08-16 00:24:00 UTC,-56456.0992866,+0,+0,+0,+0,+0,+0,+0,+0,-56602.0072943,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56586.4299011
2010-08-16 00:24:30 UTC,-56431.9546705,+0,+0,+0,+0,+0,+0,+0,+0,-56577.9728985,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,-56407.9555824,+0,+0,+0,+0,+0,+0,+0,+0,-56553.5530958,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,-56432.5703131,+0,+0,+0,+0,+0,+0,+0,+0,-56578.818589,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,-56428.6368764,+0,+0,+0,-56567.2610584,+0,+0,+0,+0,-56567.9002828,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,-56386.5192238,+0,+0,+0,-56524.0406588,+0,+0,+0,+0,-56524.6793389,+0,+0,+0,+0,+0,-13047.2059773,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,-56367.1453648,+0,+0,+0,-56509.2965436,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13043.373624,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,-56365.3765605,+0,+0,+0,-56505.7200918,+0,+0,+0,+0,+0,+0,+0,+0,-21735.5277549,+0,-13042.176484,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,-56532.2710384,+0,+0,+0,+0,+0,+0,+0,+0,-21745.7409321,+0,-13048.3049101,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,-56545.4561397,+0,+0,+0,+0,+0,+0,+0,+0,-21751.1847506,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,-56541.5871056,+0,+0,+0,+0,+0,+0,+0,+0,-21749.6964323,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21755.0629129,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,-30480.7364037,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,-30474.8234375,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,-30466.4548096,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,-21740.8891455,+0,+0,-30435.5560975,+0,-47822.3537804,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,-21753.1328621,+0,+0,-30452.6961487,+0,-47849.2845311,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,-21752.7727911,+0,+0,+0,+0,-47848.4925345,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,-43394.7687376,+0,-21754.0279335,+0,+0,+0,+0,-47851.2532914,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,-43387.1795105,+0,+0,+0,+0,+0,-39143.0632249,-47840.7667194,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,-43377.1018745,+0,+0,+0,+0,+0,-39132.9716974,-47828.4328732,+0,+0,-26091.2977176,+0,+0,+0,+0,+0,+0,+0,+0
