# file...... Output/Qh/house_Qh_file_031.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_5A_tm_0_A_5_Meter_52_601:Qh,house_0_6A_tm_0_A_6_Meter_52_602:Qh,house_0_7A_tm_0_A_7_Meter_52_603:Qh,house_0_8A_tm_0_A_8_Meter_52_604:Qh,house_0_9A_tm_0_A_9_Meter_52_605:Qh,house_0_10A_tm_0_A_10_Meter_52_606:Qh,house_0_11A_tm_0_A_11_Meter_52_607:Qh,house_0_12A_tm_0_A_12_Meter_52_608:Qh,house_0_13A_tm_0_A_13_Meter_52_609:Qh,house_0_14A_tm_0_A_14_Meter_52_610:Qh,house_0_15A_tm_0_A_15_Meter_52_611:Qh,house_0_1A_tm_0_A_1_Meter_53_612:Qh,house_0_2A_tm_0_A_2_Meter_53_613:Qh,house_0_3A_tm_0_A_3_Meter_53_614:Qh,house_0_4A_tm_0_A_4_Meter_53_615:Qh,house_0_5A_tm_0_A_5_Meter_53_616:Qh,house_0_6A_tm_0_A_6_Meter_53_617:Qh,house_0_7A_tm_0_A_7_Meter_53_618:Qh,house_0_8A_tm_0_A_8_Meter_53_619:Qh,house_0_9A_tm_0_A_9_Meter_53_620:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-38886.7300583,+0,+0,+0,+0,+0,+0,+0,+0,-17275.2437964,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-38916.8865456,+0,+0,+0,+0,+0,+0,+0,+0,-17287.621986,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56282.8014394,-38971.2536012,-43300.4004134,+0,+0,-25965.213518,+0,+0,+0,+0,-17310.9522313,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56226.8228625,-38932.4916455,-43257.3326856,+0,+0,-25936.6046893,+0,+0,+0,+0,-17291.878543,+0,-43223.4361772
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,-60653.3435532,+0,+0,-56322.236575,-38998.5601714,-43330.7402636,+0,+0,-25980.7969926,+0,+0,+0,+0,-17321.3418329,+0,-43297.0809495
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,-60618.4833701,+0,-38974.2668099,-56289.8650108,-38976.1447195,-43305.834849,+0,+0,-25965.1675701,+0,+0,-25965.9244792,-34619.3072253,+0,+0,-43271.0351181
2010-08-16 00:03:30 UTC,+0,+0,+0,-34624.5713293,-60582.3804529,+0,-38951.0536044,-56256.3394286,-38952.9301758,-43280.0415775,+0,+0,-25949.5974497,+0,+0,-25950.353729,-34598.5476103,+0,+0,-43245.0881117
2010-08-16 00:04:00 UTC,+0,+0,+0,-34638.7201006,-60607.1350148,+0,-38966.9701225,-56279.3267983,+0,-43297.7271605,+0,+0,-25960.9198353,+0,+0,-25961.6765726,-34613.6437277,+0,+0,-43263.9564314
2010-08-16 00:04:30 UTC,+0,+0,-34652.3498066,-34654.2042891,-60634.2260116,+0,-38984.3889049,-56304.4838076,+0,-43317.0819791,+0,+0,+0,+0,+0,-25974.2374213,-34630.3904085,+0,-30303.5641597,-43284.8877561
