# file...... Output/Qh/house_Qh_file_053.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_4A_tm_3_A_4_Meter_88_1041:Qh,house_3_5A_tm_3_A_5_Meter_88_1042:Qh,house_3_6A_tm_3_A_6_Meter_88_1043:Qh,house_3_7A_tm_3_A_7_Meter_88_1044:Qh,house_3_8A_tm_3_A_8_Meter_88_1045:Qh,house_3_9A_tm_3_A_9_Meter_88_1046:Qh,house_3_10A_tm_3_A_10_Meter_88_1047:Qh,house_3_11A_tm_3_A_11_Meter_88_1048:Qh,house_3_12A_tm_3_A_12_Meter_88_1049:Qh,house_3_13A_tm_3_A_13_Meter_88_1050:Qh,house_3_14A_tm_3_A_14_Meter_88_1051:Qh,house_3_15A_tm_3_A_15_Meter_88_1052:Qh,house_3_1B_tm_3_B_1_Meter_90_1053:Qh,house_3_2B_tm_3_B_2_Meter_90_1054:Qh,house_3_3B_tm_3_B_3_Meter_90_1055:Qh,house_3_4B_tm_3_B_4_Meter_90_1056:Qh,house_3_5B_tm_3_B_5_Meter_90_1057:Qh,house_3_6B_tm_3_B_6_Meter_90_1058:Qh,house_3_7B_tm_3_B_7_Meter_90_1059:Qh,house_3_8B_tm_3_B_8_Meter_90_1060:Qh
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17615.0691656,-39631.0951177,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17629.2904599,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17575.3501031,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,-35126.4580311,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,-35086.9421608,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,-35069.6240484,+0,+0,+0,+0,+0,+0,-17538.2917604,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,-35050.0236359,+0,+0,+0,+0,+0,+0,-17527.3669166,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,-35067.4779713,+0,+0,+0,+0,+0,+0,-17536.0955473,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,-35068.4393005,+0,+0,+0,+0,+0,+0,-17536.5762926,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,-52585.5948745,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21894.659715,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,-52614.6908411,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21878.7609223,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,-52641.6974967,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21859.960304,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,-52630.6607295,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21867.1971066,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,-52617.9658148,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,-52560.166762,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26208.6534607,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26233.5836448,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26227.7450561,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26216.7503236,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21845.1119847,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52596.7592907,+0,+0,+0,+0,+0,+0,+0,-21841.5576271,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52621.0275811,+0,+0,+0,+0,+0,+0,+0,-21810.2856849,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52619.8734734,+0,+0,+0,+0,+0,+0,+0,-21850.1291833,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52614.1273723,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,-61356.9922019,+0,+0,+0,+0,-52596.2115143,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,-61349.9069202,+0,+0,-61347.9795456,+0,+0,+0,+0,-52588.4856284,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,-61349.3328183,+0,+0,-61347.4054611,+0,+0,+0,+0,-52587.9935081,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,-61404.8537285,+0,+0,-61402.9246928,+0,+0,+0,+0,-52635.5860527,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,-61357.8702573,+0,+0,-61355.9426424,+0,+0,+0,+0,-52595.3118036,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,-61371.4686994,+0,+0,-61369.5406731,+0,+0,+0,+0,+0,+0,+0,+0,-65381.5027992,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,-61345.0814796,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65389.6724823,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,-61374.0324151,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65415.897259,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,-61385.6232199,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65407.0826974,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,-61406.8034764,+0,+0,+0,+0,+0,+0,+0,+0,-17548.7007279,+0,-17548.5478302,-65453.5673119,+0,+0,+0,+0,+0,+0,+0
