# file...... Output/Qh/house_Qh_file_003.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_3C_tm_0_C_3_Meter_5_41:Qh,house_0_4C_tm_0_C_4_Meter_5_42:Qh,house_0_5C_tm_0_C_5_Meter_5_43:Qh,house_0_6C_tm_0_C_6_Meter_5_44:Qh,house_0_7C_tm_0_C_7_Meter_5_45:Qh,house_0_8C_tm_0_C_8_Meter_5_46:Qh,house_0_1C_tm_0_C_1_Meter_6_47:Qh,house_0_2C_tm_0_C_2_Meter_6_48:Qh,house_0_3C_tm_0_C_3_Meter_6_49:Qh,house_0_4C_tm_0_C_4_Meter_6_50:Qh,house_0_5C_tm_0_C_5_Meter_6_51:Qh,house_0_6C_tm_0_C_6_Meter_6_52:Qh,house_0_7C_tm_0_C_7_Meter_6_53:Qh,house_0_8C_tm_0_C_8_Meter_6_54:Qh,house_0_9C_tm_0_C_9_Meter_6_55:Qh,house_0_10C_tm_0_C_10_Meter_6_56:Qh,house_0_11C_tm_0_C_11_Meter_6_57:Qh,house_0_12C_tm_0_C_12_Meter_6_58:Qh,house_0_13C_tm_0_C_13_Meter_6_59:Qh,house_0_14C_tm_0_C_14_Meter_6_60:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21706.2269331,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21758.007032,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,-60892.1349797,+0,+0,+0,+0,+0,-21750.8230407,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,-60871.7096272,+0,+0,+0,+0,+0,-21742.7459229,+0,-39135.3768206,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,-60865.8234233,+0,+0,+0,+0,+0,+0,+0,-39133.0662981,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,-60847.6200101,+0,+0,+0,+0,+0,+0,+0,-39118.4681539,+0,-34771.33092,+0,+0,+0,+0,-47806.821567,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,-60845.8034216,+0,+0,+0,+0,+0,+0,+0,-39116.6758543,+0,-34769.7378099,+0,+0,+0,-17385.9249319,-47804.631251,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,-60832.4454833,+0,+0,+0,+0,+0,+0,+0,-39107.2418416,+0,-34761.3522582,+0,+0,-26071.1420325,-17381.7318231,-47793.1022252,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,-60967.5061462,+0,+0,+0,+0,+0,+0,+0,-39194.2610014,+0,-34838.7004348,+0,+0,-26129.1536805,-17420.4089812,-47899.445752,+0
2010-08-16 00:05:00 UTC,+0,+0,+0,-60972.3016706,+0,+0,+0,+0,+0,+0,+0,-39197.3060533,+0,-34841.4070712,+0,+0,-26131.1836758,-17421.7624067,-47903.1670195,+0
2010-08-16 00:05:30 UTC,+0,+0,+0,-60958.6326482,+0,+0,+0,+0,+0,+0,+0,-39188.51917,+0,-34833.596729,+0,+0,-26125.3258672,-17417.8569258,-47892.4288303,+0
2010-08-16 00:06:00 UTC,+0,+0,-43558.2428268,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34842.5624479,+0,+0,-26132.050216,+0,-47905.2212822,-60972.6368134
2010-08-16 00:06:30 UTC,+0,+0,-43564.8159146,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34847.8197621,+0,+0,-26135.9932367,+0,-47912.449535,-60981.8368615
2010-08-16 00:07:00 UTC,+0,+0,-43570.4860003,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34854.7231144,+0,+0,+0,+0,+0,-60993.9173972
2010-08-16 00:07:30 UTC,+0,+0,-43575.2476019,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60999.1914434
2010-08-16 00:08:00 UTC,+0,+0,-43585.5121246,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61015.6174406
2010-08-16 00:08:30 UTC,+0,+0,-43589.718974,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61021.5062731
2010-08-16 00:09:00 UTC,+0,+0,-43599.6809518,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61035.5400886
2010-08-16 00:09:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21804.1906718,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61046.0172886
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21806.4427353,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61052.3223208
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21811.9876031,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21815.3762031,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,-56710.4289383,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,-43625.9665497,-56707.5975311,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:30 UTC,+0,+0,+0,+0,-43623.1496537,-56703.9360732,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,-43622.481917,-56703.0681358,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,-43619.7354077,-56699.498168,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,-43617.2526908,-56696.2710827,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17447.0850476,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,-43623.7848848,+0,+0,-39257.9594289,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17448.4944674,+0,+0
2010-08-16 00:15:00 UTC,-34902.0517358,+0,+0,+0,+0,+0,+0,-39262.6819562,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17450.5934412,+0,+0
2010-08-16 00:15:30 UTC,-34902.1810584,+0,+0,+0,+0,+0,+0,-39262.914608,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17450.6968456,+0,+0
2010-08-16 00:16:00 UTC,-34904.049661,+0,+0,+0,+0,+0,+0,-39265.6446553,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,-34901.6029443,+0,+0,+0,+0,+0,+0,-39262.9478314,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,-34897.2700287,+0,+0,+0,+0,+0,+0,-39257.1318208,+0,+0,+0,+0,+0,+0,+0,+0,-26170.7726766,+0,+0,+0
2010-08-16 00:17:30 UTC,-34898.3009452,+0,+0,+0,+0,+0,+0,-39258.9885487,+0,+0,+0,+0,+0,+0,+0,+0,-26172.0104552,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26172.0080582,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39245.8138067,+0,+0,+0,+0,-26163.5503743,+0,-47962.6076091,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39243.160329,+0,+0,+0,-39241.1359944,-26161.7814196,+0,-47959.3648511,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39244.2406272,+0,+0,+0,-39242.2162256,+0,+0,-47960.6850604,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21805.3559012,+0,-39248.1295289,+0,+0,+0,-39246.104886,+0,+0,-47965.4376035,+0
