# file...... Output/Qh/house_Qh_file_039.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_17C_tm_3_C_17_Meter_66_761:Qh,house_3_18C_tm_3_C_18_Meter_66_762:Qh,house_3_19C_tm_3_C_19_Meter_66_763:Qh,house_3_20C_tm_3_C_20_Meter_66_764:Qh,house_3_21C_tm_3_C_21_Meter_66_765:Qh,house_3_22C_tm_3_C_22_Meter_66_766:Qh,house_3_23C_tm_3_C_23_Meter_66_767:Qh,house_3_24C_tm_3_C_24_Meter_66_768:Qh,house_3_25C_tm_3_C_25_Meter_66_769:Qh,house_3_26C_tm_3_C_26_Meter_66_770:Qh,house_3_27C_tm_3_C_27_Meter_66_771:Qh,house_3_28C_tm_3_C_28_Meter_66_772:Qh,house_3_1A_tm_3_A_1_Meter_68_773:Qh,house_3_2A_tm_3_A_2_Meter_68_774:Qh,house_3_3A_tm_3_A_3_Meter_68_775:Qh,house_3_4A_tm_3_A_4_Meter_68_776:Qh,house_3_5A_tm_3_A_5_Meter_68_777:Qh,house_3_6A_tm_3_A_6_Meter_68_778:Qh,house_3_7A_tm_3_A_7_Meter_68_779:Qh,house_3_8A_tm_3_A_8_Meter_68_780:Qh
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-38977.4146794,+0,+0,+0,-30838.0012984,-35241.9922657,+0,+0,+0,-35241.2078281
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39000.9464933,+0,+0,+0,-30856.5591869,-35263.2002044,+0,+0,+0,-35262.4152069
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39020.8547915,+0,+0,+0,+0,-35159.963739,+0,+0,+0,-35159.1814681
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39018.8604089,+0,+0,+0,+0,-35154.2574795,-13184.2171298,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39025.0964266,+0,+0,+0,+0,-35143.1508053,-13180.0515915,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39033.1209135,+0,+0,+0,+0,+0,-13166.5549177,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-60692.6666925,+0,+0,+0,+0,+0,+0,+0,-13161.477084,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-60725.1239611,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-60665.7356562,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-60633.2489268,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-60642.8711302,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-60625.6823624,+0,+0,+0,+0,+0,+0,+0,+0,-65771.3934239,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,-12997.7208624,+0,+0,+0,-60641.3080815,+0,+0,+0,+0,+0,+0,+0,+0,-65798.0613572,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,-13001.101561,+0,+0,+0,-60657.079943,+0,+0,+0,+0,+0,+0,+0,+0,-65827.289113,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,-13009.8270175,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65814.2072012,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,-13007.9964624,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65793.6548435,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65729.2713301,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65785.1834771,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47655.1557006,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47629.2717518,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47608.447353,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,-34649.1247848,+0,+0,+0,-47643.6809993,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,-47637.9912167,+0,+0,+0,+0,+0,+0,-34644.3047945,+0,+0,+0,-47637.0533325,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,-47605.7952227,+0,+0,+0,+0,+0,+0,-34620.8907722,+0,+0,+0,-47604.8581774,+0,+0,+0,+0,+0,+0,+0,+0
