# file...... Output/Qh/house_Qh_file_023.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_14A_tm_2_A_14_Meter_48_441:Qh,house_2_15A_tm_2_A_15_Meter_48_442:Qh,house_2_16A_tm_2_A_16_Meter_48_443:Qh,house_2_17A_tm_2_A_17_Meter_48_444:Qh,house_2_18A_tm_2_A_18_Meter_48_445:Qh,house_2_19A_tm_2_A_19_Meter_48_446:Qh,house_2_20A_tm_2_A_20_Meter_48_447:Qh,house_2_21A_tm_2_A_21_Meter_48_448:Qh,house_2_22A_tm_2_A_22_Meter_48_449:Qh,house_2_23A_tm_2_A_23_Meter_48_450:Qh,house_2_24A_tm_2_A_24_Meter_48_451:Qh,house_2_25A_tm_2_A_25_Meter_48_452:Qh,house_2_26A_tm_2_A_26_Meter_48_453:Qh,house_2_27A_tm_2_A_27_Meter_48_454:Qh,house_2_28A_tm_2_A_28_Meter_48_455:Qh,house_2_29A_tm_2_A_29_Meter_48_456:Qh,house_2_1B_tm_2_B_1_Meter_48_457:Qh,house_2_2B_tm_2_B_2_Meter_48_458:Qh,house_2_3B_tm_2_B_3_Meter_48_459:Qh,house_2_4B_tm_2_B_4_Meter_48_460:Qh
2010-08-16 00:13:30 UTC,+0,+0,-17388.0632651,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,-17389.8134887,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21749.1849419,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,-47838.7946643,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21748.1128268,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,-47811.5030284,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21735.7051801,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,-47798.6018004,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21729.839871,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,-47788.7777042,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21725.373524,-47788.4262014,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,-47789.3734028,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47789.0218986,-52132.3526324,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,-47774.8354252,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47774.4839558,-52116.4934401,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,-47777.555971,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47776.7908264,-52119.0099658,-52072.1666875,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,-56447.954563,+0,+0,+0,-52102.8023576,+0,+0,+0,+0,+0,-47762.8410533,-52103.7923975,-52101.5901822,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,-56434.2873494,+0,+0,+0,-52090.1873988,+0,+0,+0,+0,+0,-47751.2767452,-52091.1770923,-52090.3383813,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,-56435.3406919,-30390.9223873,+0,+0,-52091.159643,+0,+0,+0,+0,+0,-47752.1680152,-52092.1493633,-52104.8747978,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,-56444.0504561,-30395.6127588,+0,+0,-52099.1988324,+0,+0,+0,+0,+0,+0,-52100.1887734,-52088.5229397,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,-56444.1657099,-30395.6748249,+0,+0,-52099.305213,+0,+0,+0,+0,+0,+0,-52100.2951569,-52087.0778485,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,-56426.9924459,-30386.4266998,+0,+0,-52083.4541386,+0,+0,+0,+0,+0,+0,-52084.4436472,-52097.0992627,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,-30368.8288007,+0,+0,-52053.2917446,+0,+0,+0,+0,+0,+0,+0,-52118.3202527,-34747.4588056,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,-30358.2338975,+0,+0,-52035.1323248,+0,+0,+0,+0,+0,+0,+0,+0,-34762.9104344,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,-30377.7998435,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34738.3568193,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34705.9738092,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,-17360.4586387,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34728.1150389,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,-17359.8177914,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34710.4864576,+0,+0
