# file...... Output/Qh/house_Qh_file_020.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_7A_tm_2_A_7_Meter_46_381:Qh,house_2_8A_tm_2_A_8_Meter_46_382:Qh,house_2_1A_tm_2_A_1_Meter_47_383:Qh,house_2_2A_tm_2_A_2_Meter_47_384:Qh,house_2_3A_tm_2_A_3_Meter_47_385:Qh,house_2_4A_tm_2_A_4_Meter_47_386:Qh,house_2_5A_tm_2_A_5_Meter_47_387:Qh,house_2_6A_tm_2_A_6_Meter_47_388:Qh,house_2_7A_tm_2_A_7_Meter_47_389:Qh,house_2_8A_tm_2_A_8_Meter_47_390:Qh,house_2_9A_tm_2_A_9_Meter_47_391:Qh,house_2_10A_tm_2_A_10_Meter_47_392:Qh,house_2_11A_tm_2_A_11_Meter_47_393:Qh,house_2_12A_tm_2_A_12_Meter_47_394:Qh,house_2_13A_tm_2_A_13_Meter_47_395:Qh,house_2_14A_tm_2_A_14_Meter_47_396:Qh,house_2_15A_tm_2_A_15_Meter_47_397:Qh,house_2_1B_tm_2_B_1_Meter_47_398:Qh,house_2_2B_tm_2_B_2_Meter_47_399:Qh,house_2_3B_tm_2_B_3_Meter_47_400:Qh
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34795.1934076,-39146.7326335,+0,+0,+0,-26012.1045476,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,-30445.5528835,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39145.7499976,+0,+0,+0,-26005.6493099,+0
2010-08-16 00:15:30 UTC,+0,-21736.0288248,-60849.7700658,+0,-30427.3040978,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39122.2860878,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,-21730.5649451,-60833.9406356,+0,-30419.3886609,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39112.1085832,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,-21726.3990284,-60822.118161,+0,-30413.4768845,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39104.5073437,+0,+0,+0,+0,-30365.291778
2010-08-16 00:17:00 UTC,+0,-21726.8635943,-60823.9779413,+0,-30414.4068595,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30366.224912
2010-08-16 00:17:30 UTC,+0,+0,-60805.8184965,+0,-30405.326309,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30375.8511781
2010-08-16 00:18:00 UTC,+0,+0,-60808.672285,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21719.845322,+0,+0,+0,+0,+0,+0,-30377.9532363
2010-08-16 00:18:30 UTC,+0,+0,-60792.0917924,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21713.9229364,+0,+0,+0,+0,+0,+0,-30394.9527041
2010-08-16 00:19:00 UTC,+0,+0,-60775.3974281,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21707.9598769,+0,+0,-60772.8329835,+0,+0,+0,-30389.0832299
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21708.993664,+0,+0,-60775.7270347,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60784.8046997,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60784.9291984,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-65099.2586802,+0,+0,+0,+0,+0,+0,-60765.4572113,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-65059.9465718,-21692.5159722,+0,-13016.3012621,+0,+0,+0,-60728.7614899,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-65037.1259905,-21684.9066233,+0,-13011.735276,+0,+0,+0,-60707.4597146,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-65079.2138811,-21698.9405096,+0,-13020.1563025,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-65067.0091546,-21694.8709365,+0,-13017.7143572,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-65078.5039052,-21698.7037732,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,-43403.9002323,+0,+0,-65082.4665936,-21700.0251018,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,-43396.4051352,+0,+0,-65083.7808757,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26041.8593327,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,-43426.1271071,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26022.7633732,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,-43417.8976549,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26023.5430005,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,-43440.5342648,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26001.4696728,+0
2010-08-16 00:26:30 UTC,-56444.0657936,+0,+0,+0,+0,-43428.5674485,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26030.0855815,+0
2010-08-16 00:27:00 UTC,-56403.0035166,-21696.0086222,+0,+0,+0,-43397.4731588,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26033.9801967,+0
2010-08-16 00:27:30 UTC,-56405.5734687,-21696.9972081,+0,+0,+0,-43398.6543962,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26030.2626758,+0
2010-08-16 00:28:00 UTC,-56402.6520433,-21695.8734205,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,-56396.6897781,-21693.57991,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,-56414.9917554,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,-56413.3902927,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,-60743.8548093,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,-60708.8781558,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,-60738.8658516,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,-60747.3728807,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,-60763.8054971,+0,+0,+0,+0,-47745.5118345,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,-60698.4665968,+0,+0,+0,+0,-47694.1710272,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,-60718.0175884,+0,+0,+0,+0,-47709.5334482,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
