# file...... Output/Qh/house_Qh_file_016.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_12A_tm_2_A_12_Meter_35_301:Qh,house_2_13A_tm_2_A_13_Meter_35_302:Qh,house_2_14A_tm_2_A_14_Meter_35_303:Qh,house_2_15A_tm_2_A_15_Meter_35_304:Qh,house_2_1A_tm_2_A_1_Meter_37_305:Qh,house_2_2A_tm_2_A_2_Meter_37_306:Qh,house_2_3A_tm_2_A_3_Meter_37_307:Qh,house_2_4A_tm_2_A_4_Meter_37_308:Qh,house_2_5A_tm_2_A_5_Meter_37_309:Qh,house_2_6A_tm_2_A_6_Meter_37_310:Qh,house_2_7A_tm_2_A_7_Meter_37_311:Qh,house_2_8A_tm_2_A_8_Meter_37_312:Qh,house_2_9A_tm_2_A_9_Meter_37_313:Qh,house_2_10A_tm_2_A_10_Meter_37_314:Qh,house_2_11A_tm_2_A_11_Meter_37_315:Qh,house_2_12A_tm_2_A_12_Meter_37_316:Qh,house_2_13A_tm_2_A_13_Meter_37_317:Qh,house_2_14A_tm_2_A_14_Meter_37_318:Qh,house_2_15A_tm_2_A_15_Meter_37_319:Qh,house_2_1B_tm_2_B_1_Meter_38_320:Qh
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26073.6161665,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26068.5536633,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26053.6437089,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,-39067.1009816,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26044.0256796,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,-39088.3205863,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26058.1718043,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,-39083.6512674,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,-39086.2577617,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,-39089.5556588,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,-39091.6130482,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,-39114.1529075,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-34757.0096908,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-34766.9048412,+0,+0,+0,+0,+0,+0,+0,+0,-47801.1555369,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-34759.1294035,+0,+0,+0,+0,+0,+0,+0,+0,-47790.4652394,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-34739.1529108,+0,+0,+0,+0,+0,+0,+0,+0,-47762.9999499,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-34733.2734391,+0,+0,-47751.1522083,+0,+0,+0,-43412.7912813,+0,-47754.9163793,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47754.225998,+0,+0,+0,-43415.585849,+0,-47757.9904848,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47747.6297543,+0,+0,+0,-43409.5888058,+0,-47751.3935636,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47759.7525952,+0,+0,+0,-43420.610412,+0,-47763.5176497,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47758.3349002,+0,+0,+0,-43419.3214997,+0,-47762.0998087,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47748.6969555,+0,+0,+0,-43410.5590628,+0,+0,+0,+0
