# file...... Output/Qh/house_Qh_file_018.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_6C_tm_2_C_6_Meter_41_341:Qh,house_2_7C_tm_2_C_7_Meter_41_342:Qh,house_2_8C_tm_2_C_8_Meter_41_343:Qh,house_2_1A_tm_2_A_1_Meter_42_344:Qh,house_2_2A_tm_2_A_2_Meter_42_345:Qh,house_2_3A_tm_2_A_3_Meter_42_346:Qh,house_2_4A_tm_2_A_4_Meter_42_347:Qh,house_2_5A_tm_2_A_5_Meter_42_348:Qh,house_2_6A_tm_2_A_6_Meter_42_349:Qh,house_2_7A_tm_2_A_7_Meter_42_350:Qh,house_2_8A_tm_2_A_8_Meter_42_351:Qh,house_2_1B_tm_2_B_1_Meter_43_352:Qh,house_2_2B_tm_2_B_2_Meter_43_353:Qh,house_2_3B_tm_2_B_3_Meter_43_354:Qh,house_2_4B_tm_2_B_4_Meter_43_355:Qh,house_2_5B_tm_2_B_5_Meter_43_356:Qh,house_2_6B_tm_2_B_6_Meter_43_357:Qh,house_2_7B_tm_2_B_7_Meter_43_358:Qh,house_2_8B_tm_2_B_8_Meter_43_359:Qh,house_2_9B_tm_2_B_9_Meter_43_360:Qh
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26068.0032702,+0,+0,-39035.2300821,+0,+0,+0,+0,-52037.4303368,+0
2010-08-16 00:13:30 UTC,-26081.3385078,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26090.1403028,+0,+0,+0,+0,+0,+0,+0,-52023.7874995,+0
2010-08-16 00:14:00 UTC,-26076.0907921,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26092.1831486,+0,+0,+0,+0,+0,+0,+0,-52033.9473419,+0
2010-08-16 00:14:30 UTC,-26082.0821694,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,-26083.8460925,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,-26082.5789815,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,-47776.5460646,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,-47776.6813188,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60794.0100981
2010-08-16 00:20:00 UTC,+0,+0,+0,-47782.1023176,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60776.2258142
2010-08-16 00:20:30 UTC,+0,+0,+0,-47780.6043177,+0,+0,+0,+0,+0,-47773.7616867,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60773.182954
2010-08-16 00:21:00 UTC,+0,+0,+0,-47768.6586015,+0,+0,+0,+0,+0,-47761.8181427,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60782.7848879
2010-08-16 00:21:30 UTC,+0,+0,+0,-47740.6189399,+0,+0,+0,+0,+0,-47733.7835813,+0,+0,-56451.3048858,+0,+0,+0,+0,+0,+0,-60800.1732434
2010-08-16 00:22:00 UTC,+0,+0,+0,-47723.3696486,+0,+0,+0,+0,+0,-47716.5374279,+0,+0,-56470.0005909,+0,+0,+0,+0,+0,+0,-60820.3099443
2010-08-16 00:22:30 UTC,+0,+0,+0,-47750.9665949,+0,+0,+0,+0,+0,-47744.129354,+0,+0,-56434.4077962,+0,+0,+0,+0,+0,+0,-60781.973788
2010-08-16 00:23:00 UTC,+0,+0,+0,-47743.5581656,+0,+0,+0,+0,+0,-47736.7222724,+0,+0,-56387.0429933,+0,+0,+0,+0,+0,+0,-60730.9582782
2010-08-16 00:23:30 UTC,+0,+0,+0,-47749.2351363,+0,+0,+0,+0,+0,-47742.3982107,+0,+0,-56427.4823508,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47746.5090235,-26048.7705831,+0,-56395.1630476,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26050.7407686,+0,-56404.1176537,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26066.8047739,+0,-56373.9053192,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26061.843988,+0,-56375.3868845,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26074.0581181,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,-43408.5882439,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,-43409.3300085,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,-43407.6823146,+0,+0,+0,+0,+0,+0,-39045.9819628,+0,+0,+0,+0,+0
