# file...... Output/Qh/house_Qh_file_027.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_7A_tm_2_A_7_Meter_49_521:Qh,house_2_8A_tm_2_A_8_Meter_49_522:Qh,house_2_9A_tm_2_A_9_Meter_49_523:Qh,house_2_10A_tm_2_A_10_Meter_49_524:Qh,house_2_11A_tm_2_A_11_Meter_49_525:Qh,house_2_12A_tm_2_A_12_Meter_49_526:Qh,house_2_13A_tm_2_A_13_Meter_49_527:Qh,house_2_14A_tm_2_A_14_Meter_49_528:Qh,house_2_15A_tm_2_A_15_Meter_49_529:Qh,house_2_1B_tm_2_B_1_Meter_49_530:Qh,house_2_2B_tm_2_B_2_Meter_49_531:Qh,house_2_3B_tm_2_B_3_Meter_49_532:Qh,house_2_4B_tm_2_B_4_Meter_49_533:Qh,house_2_5B_tm_2_B_5_Meter_49_534:Qh,house_2_6B_tm_2_B_6_Meter_49_535:Qh,house_2_7B_tm_2_B_7_Meter_49_536:Qh,house_2_8B_tm_2_B_8_Meter_49_537:Qh,house_2_9B_tm_2_B_9_Meter_49_538:Qh,house_2_10B_tm_2_B_10_Meter_49_539:Qh,house_2_11B_tm_2_B_11_Meter_49_540:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17365.3176859,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17349.9119504,+0,+0,+0,-34698.4164576,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17359.0132183,+0,+0,+0,-34716.6180677,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,-30247.6819204,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17356.2865107,+0,+0,+0,-34711.16493,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,-30220.2326614,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34682.3474787,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,-30195.8355552,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34688.7745993,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,-30203.3201799,+0,+0,+0,+0,+0,+0,+0,-52030.3622402,+0,+0,+0,+0,+0,+0,+0,-47691.9711966,+0
2010-08-16 00:04:30 UTC,+0,+0,-30225.8124054,+0,+0,+0,+0,+0,+0,+0,-52053.8555321,+0,+0,+0,+0,+0,+0,+0,-47713.5048537,+0
