# file...... Output/Qh/house_Qh_file_050.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13A_tm_3_A_13_Meter_82_981:Qh,house_3_14A_tm_3_A_14_Meter_82_982:Qh,house_3_15A_tm_3_A_15_Meter_82_983:Qh,house_3_1C_tm_3_C_1_Meter_83_984:Qh,house_3_2C_tm_3_C_2_Meter_83_985:Qh,house_3_3C_tm_3_C_3_Meter_83_986:Qh,house_3_4C_tm_3_C_4_Meter_83_987:Qh,house_3_5C_tm_3_C_5_Meter_83_988:Qh,house_3_6C_tm_3_C_6_Meter_83_989:Qh,house_3_7C_tm_3_C_7_Meter_83_990:Qh,house_3_8C_tm_3_C_8_Meter_83_991:Qh,house_3_1C_tm_3_C_1_Meter_84_992:Qh,house_3_2C_tm_3_C_2_Meter_84_993:Qh,house_3_3C_tm_3_C_3_Meter_84_994:Qh,house_3_4C_tm_3_C_4_Meter_84_995:Qh,house_3_5C_tm_3_C_5_Meter_84_996:Qh,house_3_6C_tm_3_C_6_Meter_84_997:Qh,house_3_7C_tm_3_C_7_Meter_84_998:Qh,house_3_8C_tm_3_C_8_Meter_84_999:Qh,house_3_1C_tm_3_C_1_Meter_85_1000:Qh
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-30681.6874286,+0,+0,+0,+0,+0,+0,-30673.4179953,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-30682.7993213,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26325.4039236
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26337.6216683
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26345.5351025
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26331.8867661
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26346.2883697
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26312.6464616
2010-08-16 00:18:30 UTC,+0,+0,+0,-61389.7982469,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,-61403.3480765,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,-61368.1267288,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,-61375.5778155,+0,+0,-43841.11322,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,-61390.9598976,+0,+0,-43852.1008389,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,-43879.805352,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,-17547.4967311,+0,+0,+0,+0,-43871.4243506,+0,+0,+0,-26323.7259031,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,-17530.7911024,+0,+0,+0,+0,-43874.4142529,+0,+0,+0,-26325.5199089,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,-17545.7198805,+0,+0,+0,+0,-43855.0920125,+0,+0,+0,-26313.9261482,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,-17543.3851762,+0,+0,+0,+0,+0,-43874.3845185,+0,+0,-26324.931824,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,-21924.8358921,+0,-43846.0391288,+0,-17539.750784,-26307.9243879,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,-21916.4464282,+0,-43829.2619031,+0,-17533.0392649,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,-21907.5421275,+0,-43811.4551087,+0,-17525.9158795,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,-21893.8129511,+0,-43783.999542,+0,-17514.9326235,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
