# file...... Output/Qh/house_Qh_file_019.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_10B_tm_2_B_10_Meter_43_361:Qh,house_2_11B_tm_2_B_11_Meter_43_362:Qh,house_2_12B_tm_2_B_12_Meter_43_363:Qh,house_2_13B_tm_2_B_13_Meter_43_364:Qh,house_2_14B_tm_2_B_14_Meter_43_365:Qh,house_2_15B_tm_2_B_15_Meter_43_366:Qh,house_2_1A_tm_2_A_1_Meter_45_367:Qh,house_2_2A_tm_2_A_2_Meter_45_368:Qh,house_2_3A_tm_2_A_3_Meter_45_369:Qh,house_2_4A_tm_2_A_4_Meter_45_370:Qh,house_2_5A_tm_2_A_5_Meter_45_371:Qh,house_2_6A_tm_2_A_6_Meter_45_372:Qh,house_2_7A_tm_2_A_7_Meter_45_373:Qh,house_2_8A_tm_2_A_8_Meter_45_374:Qh,house_2_1A_tm_2_A_1_Meter_46_375:Qh,house_2_2A_tm_2_A_2_Meter_46_376:Qh,house_2_3A_tm_2_A_3_Meter_46_377:Qh,house_2_4A_tm_2_A_4_Meter_46_378:Qh,house_2_5A_tm_2_A_5_Meter_46_379:Qh,house_2_6A_tm_2_A_6_Meter_46_380:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17263.8650987,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17287.7516205,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-38840.3113723,+0,+0,-17264.0383089,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-38899.9844717,+0,+0,-17290.5624184,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-38866.1122407,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,-34687.2268282,+0,+0,+0,+0,+0,+0,+0,+0,+0,-38834.1132587,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,-34687.5995394,+0,+0,+0,+0,+0,+0,+0,+0,+0,-38841.9328268,+0,+0,+0,+0,+0,+0,+0,-64721.7302075
2010-08-16 00:04:30 UTC,+0,-34699.3213531,+0,+0,+0,+0,+0,+0,+0,+0,+0,-38868.5290699,+0,+0,+0,+0,+0,+0,+0,-64764.2050689
