# file...... Output/Qh/house_Qh_file_028.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_12B_tm_2_B_12_Meter_49_541:Qh,house_2_13B_tm_2_B_13_Meter_49_542:Qh,house_2_14B_tm_2_B_14_Meter_49_543:Qh,house_2_15B_tm_2_B_15_Meter_49_544:Qh,house_2_16B_tm_2_B_16_Meter_49_545:Qh,house_2_17B_tm_2_B_17_Meter_49_546:Qh,house_2_18B_tm_2_B_18_Meter_49_547:Qh,house_2_19B_tm_2_B_19_Meter_49_548:Qh,house_2_20B_tm_2_B_20_Meter_49_549:Qh,house_2_21B_tm_2_B_21_Meter_49_550:Qh,house_2_22B_tm_2_B_22_Meter_49_551:Qh,house_2_23B_tm_2_B_23_Meter_49_552:Qh,house_2_24B_tm_2_B_24_Meter_49_553:Qh,house_2_25B_tm_2_B_25_Meter_49_554:Qh,house_2_26B_tm_2_B_26_Meter_49_555:Qh,house_2_27B_tm_2_B_27_Meter_49_556:Qh,house_2_28B_tm_2_B_28_Meter_49_557:Qh,house_2_29B_tm_2_B_29_Meter_49_558:Qh,house_2_1C_tm_2_C_1_Meter_49_559:Qh,house_2_2C_tm_2_C_2_Meter_49_560:Qh
2010-08-16 00:14:00 UTC,+0,+0,+0,-17346.7992343,-26020.0851205,+0,+0,-56371.485513,-43361.8248839,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,-17340.143655,-26010.1017843,+0,+0,-56349.85765,-43345.1885844,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,-26003.4854269,+0,+0,-56335.9454082,+0,+0,+0,-56334.4096398,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56372.3150712,+0,+0,+0,-56370.7779456,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56377.1987124,+0,+0,+0,-56375.6614047,+0,+0,+0,+0,+0,-47704.5237412,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56383.4436063,+0,+0,+0,+0,+0,-47711.1090494,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56385.2463892,+0,+0,+0,-47706.6455791,+0,-47712.2685698,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56403.1226271,+0,+0,+0,-47721.7700135,+0,-47727.39523,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56408.0744648,+0,+0,+0,-47725.9595833,+0,-47731.5854163,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56439.996384,+0,+0,+0,-47752.967558,+0,-47758.5973652,+0,+0
