# file...... Output/Qh/house_Qh_file_056.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_4B_tm_3_B_4_Meter_95_1101:Qh,house_3_5B_tm_3_B_5_Meter_95_1102:Qh,house_3_6B_tm_3_B_6_Meter_95_1103:Qh,house_3_7B_tm_3_B_7_Meter_95_1104:Qh,house_3_8B_tm_3_B_8_Meter_95_1105:Qh,house_3_1B_tm_3_B_1_Meter_96_1106:Qh,house_3_2B_tm_3_B_2_Meter_96_1107:Qh,house_3_3B_tm_3_B_3_Meter_96_1108:Qh,house_3_4B_tm_3_B_4_Meter_96_1109:Qh,house_3_5B_tm_3_B_5_Meter_96_1110:Qh,house_3_6B_tm_3_B_6_Meter_96_1111:Qh,house_3_7B_tm_3_B_7_Meter_96_1112:Qh,house_3_8B_tm_3_B_8_Meter_96_1113:Qh,house_3_1A_tm_3_A_1_Meter_98_1114:Qh,house_3_2A_tm_3_A_2_Meter_98_1115:Qh,house_3_3A_tm_3_A_3_Meter_98_1116:Qh,house_3_4A_tm_3_A_4_Meter_98_1117:Qh,house_3_5A_tm_3_A_5_Meter_98_1118:Qh,house_3_6A_tm_3_A_6_Meter_98_1119:Qh,house_3_7A_tm_3_A_7_Meter_98_1120:Qh
2010-08-16 00:14:30 UTC,+0,+0,-56772.3472563,+0,+0,+0,-56762.2770649,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,-56749.6998168,+0,+0,+0,-56739.6350724,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,-56757.0340448,+0,+0,+0,-56746.9675372,+0,+0,+0,+0,+0,+0,+0,+0,-30762.1241826,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,-56777.9562313,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30751.3479219,+0,+0,-57102.6052783,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30717.3917793,+0,+0,-57039.5531212,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30705.89441,+0,+0,-57018.2039965,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30690.1151976,+0,+0,-56988.9040441,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-57020.1772309,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-57029.3264732,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-17506.7449378,+0,+0,+0,+0,+0,+0,+0,+0,+0,-57046.8700272,+0
2010-08-16 00:19:30 UTC,-61294.0279887,+0,+0,+0,+0,+0,+0,+0,-17515.120479,+0,+0,+0,+0,+0,+0,+0,+0,+0,-57004.3675692,+0
2010-08-16 00:20:00 UTC,-61245.8299041,+0,+0,+0,+0,+0,+0,+0,-17500.3477618,-52491.1779416,+0,+0,+0,+0,+0,+0,-43869.7662155,+0,+0,+0
2010-08-16 00:20:30 UTC,-61193.0468709,+0,+0,+0,+0,+0,+0,+0,-17485.2657894,-52445.9428852,+0,+0,+0,+0,+0,+0,-43890.6590766,+0,+0,+0
2010-08-16 00:21:00 UTC,-61213.3008452,+0,+0,+0,+0,+0,+0,+0,-17491.0530634,-52463.3005393,+0,+0,+0,+0,+0,+0,-43883.4745914,+0,+0,+0
2010-08-16 00:21:30 UTC,-61235.8603998,+0,+0,-17498.0645212,+0,+0,+0,+0,+0,-52484.146936,+0,+0,+0,+0,+0,+0,-43868.4197369,+0,+0,+0
2010-08-16 00:22:00 UTC,-61238.6710601,+0,+0,-17498.8676858,+0,+0,+0,+0,+0,-52484.1081932,+0,-43737.2224178,+0,+0,+0,+0,-43824.3776099,+0,+0,+0
