# file...... Output/Qh/house_Qh_file_021.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_4B_tm_2_B_4_Meter_47_401:Qh,house_2_5B_tm_2_B_5_Meter_47_402:Qh,house_2_6B_tm_2_B_6_Meter_47_403:Qh,house_2_7B_tm_2_B_7_Meter_47_404:Qh,house_2_8B_tm_2_B_8_Meter_47_405:Qh,house_2_9B_tm_2_B_9_Meter_47_406:Qh,house_2_10B_tm_2_B_10_Meter_47_407:Qh,house_2_11B_tm_2_B_11_Meter_47_408:Qh,house_2_12B_tm_2_B_12_Meter_47_409:Qh,house_2_13B_tm_2_B_13_Meter_47_410:Qh,house_2_14B_tm_2_B_14_Meter_47_411:Qh,house_2_15B_tm_2_B_15_Meter_47_412:Qh,house_2_1C_tm_2_C_1_Meter_47_413:Qh,house_2_2C_tm_2_C_2_Meter_47_414:Qh,house_2_3C_tm_2_C_3_Meter_47_415:Qh,house_2_4C_tm_2_C_4_Meter_47_416:Qh,house_2_5C_tm_2_C_5_Meter_47_417:Qh,house_2_6C_tm_2_C_6_Meter_47_418:Qh,house_2_7C_tm_2_C_7_Meter_47_419:Qh,house_2_8C_tm_2_C_8_Meter_47_420:Qh
2010-08-16 00:14:00 UTC,-21685.4454689,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60817.7392604,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21677.7706195,+0,+0,+0,-60829.5889527,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21672.3908975,+0,+0,+0,-60829.1244267,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21686.2308465,+0,+0,+0,-60826.1818656,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21688.5600204,+0,+0,+0,-60833.4490661,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,-43376.4188704,+0,+0,+0,+0,+0,+0,-21690.565899,+0,+0,+0,-60817.4229911,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,-43377.7518219,+0,+0,+0,+0,-43376.6894511,+0,-21691.2324667,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,-43391.5026277,+0,+0,+0,+0,-43390.4398665,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,-43394.5053489,+0,+0,+0,+0,-43393.4425025,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,-43418.788532,+0,+0,+0,+0,-43417.7249963,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,-43410.4041803,+0,+0,+0,+0,-43409.3408826,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,-43422.8261254,+0,+0,+0,+0,-43421.762475,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,-43409.2928493,+0,+0,+0,+0,-43408.2295831,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,-43408.0834761,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,-43416.0565732,+0,+0,+0,+0,+0,+0,-21710.7975743,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,-43433.2969973,+0,+0,+0,+0,+0,+0,-21719.4191884,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17385.0911925,+0
2010-08-16 00:22:00 UTC,+0,-43451.8395534,+0,+0,+0,+0,+0,+0,-21728.6919744,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17380.1705671,+0
2010-08-16 00:22:30 UTC,+0,-43421.8614238,+0,+0,+0,+0,+0,+0,-21713.7004716,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17379.5677349,+0
2010-08-16 00:23:00 UTC,+0,-43382.2572746,+0,+0,+0,+0,+0,+0,-21693.8951754,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17390.8796176,+0
2010-08-16 00:23:30 UTC,+0,-43409.7501633,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,-43387.9248905,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,-34712.7276156,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,-34707.7707824,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,-34705.0592874,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,-34690.2314696,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,-34680.0459543,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,-34684.9655728,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,-34679.4193911,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,-34684.1639304,+0,+0,+0,+0,+0,+0,+0,-21680.2174257,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,-34694.1213757,+0,+0,+0,+0,+0,+0,+0,-21686.4418112,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,-34693.7520873,+0,+0,+0,+0,+0,+0,+0,-21686.2109696,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,-34708.2347326,+0,+0,+0,+0,+0,+0,+0,-21695.2640513,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,-34738.4476238,+0,+0,+0,+0,+0,+0,+0,-21714.1500875,+0,+0,-34726.2204104,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,-34721.4257106,-43402.302927,+0,+0,+0,+0,+0,+0,-21703.5097134,+0,+0,-34725.1072559,+0,+0,-52079.2848777,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,-43426.755047,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34727.8187465,+0,+0,-52083.3512652,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,-43424.5426954,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34715.1891655,-60743.818276,+0,-52064.4108448,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,-43422.9519318,+0,+0,+0,+0,+0,+0,+0,+0,-34705.6523719,-34704.2344816,-60724.6505435,+0,-52047.9822462,-17353.2679031,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,-43429.3532714,+0,+0,+0,+0,+0,+0,+0,+0,-34723.2823429,-34721.8635672,-60755.496673,+0,-52074.4203593,-17362.0831772,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,-43414.4226888,+0,+0,+0,+0,+0,+0,+0,+0,-34728.3204282,+0,-60764.3115157,+0,-52081.9755312,-17364.6023023,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,-43399.8751492,+0,+0,+0,+0,+0,+0,+0,+0,-34717.2796693,+0,-60744.9941458,+0,-52065.4186787,-17359.0817421,+0
2010-08-16 00:36:30 UTC,-21694.5832794,+0,+0,+0,-43385.6918126,+0,+0,+0,+0,-43384.6292164,+0,+0,+0,-34711.4590076,+0,-60734.8100745,+0,-52056.6899457,+0,+0
2010-08-16 00:37:00 UTC,-21687.3079324,+0,+0,+0,+0,+0,+0,+0,+0,-43370.0803535,+0,+0,+0,-34713.3874821,+0,-60738.1842134,+0,-52059.5819087,+0,+0
2010-08-16 00:37:30 UTC,-21689.0777077,+0,+0,+0,+0,+0,+0,+0,+0,-43373.6194587,+0,+0,+0,-34694.429819,+0,-60705.0150991,+0,-52031.1527737,+0,+0
2010-08-16 00:38:00 UTC,-21669.0110584,+0,+0,+0,+0,+0,+0,+0,+0,-43333.4912112,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,-21674.9312368,+0,+0,+0,+0,+0,+0,+0,+0,-43345.3300778,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43357.0821527,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43372.3454571,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30363.389128
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30367.7609335
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30352.3272235
2010-08-16 00:42:30 UTC,+0,+0,-52082.1794192,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30357.3255088
2010-08-16 00:43:00 UTC,+0,+0,-52103.5769788,+0,+0,+0,+0,+0,-21712.4361216,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30359.229799
2010-08-16 00:43:30 UTC,+0,-43393.1072464,-52072.1055954,+0,+0,+0,+0,+0,-21699.3210439,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,-43390.4136565,-52068.873255,+0,+0,+0,+0,+0,-21697.9740298,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,-43406.7992286,-52088.5361395,+0,+0,+0,+0,+0,-21706.1681487,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,-43398.1394309,-52078.1442776,+0,+0,+0,+0,+0,-21701.8375456,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,-43398.4699582,-52078.5409144,+0,+0,+0,-39060.5011162,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,-43392.8095418,-52071.7483464,+0,+0,+0,-39055.4064433,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,-43376.0259431,-52051.607825,+0,+0,+0,-39040.3003203,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17359.1729151,+0
2010-08-16 00:47:00 UTC,+0,-43372.7719515,-52047.7029959,+0,+0,+0,-39037.3715565,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17376.2409107,+0
2010-08-16 00:47:30 UTC,+0,+0,-52048.7833039,+0,+0,-34702.5445804,-39038.1818269,+0,+0,+0,+0,-21689.4866782,+0,+0,+0,+0,+0,+0,-17369.5508035,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,-34679.8477803,-39012.6497719,+0,+0,+0,+0,-21675.3008312,+0,+0,+0,+0,+0,+0,-17359.1487249,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,-34686.7721189,-39020.4390899,+0,+0,+0,+0,-21679.6286487,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,-34717.1853897,+0,+0,+0,+0,+0,-21698.6374078,+0,+0,+0,+0,+0,+0,+0,+0
