# file...... Output/Qh/house_Qh_file_062.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_10B_tm_3_B_10_Meter_107_1221:Qh,house_3_11B_tm_3_B_11_Meter_107_1222:Qh,house_3_12B_tm_3_B_12_Meter_107_1223:Qh,house_3_13B_tm_3_B_13_Meter_107_1224:Qh,house_3_14B_tm_3_B_14_Meter_107_1225:Qh,house_3_15B_tm_3_B_15_Meter_107_1226:Qh,house_3_1A_tm_3_A_1_Meter_109_1227:Qh,house_3_2A_tm_3_A_2_Meter_109_1228:Qh,house_3_3A_tm_3_A_3_Meter_109_1229:Qh,house_3_4A_tm_3_A_4_Meter_109_1230:Qh,house_3_5A_tm_3_A_5_Meter_109_1231:Qh,house_3_6A_tm_3_A_6_Meter_109_1232:Qh,house_3_7A_tm_3_A_7_Meter_109_1233:Qh,house_3_8A_tm_3_A_8_Meter_109_1234:Qh,house_3_9A_tm_3_A_9_Meter_109_1235:Qh,house_3_10A_tm_3_A_10_Meter_109_1236:Qh,house_3_11A_tm_3_A_11_Meter_109_1237:Qh,house_3_12A_tm_3_A_12_Meter_109_1238:Qh,house_3_13A_tm_3_A_13_Meter_109_1239:Qh,house_3_14A_tm_3_A_14_Meter_109_1240:Qh
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,+0,+0,+0,-52762.4061109,+0,+0,+0,+0,+0,+0,-43969.4115546,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,+0,-52806.079513,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,-52495.455789,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,-52463.2953716,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,-52473.7694016,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,-52505.1758305,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,-52547.7334945,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,-17503.8322874,+0,-52502.9677891,+0,-61249.4205506,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,-17518.0568448,+0,-52545.632836,+0,-61299.1923542,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,-17514.6808316,+0,+0,+0,-61287.3796663,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,-17500.2901724,+0,+0,+0,-61237.0266698,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,-61256.2798698,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,-61264.9776157,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,-61269.7957284,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,-39354.6776652,+0,+0,+0,-17527.5397829,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,-39358.2340546,+0,+0,+0,-17537.5708012,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,-39350.3572912,+0,+0,+0,-17543.435785,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,-39342.1943855,+0,+0,+0,-17539.7399708,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,-39299.9781696,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30695.6416407,+0,+0,+0,-39461.7655014
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,-39369.2389472,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30692.773665,+0,+0,+0,-39458.0785936
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,-39363.1637424,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30686.6059548,+0,+0,+0,-39450.1497338
2010-08-16 00:27:30 UTC,+0,+0,+0,-34985.2660861,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30675.7279143,+0,+0,+0,-39436.1655399
2010-08-16 00:28:00 UTC,+0,+0,+0,-34996.6624373,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30671.4443568,+0,+0,+0,-39430.6588405
2010-08-16 00:28:30 UTC,+0,+0,+0,-34950.0342224,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30670.3738128,+0,+0,+0,-39429.2826097
