# file...... Output/Qh/house_Qh_file_043.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_8C_tm_3_C_8_Meter_74_841:Qh,house_3_9C_tm_3_C_9_Meter_74_842:Qh,house_3_10C_tm_3_C_10_Meter_74_843:Qh,house_3_11C_tm_3_C_11_Meter_74_844:Qh,house_3_12C_tm_3_C_12_Meter_74_845:Qh,house_3_13C_tm_3_C_13_Meter_74_846:Qh,house_3_14C_tm_3_C_14_Meter_74_847:Qh,house_3_15C_tm_3_C_15_Meter_74_848:Qh,house_3_1C_tm_3_C_1_Meter_75_849:Qh,house_3_2C_tm_3_C_2_Meter_75_850:Qh,house_3_3C_tm_3_C_3_Meter_75_851:Qh,house_3_4C_tm_3_C_4_Meter_75_852:Qh,house_3_5C_tm_3_C_5_Meter_75_853:Qh,house_3_6C_tm_3_C_6_Meter_75_854:Qh,house_3_7C_tm_3_C_7_Meter_75_855:Qh,house_3_8C_tm_3_C_8_Meter_75_856:Qh,house_3_9C_tm_3_C_9_Meter_75_857:Qh,house_3_10C_tm_3_C_10_Meter_75_858:Qh,house_3_11C_tm_3_C_11_Meter_75_859:Qh,house_3_12C_tm_3_C_12_Meter_75_860:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26193.2463023,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,-65412.7555124,+0,-26163.2814527,-30520.995003,+0,+0,-26161.780754,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,-65338.2359553,+0,-26133.4797193,-30486.2307188,+0,+0,-26131.9812846,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,-60938.0667348,+0,+0,+0,+0,+0,+0,-65291.3293607,+0,-26115.2145053,-30464.924003,+0,+0,-26113.7174585,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,-60887.5521925,+0,+0,+0,+0,+0,+0,-65237.2059518,+0,-26093.5687652,-30439.673841,+0,+0,-26092.0733636,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,-61036.7731443,+0,+0,+0,+0,+0,+0,-65397.0875654,+0,-26157.4381172,-30514.4848796,+0,+0,-26155.9378626,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,-60958.0220347,+0,+0,+0,+0,+0,+0,-65312.7103098,+0,+0,-30476.9790388,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,-60999.9735457,+0,+0,+0,+0,+0,+0,-65357.6589257,+0,+0,-30496.6254702,+0,+0,+0,-60988.0253279,+0,+0,+0,+0,+0
