# file...... Output/Qh/house_Qh_file_046.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_12B_tm_3_B_12_Meter_76_901:Qh,house_3_13B_tm_3_B_13_Meter_76_902:Qh,house_3_14B_tm_3_B_14_Meter_76_903:Qh,house_3_15B_tm_3_B_15_Meter_76_904:Qh,house_3_16B_tm_3_B_16_Meter_76_905:Qh,house_3_17B_tm_3_B_17_Meter_76_906:Qh,house_3_1C_tm_3_C_1_Meter_76_907:Qh,house_3_2C_tm_3_C_2_Meter_76_908:Qh,house_3_3C_tm_3_C_3_Meter_76_909:Qh,house_3_4C_tm_3_C_4_Meter_76_910:Qh,house_3_5C_tm_3_C_5_Meter_76_911:Qh,house_3_6C_tm_3_C_6_Meter_76_912:Qh,house_3_7C_tm_3_C_7_Meter_76_913:Qh,house_3_8C_tm_3_C_8_Meter_76_914:Qh,house_3_9C_tm_3_C_9_Meter_76_915:Qh,house_3_10C_tm_3_C_10_Meter_76_916:Qh,house_3_11C_tm_3_C_11_Meter_76_917:Qh,house_3_12C_tm_3_C_12_Meter_76_918:Qh,house_3_13C_tm_3_C_13_Meter_76_919:Qh,house_3_14C_tm_3_C_14_Meter_76_920:Qh
2010-08-16 00:12:00 UTC,+0,-61312.2529839,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:30 UTC,+0,-61331.473555,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48246.9269413,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,-61297.6580552,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48250.8869608,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48233.43906,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48232.1617875,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48267.3510051,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48300.7949487,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48298.0182628,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,-43707.5672738,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,-43738.6911964,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,-43741.0756967,+0,+0,+0,+0,+0,-57096.2739499,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,-43750.6090011,+0,+0,+0,+0,+0,-57126.6422041,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,-43778.3377812,+0,+0,+0,+0,+0,-57066.6201896,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,-43810.5510846,+0,+0,+0,+0,+0,-57038.4061328,+0,+0,+0,+0,+0,-21940.4297825,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,-43783.4810604,+0,+0,+0,+0,+0,-57050.9075899,+0,+0,+0,+0,+0,-21945.2387349,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-57023.970041,+0,+0,+0,+0,+0,-21934.8766308,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,-43785.7287665,+0,+0,+0,+0,+0,+0,+0,-57038.296552,+0,+0,+0,+0,+0,-21940.3876297,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,-43748.9285816,+0,+0,+0,+0,+0,+0,+0,-57050.9098974,+0,+0,+0,+0,+0,-21945.2396226,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,-43761.7002959,+0,+0,+0,-39386.3774846,+0,+0,+0,-57078.4243816,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,-43774.8562043,+0,+0,+0,-39398.2181179,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,-43778.7816873,+0,+0,+0,-39401.7511469,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,-43747.0245239,+0,+0,+0,-39373.1689373,+0,+0,+0,+0,+0,-57039.9371927,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,-43716.0002553,+0,+0,+0,-39345.2463505,+0,+0,+0,+0,+0,-57063.9258344,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,-39379.6488818,+0,-30714.8051809,+0,+0,+0,-57035.8852703,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,-39370.9073302,+0,-30703.6403373,+0,+0,+0,-57015.15326,+0,+0,+0,+0,+0,+0,-39475.5013746,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,-30690.9045184,+0,+0,+0,-56991.5041047,+0,+0,+0,+0,+0,+0,-39459.1270305,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,-30671.4889184,+0,+0,+0,-56955.4512569,+0,+0,+0,+0,+0,+0,-39434.1645434,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,-30703.8972972,+0,+0,+0,-57015.6304089,+0,+0,+0,+0,+0,+0,-39475.8317459,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-57020.5982497,+0,+0,+0,+0,+0,+0,-39479.2714093,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56971.4057847,+0,+0,+0,+0,+0,+0,-39445.2112349,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39444.3207045,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39446.5674886,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,-17477.1081213,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39458.104087,+0
