# file...... Output/Qh/house_Qh_file_030.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_8C_tm_2_C_8_Meter_50_581:Qh,house_2_9C_tm_2_C_9_Meter_50_582:Qh,house_2_10C_tm_2_C_10_Meter_50_583:Qh,house_2_11C_tm_2_C_11_Meter_50_584:Qh,house_2_12C_tm_2_C_12_Meter_50_585:Qh,house_2_13C_tm_2_C_13_Meter_50_586:Qh,house_2_14C_tm_2_C_14_Meter_50_587:Qh,house_2_15C_tm_2_C_15_Meter_50_588:Qh,house_2_1A_tm_2_A_1_Meter_51_589:Qh,house_2_2A_tm_2_A_2_Meter_51_590:Qh,house_2_3A_tm_2_A_3_Meter_51_591:Qh,house_2_4A_tm_2_A_4_Meter_51_592:Qh,house_2_5A_tm_2_A_5_Meter_51_593:Qh,house_2_6A_tm_2_A_6_Meter_51_594:Qh,house_2_7A_tm_2_A_7_Meter_51_595:Qh,house_2_8A_tm_2_A_8_Meter_51_596:Qh,house_0_1A_tm_0_A_1_Meter_52_597:Qh,house_0_2A_tm_0_A_2_Meter_52_598:Qh,house_0_3A_tm_0_A_3_Meter_52_599:Qh,house_0_4A_tm_0_A_4_Meter_52_600:Qh
2010-08-16 00:14:00 UTC,-56474.0787373,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17388.5277157,+0,+0,-34773.7035456,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,-56484.7673576,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,-56483.5617606,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,-56480.5422732,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,-56487.7609348,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,-56470.9835797,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,-56453.2303487,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,-21718.5410889,+0,+0,+0,+0,+0,+0,+0,+0,-52089.9374307,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,-21714.2088542,+0,+0,+0,+0,+0,+0,+0,+0,-52091.5684495,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,-21720.2363815,+0,+0,+0,+0,+0,+0,+0,+0,-52099.0096883,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,-21717.266941,+0,+0,+0,+0,+0,+0,+0,+0,-52099.1160016,+0,+0,+0,-52194.3686171,-52192.6625944
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52083.2403019,+0,+0,+0,-52184.1448391,-52182.4392252
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52052.0254095,+0,+0,+0,-52167.8136175,-52166.1086567
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52033.9241311,+0,+0,+0,-52142.1229125,-52140.4189794
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52066.9595543,+0,+0,+0,-52166.6135333,-52164.9086205
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34704.2844135,-52053.9995635,+0,+0,+0,-52161.9183012,-52160.2135763
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34713.1511355,+0,+0,+0,+0,-52156.810504,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34715.1777734,+0,+0,+0,+0,-52162.6269242,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34715.9562923,+0,+0,+0,+0,-52171.1480283,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34739.1620141,+0,+0,+0,+0,-52188.9520132,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34732.1553317,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,-47697.1963249,+0,+0,+0,+0,+0,-26038.7419493,+0,+0,+0,+0,+0,+0,+0,-34788.3421473,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,-47691.9615219,+0,-34684.7744878,+0,+0,+0,-26039.2494869,+0,-17360.7737841,+0,+0,+0,+0,+0,-34784.0149112,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,-47716.1908975,+0,-34702.3955638,+0,+0,+0,-26036.5949641,+0,-17359.0039337,+0,+0,+0,+0,+0,-34783.2406753,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,-47715.4863926,+0,-34701.883205,+0,+0,+0,-26030.4989044,+0,-17354.9395069,-65061.3520372,+0,+0,+0,+0,-34778.2824197,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,-47708.313418,+0,-34696.6665815,+0,+0,+0,-26038.3942934,+0,-17360.2036008,-65081.0849805,+0,+0,+0,+0,-34788.2405374,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,-47709.0623794,+0,-34697.2112717,+0,+0,+0,-26041.0740174,+0,+0,-65087.7824154,+0,+0,+0,+0,-34778.9853245,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,-47723.1896941,+0,-34707.4855146,+0,+0,+0,-26032.398815,+0,+0,-65066.100483,+0,+0,+0,+0,-34773.5102726,-43468.7174304,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,-30402.5310756,+0,+0,+0,-65030.0995089,+0,+0,+0,+0,+0,-43453.1276833,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,-30394.6641357,+0,+0,+0,-65061.7187403,+0,+0,+0,+0,+0,-43464.850537,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,-30385.6688086,+0,-39047.8029589,+0,-65067.7248711,+0,+0,+0,+0,+0,-43475.681349,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,-30362.9346934,+0,-39058.8416603,+0,-65086.118518,+0,+0,+0,+0,+0,-43485.4779089,+0,+0
