# file...... Output/Qh/house_Qh_file_045.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_18A_tm_3_A_18_Meter_76_881:Qh,house_3_19A_tm_3_A_19_Meter_76_882:Qh,house_3_20A_tm_3_A_20_Meter_76_883:Qh,house_3_21A_tm_3_A_21_Meter_76_884:Qh,house_3_22A_tm_3_A_22_Meter_76_885:Qh,house_3_23A_tm_3_A_23_Meter_76_886:Qh,house_3_24A_tm_3_A_24_Meter_76_887:Qh,house_3_25A_tm_3_A_25_Meter_76_888:Qh,house_3_26A_tm_3_A_26_Meter_76_889:Qh,house_3_1B_tm_3_B_1_Meter_76_890:Qh,house_3_2B_tm_3_B_2_Meter_76_891:Qh,house_3_3B_tm_3_B_3_Meter_76_892:Qh,house_3_4B_tm_3_B_4_Meter_76_893:Qh,house_3_5B_tm_3_B_5_Meter_76_894:Qh,house_3_6B_tm_3_B_6_Meter_76_895:Qh,house_3_7B_tm_3_B_7_Meter_76_896:Qh,house_3_8B_tm_3_B_8_Meter_76_897:Qh,house_3_9B_tm_3_B_9_Meter_76_898:Qh,house_3_10B_tm_3_B_10_Meter_76_899:Qh,house_3_11B_tm_3_B_11_Meter_76_900:Qh
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52572.7536715,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52539.8726564,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52574.4504633,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52543.0914508,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52498.9308564,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52514.257043,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,-17548.0192201,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52530.0442661,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,-17530.1308655,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52534.7548855,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,-17545.5351906,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52496.6459679,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,-17543.2315012,+0,+0,+0,+0,-21859.4319485,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21878.5455152,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35006.0375193
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21873.688831,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34998.2667001
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21870.4492779,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34993.0833323
2010-08-16 00:25:00 UTC,+0,-43871.7860163,+0,+0,+0,+0,+0,+0,+0,-21866.2037546,+0,-26240.6326855,+0,+0,+0,+0,+0,+0,+0,-34986.2903864
2010-08-16 00:25:30 UTC,+0,-43861.9100092,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26235.2550191,+0,-26234.07909,+0,+0,+0,+0,+0,-34979.1204789
2010-08-16 00:26:00 UTC,+0,-43879.1379495,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26202.1859637,+0,-26201.0119548,+0,+0,+0,+0,+0,-34935.0303393
2010-08-16 00:26:30 UTC,+0,-43877.3183223,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26243.8906265,+0,-26242.7141961,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,-43869.0515824,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26242.4464665,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,-43858.5849667,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,-43855.0221454,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,-43853.0837594,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48057.6055115,+0
2010-08-16 00:29:00 UTC,-61439.583729,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48009.6526179,+0
2010-08-16 00:29:30 UTC,-61394.2549392,+0,+0,+0,+0,+0,+0,-21929.9568557,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48007.1806143,+0
2010-08-16 00:30:00 UTC,-61402.0984215,+0,+0,+0,+0,+0,+0,-21932.7586308,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48003.0034267,+0
2010-08-16 00:30:30 UTC,-61368.8792927,+0,+0,+0,+0,+0,+0,-21920.8924078,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48010.4314384,+0
2010-08-16 00:31:00 UTC,-61399.5060623,+0,+0,+0,+0,+0,+0,-21931.8326128,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48023.3965155,+0
2010-08-16 00:31:30 UTC,-61413.0278939,+0,+0,+0,+0,+0,-57031.3755917,-21936.6627535,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,-61440.2115003,+0,+0,+0,+0,-43888.7525564,-57056.6202639,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,-61313.5468234,+0,+0,+0,+0,-43798.2708013,-56938.9902387,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,-61319.5159171,+0,+0,+0,+0,-43802.5347689,-56944.5335731,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,-43800.7989477,-56942.2769337,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,-43795.2336487,-56935.0418146,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,-43773.3400304,-56906.5792043,+0,+0,+0,-39408.1122028,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,-43788.1684529,-56925.8567675,+0,-35033.9362878,+0,-39397.5725187,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-35027.8871718,+0,-39378.0265701,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-35031.1771305,+0,-39365.5260761,+0,+0,+0,+0,+0,-52485.5529579,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-35034.1648856,+0,-39392.3413587,+0,+0,+0,+0,+0,-52521.3052476,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-35044.1929597,+0,-39368.553611,+0,+0,+0,+0,+0,-52489.5895108,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-35041.8088542,+0,-39353.8424551,+0,+0,+0,+0,+0,-52469.9754156,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52401.0384344,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52415.4782049,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34953.7471677,+0,+0,+0,-52431.0541129,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34985.0305567,+0,+0,+0,-52477.9799278,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34993.6653279,+0,+0,+0,-52490.9322863,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,-17531.3210664,+0,+0,+0,+0,+0,+0,+0,-34985.0506997,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,-17541.7390175,+0,+0,+0,+0,+0,+0,+0,-34973.9600233,+0,+0,-26233.4289652,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,-17529.0961778,+0,+0,+0,+0,+0,+0,+0,-34977.9625141,+0,+0,-26236.4312772,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,-17523.4969099,+0,+0,+0,+0,+0,+0,-26264.817839,+0,+0,+0,-26264.7619501,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26233.2801032,+0,+0,+0,-26233.2242376,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21871.4839417,+0,-26246.9692893,+0,+0,+0,-26246.9134136,+0,-34995.0314151,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21856.6678743,+0,-26229.1889442,+0,+0,+0,+0,+0,-34971.3250896,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21868.760872,+0,+0,+0,-26242.5249908,+0,+0,+0,-34990.6743901,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21874.3404403,+0,+0,+0,-26249.2204848,+0,+0,+0,-34999.6019318,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21878.3592161,+0,+0,+0,-26254.0430245,+0,+0,+0,-35006.0321407,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21880.5286525,+0,+0,+0,-26256.6463528,+0,+0,+0,-35009.5033293,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26255.698591,+0,+0,+0,-35008.2396162,+0,-35007.9468892
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35011.33111
2010-08-16 00:47:00 UTC,+0,-43792.4249708,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48133.3783202,-35007.2915909
2010-08-16 00:47:30 UTC,+0,-43792.9754974,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48135.2301202,-35008.638413
2010-08-16 00:48:00 UTC,+0,-43813.2345634,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48058.0599339,-34952.5122071
2010-08-16 00:48:30 UTC,+0,-43740.224451,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48106.7453838,-34987.9213428
2010-08-16 00:49:00 UTC,+0,-43802.2012501,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48131.3218353,+0
2010-08-16 00:49:30 UTC,+0,-43765.5702001,+0,+0,+0,+0,+0,-21884.2718439,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48095.8203744,+0
2010-08-16 00:50:00 UTC,+0,-43707.4046669,-52446.5796398,+0,+0,+0,+0,-21855.1868016,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48103.0952345,+0
2010-08-16 00:50:30 UTC,+0,-43727.9865528,-52471.2764928,+0,+0,+0,+0,-21865.4785498,+0,+0,+0,+0,+0,+0,-56800.6591996,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,-43784.1328378,-52538.6481898,+0,+0,+0,+0,-21893.5538889,+0,+0,+0,+0,+0,+0,-56712.9564653,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,-52457.2259458,+0,+0,+0,+0,-21859.6233627,+0,+0,+0,+0,+0,+0,-56818.364315,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,-52485.8112902,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56848.3092922,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,-52501.4638052,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56809.8912652,+0,+0,+0,+0,+0
