# file...... Output/Qh/house_Qh_file_057.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_8A_tm_3_A_8_Meter_98_1121:Qh,house_3_9A_tm_3_A_9_Meter_98_1122:Qh,house_3_10A_tm_3_A_10_Meter_98_1123:Qh,house_3_11A_tm_3_A_11_Meter_98_1124:Qh,house_3_12A_tm_3_A_12_Meter_98_1125:Qh,house_3_13A_tm_3_A_13_Meter_98_1126:Qh,house_3_14A_tm_3_A_14_Meter_98_1127:Qh,house_3_15A_tm_3_A_15_Meter_98_1128:Qh,house_3_1B_tm_3_B_1_Meter_99_1129:Qh,house_3_2B_tm_3_B_2_Meter_99_1130:Qh,house_3_3B_tm_3_B_3_Meter_99_1131:Qh,house_3_4B_tm_3_B_4_Meter_99_1132:Qh,house_3_5B_tm_3_B_5_Meter_99_1133:Qh,house_3_6B_tm_3_B_6_Meter_99_1134:Qh,house_3_7B_tm_3_B_7_Meter_99_1135:Qh,house_3_8B_tm_3_B_8_Meter_99_1136:Qh,house_3_9B_tm_3_B_9_Meter_99_1137:Qh,house_3_10B_tm_3_B_10_Meter_99_1138:Qh,house_3_11B_tm_3_B_11_Meter_99_1139:Qh,house_3_12B_tm_3_B_12_Meter_99_1140:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61241.7798995,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,-47880.8722825,+0,+0,+0,+0,+0,+0,+0,-69924.4900128,+0,+0,+0,+0,+0,-61185.217077,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,-47811.12957,+0,+0,+0,+0,+0,+0,+0,-69903.5423221,+0,+0,+0,+0,+0,-61166.8873708,+0
2010-08-16 00:02:30 UTC,+0,+0,-61091.3805701,+0,-48003.1492096,+0,+0,+0,+0,+0,+0,+0,-69890.2507323,+0,+0,+0,+0,+0,-61154.4444299,+0
2010-08-16 00:03:00 UTC,+0,+0,-61049.362341,+0,-47970.1330233,+0,+0,+0,+0,+0,+0,+0,-69836.787799,+0,+0,+0,+0,+0,-61107.6643755,+0
2010-08-16 00:03:30 UTC,+0,+0,-61006.7884441,+0,-47936.6802169,+0,+0,+0,+0,+0,+0,+0,-69815.2187597,+0,+0,+0,+0,+0,-61088.7914713,+0
2010-08-16 00:04:00 UTC,+0,+0,-61053.9319593,+0,-47973.7236403,+0,+0,+0,+0,+0,+0,+0,-69836.6150606,+0,+0,+0,+0,+0,-61107.5132294,+0
2010-08-16 00:04:30 UTC,+0,+0,-61098.576757,+0,-48008.8036756,+0,+0,+0,+0,+0,+0,+0,-69870.4785815,+0,+0,+0,+0,+0,-61137.1438024,+0
