$state_name=Hawaii
$city_name=Oahu
$lat_deg=21
$lat_min=28
$long_deg=-157
$long_min=59
$timezone_offset=-8
temperature,humidity,wind_speed,solar_dir,solar_diff,solar_global
08:15:5:5:36,75,0.64,8.1,0,0,0
08:15:5:5:39,75,0.64,8.1,0,0,0
08:15:5:5:42,75,0.64,8.1,0,0,0
08:15:5:5:45,75,0.64,8.1,0,0,0
08:15:5:5:48,75,0.64,8.1,0,0,0
08:15:5:5:51,75,0.64,8.1,0,0,0
08:15:5:5:54,75,0.64,8.1,0,0,0
08:15:5:5:57,75,0.64,8.1,0,0,0
08:15:5:6:0,75,0.64,8.1,0,0,0
08:15:5:6:3,75,0.64,8.1,0,0,0
08:15:5:6:6,75,0.64,8.1,0,0,0
08:15:5:6:9,75,0.64,8.1,0,0,0
08:15:5:6:12,75,0.64,8.1,0,0,0
08:15:5:6:15,75,0.64,8.1,0,0,0
08:15:5:6:18,75,0.64,8.1,0,0,0
08:15:5:6:21,75,0.64,8.1,0,0,0
08:15:5:6:24,75,0.64,8.1,0,0,0
08:15:5:6:27,75,0.64,8.1,0,0,0
08:15:5:6:30,75,0.64,8.1,0,0,0
08:15:5:6:33,75,0.64,8.1,0,0,0
08:15:5:6:36,75,0.64,8.1,0,0,0
08:15:5:6:39,75,0.64,8.1,0,0,0
08:15:5:6:42,75,0.64,8.1,0,0,0
08:15:5:6:45,75,0.64,8.1,0,0,0
08:15:5:6:48,75,0.64,8.1,0,0,0
08:15:5:6:51,75,0.64,8.1,0,0,0
08:15:5:6:54,75,0.64,8.1,0,0,0
08:15:5:6:57,75,0.64,8.1,0,0,0
08:15:5:7:0,75,0.64,8.1,0,0,0
08:15:5:7:3,75,0.64,8.1,0,0,0
08:15:5:7:6,75,0.64,8.1,0,0,0
08:15:5:7:9,75,0.64,8.1,0,0,0
08:15:5:7:12,75,0.64,8.1,0,0,0
08:15:5:7:15,75,0.64,8.1,0,0,0
08:15:5:7:18,75,0.64,8.1,0,0,0
08:15:5:7:21,75,0.64,8.1,0,0,0
08:15:5:7:24,75,0.64,8.1,0,0,0
08:15:5:7:27,75,0.64,8.1,0,0,0
08:15:5:7:30,75,0.64,8.1,0,0,0
08:15:5:7:33,75,0.64,8.1,0,0,0
08:15:5:7:36,75,0.64,8.1,0,0,0
08:15:5:7:39,75,0.64,8.1,0,0,0
08:15:5:7:42,75,0.64,8.1,0,0,0
08:15:5:7:45,75,0.64,8.1,0,0,0
08:15:5:7:48,75,0.64,8.1,0,0,0
08:15:5:7:51,75,0.64,8.1,0,0,0
08:15:5:7:54,75,0.64,8.1,0,0,0
08:15:5:7:57,75,0.64,8.1,0,0,0
08:15:5:8:0,75,0.64,8.1,0,0,0
