market_id,house_name,bid_price,bid_quantity,state,Q_min,Q_max,P_min,P_max
8,house_3_12A_tm_3_A_12_Meter_69_792,28.2420438638,5.20552120097,OFF,0,5.20552120097,22.0857664701,34.3983212576
8,house_3_26C_tm_3_C_26_Meter_66_770,44.9678134378,5.1087597307,ON,0,5.1087597307,44.6431420159,45.2924848597
8,house_3_15C_tm_3_C_15_Meter_75_863,20.5122499291,3.89894693524,OFF,0,3.89894693524,0,41.0244998582
8,house_3_7C_tm_3_C_7_Meter_65_741,0.0,3.40827820087,OFF,0,0,0.0,0.0
8,house_3_2C_tm_3_C_2_Meter_66_746,0.0,2.98013553451,OFF,0,0,0.0,0.0
8,house_3_13B_tm_3_B_13_Meter_64_709,39.9832412257,2.13957903759,OFF,0,2.13957903759,34.9651976891,45.0012847623
8,house_3_5C_tm_3_C_5_Meter_85_1004,18.9284979003,3.02775274555,OFF,0,3.02775274555,0,37.8569958007
8,house_3_11A_tm_3_A_11_Meter_82_979,36.9996375018,6.07485411049,OFF,0,6.07485411049,32.7205242682,41.2787507354
8,house_3_1A_tm_3_A_1_Meter_70_796,30.146220052,2.60117679594,OFF,0,2.60117679594,23.7023924463,36.5900476577
8,house_3_10A_tm_3_A_10_Meter_71_813,18.0952266853,2.60044815846,OFF,0,2.60044815846,1.85770742828,34.3327459424
8,house_3_4B_tm_3_B_4_Meter_86_1018,15.1930288406,5.2022645839,OFF,0,5.2022645839,5.21652379773,25.1695338835
8,house_3_7B_tm_3_B_7_Meter_77_930,31.7949435928,2.17042967512,OFF,0,2.17042967512,22.841437246,40.7484499396
8,house_3_10A_tm_3_A_10_Meter_113_1267,22.4332273778,3.88557700724,OFF,0,3.88557700724,7.32658765713,37.5398670984
8,house_3_9A_tm_3_A_9_Meter_88_1046,29.0782843475,5.19849921336,OFF,0,5.19849921336,24.581054661,33.5755140341
8,house_3_3C_tm_3_C_3_Meter_85_1002,22.835405922,3.89323406982,OFF,0,3.89323406982,14.1824741639,31.48833768
8,house_3_14B_tm_3_B_14_Meter_76_903,26.5989857664,4.3418115829,OFF,0,4.3418115829,11.6025421442,41.5954293885
8,house_3_13B_tm_3_B_13_Meter_87_1035,55.5585877154,3.03357736234,ON,0,3.03357736234,54.4490478768,56.668127554
8,house_3_13C_tm_3_C_13_Meter_73_831,15.6098518804,2.16961728807,OFF,0,2.16961728807,0,31.2197037608
8,house_3_2C_tm_3_C_2_Meter_104_1183,43.7757053044,4.76282640922,ON,0,4.76282640922,34.569589183,52.9818214259
8,house_3_5A_tm_3_A_5_Meter_94_1087,37.9316390807,5.62894797115,ON,0,5.62894797115,30.9372210994,44.9260570621
8,house_3_8B_tm_3_B_8_Meter_95_1105,21.5063000004,3.89790025399,OFF,0,3.33711986497,0,43.0126000009
8,house_3_6A_tm_3_A_6_Meter_113_1263,18.5669052204,2.15830626533,OFF,0,2.15830626533,0,37.1338104408
8,house_3_6A_tm_3_A_6_Meter_79_944,33.6903428506,5.20520733473,OFF,0,5.20520733473,30.0742592667,37.3064264346
8,house_3_3B_tm_3_B_3_Meter_106_1199,35.2076188562,3.47572230603,OFF,0,3.47572230603,30.416737348,39.9985003645
