Cleared_time,market_id,ACOPF_solved,cleared_price_18,cleared_price_57,cleared_quantity_18 (kW),cleared_quantity_57 (kW),DG_13_output (kW),DG_57_output (kW),DG_7_output (kW),DG_18_output (kW),DG_56_output (kW),social_welfare ($),planned_SubstationP (kW),expected_SubstationP (kW),total_uncontrollable_loads (kW)
2018-01-29-18:28:29,1,True,56.9201343286,54.0791038162,284.425072743,517.162587607,188.919989024,240.866649855,91.5961440443,105.547612958,106.870959845,-20.7917270141,1494.7094834,1494.7094834,1426.92317878
2018-01-29-18:33:29,2,True,53.3381940195,57.0250903414,359.90150275,128.039047494,163.263578411,198.105964164,79.2613355555,90.2759395194,86.1803053092,-1.92690405163,1108.7384231,1108.7384231,1237.88499581
