Cleared_time,market_id,ACOPF_solved,cleared_price_18,cleared_price_57,cleared_quantity_18 (kW),cleared_quantity_57 (kW),DG_13_output (kW),DG_57_output (kW),DG_7_output (kW),DG_18_output (kW),DG_56_output (kW),social_welfare ($),planned_SubstationP (kW),expected_SubstationP (kW),total_uncontrollable_loads (kW)
2018-02-09-20:29:39,57,True,48.3028736456,47.5635042893,87.6443849681,289.561931268,132.483038774,146.805065595,64.4629972024,71.9541898987,61.3572908574,0.274691215384,750.0910501,750.0910501,849.947316192
2018-02-09-20:34:39,58,True,48.9176415283,47.9786983908,80.7194231359,246.527324917,133.716230437,148.860384084,65.0558799644,72.6882324067,62.3517987746,2.8933936275,731.679242,731.679242,887.105019615
2018-02-09-20:39:39,59,True,48.0225765847,47.7654152429,148.215843248,213.277511127,131.757331691,145.59555284,64.1141017264,71.5222212482,60.7720417201,0.968113165089,712.1050195,712.1050195,824.372914351
2018-02-09-20:44:39,60,True,46.947058303,50.783417553,349.246115761,43.0778788583,131.127948845,144.546581452,63.8115137787,71.1475886048,60.2644749457,-0.713418421447,751.5261285,751.5261285,830.100241507
2018-02-09-20:49:39,61,True,45.8676130371,51.3443542468,341.346324979,0.000364314247775,130.578418528,143.630697548,63.547316597,70.8204872193,59.8213052667,1.6016687621,759.7575965,759.7575965,886.809132366
2018-02-09-20:54:39,62,True,50.5168633154,47.4614900198,13.7271027699,299.662401116,130.318515392,143.197525686,63.4223630953,70.6657829767,59.6117060158,3.10916084767,758.5399066,758.5399066,912.366295879
2018-02-09-20:59:39,63,True,48.1877000114,46.9900630674,3.99706759863e-06,320.086361423,132.955808803,147.593014752,64.6902927229,72.2356004768,61.7385555679,3.07728759728,758.9398999,758.9398999,918.066806802
2018-02-09-21:04:39,64,True,46.9092817052,47.1298283781,185.059746333,107.525191216,128.040486356,139.400810633,62.3271568175,69.3098133143,57.7745858391,3.78536816525,750.8633685,750.8633685,915.131283911
2018-02-09-21:09:39,65,True,46.4106739495,49.6473492854,228.062006452,30.5299293722,128.026887675,139.37814621,62.3206188985,69.301718869,57.7636192428,5.37807455176,752.0249947,752.0249947,950.224049771
2018-02-09-21:14:39,66,True,50.4351580198,46.5511344308,13.7732690213,297.648431785,126.56456158,136.940936004,61.6175776036,68.4312866619,56.5843239219,2.67485851886,751.122309,751.122309,889.839293965
2018-02-09-21:19:39,67,True,47.9339026106,46.5571799506,6.71855442371e-05,228.870017163,128.959923843,140.933206533,62.7691941921,69.8570975228,58.516067763,6.95719485363,722.1651059,722.1651059,954.330511406
2018-02-09-21:24:39,68,True,46.0995056883,51.5812826304,231.042955649,40.605724022,125.002498747,134.337497999,60.8665857627,67.5014873658,55.3245959242,4.33226728626,721.9734361,721.9734361,893.357422228
2018-02-09-21:29:39,69,True,45.5594630429,52.5542025588,222.893243523,0.00216407394185,126.707010047,137.178350963,61.6860610296,68.5160775165,56.6992030643,6.85802642178,701.588496,701.588496,929.479791025
2018-02-09-21:34:39,70,True,50.3267009394,46.269746302,0.00409056187675,248.431164994,124.585486383,133.64247731,60.6660992138,67.253265705,54.9882954783,5.37203982231,708.10176934,708.10176934,900.802137874
2018-02-09-21:39:39,71,True,47.195843761,46.1307722718,7.90581081625e-06,244.849043669,126.36111891,136.601864955,61.5197687412,68.3101898238,56.4202572945,5.78668085616,703.39690379,703.39690379,907.76105194
2018-02-09-21:44:39,72,True,46.8384905102,45.348427484,21.1362262173,228.150122977,122.480098465,130.133497449,59.6538934781,66.0000586117,53.2904020025,5.01201720488,702.46094527,702.46094527,884.732546083
2018-02-09-21:49:39,73,True,50.7547516535,45.3409668503,0.00386572257376,225.44364699,124.471970885,133.453284989,60.6115242817,67.1856969712,54.8967510012,6.4044554615,765.49920195,765.49920195,980.670917365
2018-02-09-21:54:39,74,True,45.1476053216,48.6167890741,251.214871493,23.918569911,121.532177247,128.553628842,59.1981619538,65.435819809,52.5259495854,3.66858756973,803.03460272,803.03460272,955.146898753
2018-02-09-21:59:39,75,True,45.0162666081,47.0102681946,243.163143036,1.6074595091e-05,124.247225812,133.078709772,60.5034739891,67.0519201099,54.7155047497,5.4923340119,870.16878193,870.16878193,1066.60245725
2018-02-09-22:04:39,76,True,54.4856302998,45.0532533403,0.0075825249057,222.675052154,120.307760887,126.512935112,58.6095002183,64.7070005482,51.5385173052,5.92220480602,880.99593379,880.99593379,1079.98901318
2018-02-09-22:09:39,77,True,48.1685649076,45.6855359898,4.39056839678e-06,215.00754152,125.288297374,134.813829057,61.0039891039,67.6716055826,55.5550787034,7.02670319539,905.34744405,905.34744405,1134.67269796
2018-02-09-22:14:39,78,True,44.4959932855,48.9052600377,246.631842834,0.000322626422398,119.029880201,124.383133694,57.9951346677,63.9463572671,50.5079679555,4.61322853477,909.68649968,909.68649968,1078.916808
2018-02-09-22:19:39,79,True,44.5504158412,45.9768339823,223.025268406,5.79733794558e-05,122.613375844,130.355626512,59.7179691704,66.0793903684,53.3978838387,6.19033968249,895.43326306,895.43326306,1104.57218241
2018-02-09-22:24:39,80,True,52.8815522869,44.7138832719,0.000943005072529,293.882736401,119.63011838,125.383530639,58.2837107505,64.303641894,50.9920309619,2.55420463343,954.52560154,954.52560154,1079.23495476
2018-02-09-22:29:39,81,True,46.2420844657,44.734299398,4.70828695171e-06,289.23289629,124.052352514,132.753920952,60.4097848867,66.9359241124,54.5583488961,3.31742964834,953.80767846,953.80767846,1103.28510882
2018-02-09-22:34:39,82,True,44.3629582193,52.2259010208,231.062145584,0.00856760328966,118.050438133,122.750730233,57.5242490818,63.363356034,49.7180952922,5.18618426191,955.97196996,955.97196996,1136.30812555
2018-02-09-22:39:39,83,True,43.7079432657,45.6928569821,302.518779326,2.73349854526e-07,121.234029621,128.056716035,59.0548219332,65.2583509645,52.2855077591,2.23927023486,1012.06593131,1012.06593131,1135.43657802
2018-02-09-22:44:39,84,True,52.7027724297,44.6144083521,0.00252405329499,316.359018328,118.213107023,123.021845039,57.6024552979,63.4601827518,49.8492798588,1.34559912698,1033.3554084,1033.3554084,1129.14073599
2018-02-09-22:49:39,85,True,47.2248678261,44.5146609765,1.81883326468e-06,362.813094027,123.515260919,131.858768339,60.1515674742,66.616226762,54.1252107587,-0.234129839749,1106.47879671,1106.47879671,1179.93273512
2018-02-09-22:54:39,86,True,48.6884080737,43.791211557,0.000418589632496,412.7899368,118.918187751,124.196979711,57.9414364632,63.8798736399,50.4178934452,-3.07056440246,1167.29292701,1167.29292701,1169.85694263
2018-02-09-22:59:39,87,True,45.6873197314,44.3199613475,120.392351259,227.026619719,120.259830771,126.433052284,58.5864552539,64.678470889,51.4998654693,0.174240524302,1151.08502166,1151.08502166,1225.12372535
2018-02-09-23:04:39,88,True,44.3791774514,56.1643428887,415.710007246,0.000335641811848,122.455055582,130.091759313,59.6418536322,65.9851521333,53.2702061302,-2.88029760879,1266.67177336,1266.67177336,1282.40545726
2018-02-09-23:09:39,89,True,43.1454677539,46.0748451779,489.183485531,12.3118379609,119.071236022,124.45206034,58.015016757,63.9709738852,50.5413199947,-7.46707091916,1323.40595821,1323.40595821,1237.96124172
2018-02-09-23:14:39,90,True,58.680983816,45.0178929514,4.60941116941e-05,432.114740966,121.441255509,128.402092676,59.154449765,65.3816997068,52.4526255362,-3.61611748007,1283.85204633,1283.85204633,1278.56938246
2018-02-09-23:19:39,91,True,50.9936440265,44.5574612164,0.00106111365513,554.022375498,124.75235366,133.920599172,60.7463243133,67.3525914279,55.1228735078,-9.2955517657,1399.28823797,1399.28823797,1287.15954344
2018-02-09-23:24:39,92,True,44.847305175,53.0167377633,508.028228442,0.00110030359869,120.49925618,126.832093657,58.7015654346,64.8209858254,51.6929485748,-7.2487940841,1413.06172245,1413.06172245,1327.57924338
2018-02-09-23:29:39,93,True,43.7611307997,46.8242184116,477.868647468,14.8619193955,121.773083552,128.955139418,59.3139821581,65.5792164327,52.7202289928,-6.80181011903,1424.97662748,1424.97662748,1360.58771117
2018-02-09-23:34:39,94,True,59.3514428698,45.6118434335,0.000685368365527,678.512323739,124.456829607,133.428049612,60.6042449561,67.1766842967,54.8845402086,-14.9950623333,1553.4379168,1553.4379168,1315.47525637
2018-02-09-23:39:39,95,True,53.6176027439,44.9455466408,0.106841506631,659.985410714,125.476052739,135.126755001,61.0942554782,67.7833647691,55.7064948309,-14.3802355371,1500.04009715,1500.04009715,1285.13476775
2018-02-09-23:44:39,96,True,46.1891777546,52.7578643141,638.939349272,0.00661801995999,126.74767367,137.246122847,61.7056122112,68.5402819577,56.7319950074,-13.066741193,1529.31004471,1529.31004471,1341.33576311
2018-02-09-23:49:39,97,True,45.1570962246,46.807206225,479.904693691,204.680499459,127.155882083,137.926470604,61.9018658638,68.7832631638,57.0611958479,-15.412066898,1624.20809999,1624.20809999,1392.4515844
2018-02-09-23:54:39,98,True,54.6312964136,46.2316947367,0.000241794348814,730.197649419,130.984692713,144.307821255,63.742640761,71.0623170801,60.1489457858,-17.4466258731,1718.74725036,1718.74725036,1458.79577674
2018-02-09-23:59:39,99,True,47.1438622563,46.6482859479,466.338253239,337.614509767,131.217424593,144.69570799,63.8545306083,71.2008479941,60.3366331587,-20.8459518276,1710.54031239,1710.54031239,1377.89269373
2018-02-10-00:04:39,100,True,46.6224910172,47.5008664339,357.10154546,388.239920859,133.579154795,148.631924826,64.9899781335,72.6066397578,62.2412540437,-17.9281779327,1723.08211292,1723.08211292,1459.78959816
2018-02-10-00:09:39,101,True,47.3712404141,47.4627831719,326.568216131,506.173266679,133.406928286,148.34488057,64.9071770365,72.5041239738,62.1023616049,-22.1868664457,1887.3590491,1887.3590491,1535.88303776
