# file...... Output/houseLog/house_3_8C_tm_3_C_8_Meter_85_1007.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# target.... house 5591
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,air_temperature,outdoor_temperature,mass_temperature,power_state,UA,air_heat_capacity_cd,mass_heat_coeff,mass_heat_capacity,design_cooling_capacity,Qi,solar_gain,Qh,hvac_load,total_load,cooling_setpoint,
2010-08-16 00:00:00 UTC,+73.23,+76.406,+73.23,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+73.12
2010-08-16 00:00:30 UTC,+73.2563121115,+76.382,+73.2300803862,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+73.12
2010-08-16 00:01:00 UTC,+73.2805601457,+76.358,+73.2303126392,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+73.12
2010-08-16 00:01:30 UTC,+73.3029003561,+76.335,+73.2306838747,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+73.12
2010-08-16 00:02:00 UTC,+73.3234853653,+76.312,+73.2311822171,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+73.12
2010-08-16 00:02:30 UTC,+73.3424479166,+76.289,+73.2317967219,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+73.12
2010-08-16 00:03:00 UTC,+73.3599106306,+76.267,+73.2325172801,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+73.12
2010-08-16 00:03:30 UTC,+73.3759950619,+76.246,+73.2333345799,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+73.12
2010-08-16 00:04:00 UTC,+73.39081354,+76.225,+73.2342400703,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+73.12
2010-08-16 00:04:30 UTC,+73.4044615882,+76.204,+73.2352258778,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+73.12
2010-08-16 00:05:00 UTC,+73.4170274455,+76.184,+73.2362847303,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+73.12
2010-08-16 00:05:30 UTC,+73.428600907,+76.164,+73.2374099362,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+72.8560438123
2010-08-16 00:06:00 UTC,+73.4392566799,+76.145,+73.2385953397,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+72.8560438123
2010-08-16 00:06:30 UTC,+73.4490720593,+76.127,+73.2398352804,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+72.8560438123
2010-08-16 00:07:00 UTC,+73.4581184908,+76.109,+73.2411245803,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+72.8560438123
2010-08-16 00:07:30 UTC,+73.4664537315,+76.092,+73.2424584817,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+72.8560438123
2010-08-16 00:08:00 UTC,+73.4741394192,+76.075,+73.2438326155,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+72.8560438123
2010-08-16 00:08:30 UTC,+73.4812242513,+76.059,+73.2452429712,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+72.8560438123
2010-08-16 00:09:00 UTC,+73.4877614964,+76.043,+73.2466858701,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+72.8560438123
2010-08-16 00:09:30 UTC,+73.4937921213,+76.028,+73.2481579392,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+72.8560438123
2010-08-16 00:10:00 UTC,+73.4993622534,+76.013,+73.2496560888,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+72.8560438123
2010-08-16 00:10:30 UTC,+73.504506263,+75.999,+73.25117749,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+72.5442621304
2010-08-16 00:11:00 UTC,+73.5092641839,+75.985,+73.2527195553,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+72.5442621304
2010-08-16 00:11:30 UTC,+73.5136647575,+75.972,+73.2542799199,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+72.5442621304
2010-08-16 00:12:00 UTC,+73.5177428182,+75.96,+73.2558564252,OFF,+1528.09791029,+1481.7236616,+11618.2200685,+16007.6042256,+78000,+0,+0,+0,+0,+0,+72.5442621304
